"Time","172.212.226.225:9100 eth0 rx"
2026-04-27 19:54:45,3.11 p/s
2026-04-27 19:55:00,3.07 p/s
2026-04-27 19:55:15,3.26 p/s
2026-04-27 19:55:30,21.7 p/s
2026-04-27 19:55:45,21.7 p/s
2026-04-27 19:56:00,21.7 p/s
2026-04-27 19:56:15,21.7 p/s
2026-04-27 19:56:30,21.7 p/s
2026-04-27 19:56:45,2.82 kp/s
2026-04-27 19:57:00,6.19 kp/s
2026-04-27 19:57:15,10.4 kp/s
2026-04-27 19:57:30,14.5 kp/s
2026-04-27 19:57:45,18.6 kp/s
2026-04-27 19:58:00,22.6 kp/s
2026-04-27 19:58:15,26.6 kp/s
2026-04-27 19:58:30,30.5 kp/s
2026-04-27 19:58:45,34.5 kp/s
2026-04-27 19:59:00,38.5 kp/s
2026-04-27 19:59:15,42.4 kp/s
2026-04-27 19:59:30,46.3 kp/s
2026-04-27 19:59:45,50.2 kp/s
2026-04-27 20:00:00,54.1 kp/s
2026-04-27 20:00:15,58.0 kp/s
2026-04-27 20:00:30,61.9 kp/s
2026-04-27 20:00:45,65.8 kp/s
2026-04-27 20:01:00,69.8 kp/s
2026-04-27 20:01:15,73.7 kp/s
2026-04-27 20:01:30,74.9 kp/s
2026-04-27 20:01:45,75.5 kp/s
2026-04-27 20:02:00,75.2 kp/s
2026-04-27 20:02:15,75.0 kp/s
2026-04-27 20:02:30,74.9 kp/s
2026-04-27 20:02:45,74.9 kp/s
2026-04-27 20:03:00,74.8 kp/s
2026-04-27 20:03:15,74.9 kp/s
2026-04-27 20:03:30,74.9 kp/s
2026-04-27 20:03:45,74.9 kp/s
2026-04-27 20:04:00,75.0 kp/s
2026-04-27 20:04:15,75.2 kp/s
2026-04-27 20:04:30,75.3 kp/s
2026-04-27 20:04:45,75.3 kp/s
2026-04-27 20:05:00,75.5 kp/s
2026-04-27 20:05:15,75.6 kp/s
2026-04-27 20:05:30,75.6 kp/s
2026-04-27 20:05:45,75.6 kp/s
2026-04-27 20:06:00,75.7 kp/s
2026-04-27 20:06:15,75.7 kp/s
2026-04-27 20:06:30,75.8 kp/s
2026-04-27 20:06:45,75.9 kp/s
2026-04-27 20:07:00,76.0 kp/s
2026-04-27 20:07:15,76.0 kp/s
2026-04-27 20:07:30,76.0 kp/s
2026-04-27 20:07:45,76.1 kp/s
2026-04-27 20:08:00,76.1 kp/s
2026-04-27 20:08:15,76.1 kp/s
2026-04-27 20:08:30,76.1 kp/s
2026-04-27 20:08:45,76.1 kp/s
2026-04-27 20:09:00,76.0 kp/s
2026-04-27 20:09:15,75.9 kp/s
2026-04-27 20:09:30,76.0 kp/s
2026-04-27 20:09:45,76.0 kp/s
2026-04-27 20:10:00,76.0 kp/s
2026-04-27 20:10:15,75.9 kp/s
2026-04-27 20:10:30,75.9 kp/s
2026-04-27 20:10:45,75.9 kp/s
2026-04-27 20:11:00,75.9 kp/s
2026-04-27 20:11:15,75.8 kp/s
2026-04-27 20:11:30,75.8 kp/s
2026-04-27 20:11:45,75.8 kp/s
2026-04-27 20:12:00,75.7 kp/s
2026-04-27 20:12:15,75.7 kp/s
2026-04-27 20:12:30,75.7 kp/s
2026-04-27 20:12:45,75.7 kp/s
2026-04-27 20:13:00,75.7 kp/s
2026-04-27 20:13:15,75.7 kp/s
2026-04-27 20:13:30,75.7 kp/s
2026-04-27 20:13:45,75.7 kp/s
2026-04-27 20:14:00,75.6 kp/s
2026-04-27 20:14:15,75.6 kp/s
2026-04-27 20:14:30,75.5 kp/s
2026-04-27 20:14:45,75.4 kp/s
2026-04-27 20:15:00,75.4 kp/s
2026-04-27 20:15:15,75.4 kp/s
2026-04-27 20:15:30,75.4 kp/s
2026-04-27 20:15:45,75.3 kp/s
2026-04-27 20:16:00,75.2 kp/s
2026-04-27 20:16:15,75.2 kp/s
2026-04-27 20:16:30,75.1 kp/s
2026-04-27 20:16:45,75.1 kp/s
2026-04-27 20:17:00,75.1 kp/s
2026-04-27 20:17:15,75.0 kp/s
2026-04-27 20:17:30,74.9 kp/s
2026-04-27 20:17:45,74.8 kp/s
2026-04-27 20:18:00,74.7 kp/s
2026-04-27 20:18:15,74.7 kp/s
2026-04-27 20:18:30,74.7 kp/s
2026-04-27 20:18:45,74.7 kp/s
2026-04-27 20:19:00,74.7 kp/s
2026-04-27 20:19:15,74.7 kp/s
2026-04-27 20:19:30,74.7 kp/s
2026-04-27 20:19:45,74.7 kp/s
2026-04-27 20:20:00,74.7 kp/s
2026-04-27 20:20:15,74.7 kp/s
2026-04-27 20:20:30,74.7 kp/s
2026-04-27 20:20:45,74.7 kp/s
2026-04-27 20:21:00,74.7 kp/s
2026-04-27 20:21:15,74.7 kp/s
2026-04-27 20:21:30,74.7 kp/s
2026-04-27 20:21:45,74.7 kp/s
2026-04-27 20:22:00,74.7 kp/s
2026-04-27 20:22:15,74.8 kp/s
2026-04-27 20:22:30,74.8 kp/s
2026-04-27 20:22:45,74.8 kp/s
2026-04-27 20:23:00,74.8 kp/s
2026-04-27 20:23:15,74.7 kp/s
2026-04-27 20:23:30,74.7 kp/s
2026-04-27 20:23:45,74.7 kp/s
2026-04-27 20:24:00,74.7 kp/s
2026-04-27 20:24:15,74.7 kp/s
2026-04-27 20:24:30,74.7 kp/s
2026-04-27 20:24:45,74.7 kp/s
2026-04-27 20:25:00,74.7 kp/s
2026-04-27 20:25:15,74.7 kp/s
2026-04-27 20:25:30,74.7 kp/s
2026-04-27 20:25:45,74.7 kp/s
2026-04-27 20:26:00,74.7 kp/s
2026-04-27 20:26:15,74.7 kp/s
2026-04-27 20:26:30,74.7 kp/s
2026-04-27 20:26:45,74.7 kp/s
2026-04-27 20:27:00,74.7 kp/s
2026-04-27 20:27:15,74.7 kp/s
2026-04-27 20:27:30,74.8 kp/s
2026-04-27 20:27:45,74.8 kp/s
2026-04-27 20:28:00,74.8 kp/s
2026-04-27 20:28:15,74.9 kp/s
2026-04-27 20:28:30,74.8 kp/s
2026-04-27 20:28:45,74.9 kp/s
2026-04-27 20:29:00,74.9 kp/s
2026-04-27 20:29:15,74.9 kp/s
2026-04-27 20:29:30,74.9 kp/s
2026-04-27 20:29:45,75.0 kp/s
2026-04-27 20:30:00,75.0 kp/s
2026-04-27 20:30:15,74.9 kp/s
2026-04-27 20:30:30,74.9 kp/s
2026-04-27 20:30:45,74.9 kp/s
2026-04-27 20:31:00,74.9 kp/s
2026-04-27 20:31:15,74.9 kp/s
2026-04-27 20:31:30,74.9 kp/s
2026-04-27 20:31:45,75.0 kp/s
2026-04-27 20:32:00,75.0 kp/s
2026-04-27 20:32:15,74.8 kp/s
2026-04-27 20:32:30,74.8 kp/s
2026-04-27 20:32:45,74.8 kp/s
2026-04-27 20:33:00,74.8 kp/s
2026-04-27 20:33:15,74.8 kp/s
2026-04-27 20:33:30,74.8 kp/s
2026-04-27 20:33:45,74.8 kp/s
2026-04-27 20:34:00,74.9 kp/s
2026-04-27 20:34:15,74.9 kp/s
2026-04-27 20:34:30,74.9 kp/s
2026-04-27 20:34:45,74.9 kp/s
2026-04-27 20:35:00,74.9 kp/s
2026-04-27 20:35:15,74.9 kp/s
2026-04-27 20:35:30,74.9 kp/s
2026-04-27 20:35:45,74.9 kp/s
2026-04-27 20:36:00,74.9 kp/s
2026-04-27 20:36:15,75.0 kp/s
2026-04-27 20:36:30,74.9 kp/s
2026-04-27 20:36:45,74.9 kp/s
2026-04-27 20:37:00,75.0 kp/s
2026-04-27 20:37:15,75.0 kp/s
2026-04-27 20:37:30,75.0 kp/s
2026-04-27 20:37:45,75.0 kp/s
2026-04-27 20:38:00,74.9 kp/s
2026-04-27 20:38:15,74.9 kp/s
2026-04-27 20:38:30,74.9 kp/s
2026-04-27 20:38:45,74.9 kp/s
2026-04-27 20:39:00,74.8 kp/s
2026-04-27 20:39:15,74.8 kp/s
2026-04-27 20:39:30,74.8 kp/s
2026-04-27 20:39:45,74.8 kp/s
2026-04-27 20:40:00,74.9 kp/s
2026-04-27 20:40:15,74.9 kp/s
2026-04-27 20:40:30,74.9 kp/s
2026-04-27 20:40:45,74.9 kp/s
2026-04-27 20:41:00,74.8 kp/s
2026-04-27 20:41:15,74.8 kp/s
2026-04-27 20:41:30,74.8 kp/s
2026-04-27 20:41:45,74.8 kp/s
2026-04-27 20:42:00,74.8 kp/s
2026-04-27 20:42:15,74.9 kp/s
2026-04-27 20:42:30,75.0 kp/s
2026-04-27 20:42:45,75.0 kp/s
2026-04-27 20:43:00,75.0 kp/s
2026-04-27 20:43:15,75.0 kp/s
2026-04-27 20:43:30,75.1 kp/s
2026-04-27 20:43:45,75.1 kp/s
2026-04-27 20:44:00,75.1 kp/s
2026-04-27 20:44:15,75.1 kp/s
2026-04-27 20:44:30,75.2 kp/s
2026-04-27 20:44:45,75.2 kp/s
2026-04-27 20:45:00,75.1 kp/s
2026-04-27 20:45:15,75.2 kp/s
2026-04-27 20:45:30,75.2 kp/s
2026-04-27 20:45:45,75.2 kp/s
2026-04-27 20:46:00,75.2 kp/s
2026-04-27 20:46:15,75.2 kp/s
2026-04-27 20:46:30,75.2 kp/s
2026-04-27 20:46:45,75.2 kp/s
2026-04-27 20:47:00,75.1 kp/s
2026-04-27 20:47:15,75.1 kp/s
2026-04-27 20:47:30,75.1 kp/s
2026-04-27 20:47:45,75.1 kp/s
2026-04-27 20:48:00,75.1 kp/s
2026-04-27 20:48:15,75.0 kp/s
2026-04-27 20:48:30,75.0 kp/s
2026-04-27 20:48:45,75.0 kp/s
2026-04-27 20:49:00,75.0 kp/s
2026-04-27 20:49:15,75.0 kp/s
2026-04-27 20:49:30,75.0 kp/s
2026-04-27 20:49:45,75.0 kp/s
2026-04-27 20:50:00,75.0 kp/s
2026-04-27 20:50:15,75.1 kp/s
2026-04-27 20:50:30,75.1 kp/s
2026-04-27 20:50:45,75.1 kp/s
2026-04-27 20:51:00,75.1 kp/s
2026-04-27 20:51:15,75.1 kp/s
2026-04-27 20:51:30,75.1 kp/s
2026-04-27 20:51:45,75.1 kp/s
2026-04-27 20:52:00,75.1 kp/s
2026-04-27 20:52:15,75.0 kp/s
2026-04-27 20:52:30,75.0 kp/s
2026-04-27 20:52:45,74.9 kp/s
2026-04-27 20:53:00,74.9 kp/s
2026-04-27 20:53:15,74.8 kp/s
2026-04-27 20:53:30,74.8 kp/s
2026-04-27 20:53:45,74.7 kp/s
2026-04-27 20:54:00,74.7 kp/s
2026-04-27 20:54:15,74.6 kp/s
2026-04-27 20:54:30,74.6 kp/s
2026-04-27 20:54:45,74.5 kp/s
2026-04-27 20:55:00,74.4 kp/s
2026-04-27 20:55:15,74.4 kp/s
2026-04-27 20:55:30,74.3 kp/s
2026-04-27 20:55:45,74.3 kp/s
2026-04-27 20:56:00,74.2 kp/s
2026-04-27 20:56:15,74.2 kp/s
2026-04-27 20:56:30,74.2 kp/s
2026-04-27 20:56:45,74.1 kp/s
2026-04-27 20:57:00,74.2 kp/s
2026-04-27 20:57:15,74.2 kp/s
2026-04-27 20:57:30,74.2 kp/s
2026-04-27 20:57:45,74.2 kp/s
2026-04-27 20:58:00,74.2 kp/s
2026-04-27 20:58:15,74.2 kp/s
2026-04-27 20:58:30,74.2 kp/s
2026-04-27 20:58:45,74.2 kp/s
2026-04-27 20:59:00,74.2 kp/s
2026-04-27 20:59:15,74.2 kp/s
2026-04-27 20:59:30,74.2 kp/s
2026-04-27 20:59:45,74.2 kp/s
2026-04-27 21:00:00,74.2 kp/s
2026-04-27 21:00:15,74.2 kp/s
2026-04-27 21:00:30,74.2 kp/s
2026-04-27 21:00:45,74.3 kp/s
2026-04-27 21:01:00,74.2 kp/s
2026-04-27 21:01:15,74.2 kp/s
2026-04-27 21:01:30,74.2 kp/s
2026-04-27 21:01:45,74.2 kp/s
2026-04-27 21:02:00,74.1 kp/s
2026-04-27 21:02:15,74.1 kp/s
2026-04-27 21:02:30,74.2 kp/s
2026-04-27 21:02:45,74.2 kp/s
2026-04-27 21:03:00,74.2 kp/s
2026-04-27 21:03:15,74.2 kp/s
2026-04-27 21:03:30,74.2 kp/s
2026-04-27 21:03:45,74.2 kp/s
2026-04-27 21:04:00,74.2 kp/s
2026-04-27 21:04:15,74.2 kp/s
2026-04-27 21:04:30,74.2 kp/s
2026-04-27 21:04:45,74.2 kp/s
2026-04-27 21:05:00,74.2 kp/s
2026-04-27 21:05:15,74.2 kp/s
2026-04-27 21:05:30,74.2 kp/s
2026-04-27 21:05:45,74.2 kp/s
2026-04-27 21:06:00,74.2 kp/s
2026-04-27 21:06:15,74.2 kp/s
2026-04-27 21:06:30,74.2 kp/s
2026-04-27 21:06:45,74.2 kp/s
2026-04-27 21:07:00,74.2 kp/s
2026-04-27 21:07:15,74.2 kp/s
2026-04-27 21:07:30,74.2 kp/s
2026-04-27 21:07:45,74.2 kp/s
2026-04-27 21:08:00,74.2 kp/s
2026-04-27 21:08:15,74.2 kp/s
2026-04-27 21:08:30,74.2 kp/s
2026-04-27 21:08:45,74.2 kp/s
2026-04-27 21:09:00,74.2 kp/s
2026-04-27 21:09:15,74.2 kp/s
2026-04-27 21:09:30,74.2 kp/s
2026-04-27 21:09:45,74.2 kp/s
2026-04-27 21:10:00,74.2 kp/s
2026-04-27 21:10:15,74.1 kp/s
2026-04-27 21:10:30,74.1 kp/s
2026-04-27 21:10:45,74.1 kp/s
2026-04-27 21:11:00,74.1 kp/s
2026-04-27 21:11:15,74.2 kp/s
2026-04-27 21:11:30,74.2 kp/s
2026-04-27 21:11:45,74.2 kp/s
2026-04-27 21:12:00,74.2 kp/s
2026-04-27 21:12:15,74.2 kp/s
2026-04-27 21:12:30,74.1 kp/s
2026-04-27 21:12:45,74.1 kp/s
2026-04-27 21:13:00,74.1 kp/s
2026-04-27 21:13:15,74.1 kp/s
2026-04-27 21:13:30,74.1 kp/s
2026-04-27 21:13:45,74.1 kp/s
2026-04-27 21:14:00,74.1 kp/s
2026-04-27 21:14:15,74.1 kp/s
2026-04-27 21:14:30,74.2 kp/s
2026-04-27 21:14:45,74.2 kp/s
2026-04-27 21:15:00,74.2 kp/s
2026-04-27 21:15:15,74.2 kp/s
2026-04-27 21:15:30,74.2 kp/s
2026-04-27 21:15:45,74.1 kp/s
2026-04-27 21:16:00,74.1 kp/s
2026-04-27 21:16:15,74.2 kp/s
2026-04-27 21:16:30,74.3 kp/s
2026-04-27 21:16:45,74.3 kp/s
2026-04-27 21:17:00,74.3 kp/s
2026-04-27 21:17:15,74.4 kp/s
2026-04-27 21:17:30,74.4 kp/s
2026-04-27 21:17:45,74.4 kp/s
2026-04-27 21:18:00,74.5 kp/s
2026-04-27 21:18:15,74.5 kp/s
2026-04-27 21:18:30,74.6 kp/s
2026-04-27 21:18:45,74.6 kp/s
2026-04-27 21:19:00,74.7 kp/s
2026-04-27 21:19:15,74.7 kp/s
2026-04-27 21:19:30,74.7 kp/s
2026-04-27 21:19:45,74.7 kp/s
2026-04-27 21:20:00,74.8 kp/s
2026-04-27 21:20:15,74.8 kp/s
2026-04-27 21:20:30,74.9 kp/s
2026-04-27 21:20:45,75.0 kp/s
2026-04-27 21:21:00,75.0 kp/s
2026-04-27 21:21:15,74.9 kp/s
2026-04-27 21:21:30,74.9 kp/s
2026-04-27 21:21:45,75.0 kp/s
2026-04-27 21:22:00,75.0 kp/s
2026-04-27 21:22:15,75.0 kp/s
2026-04-27 21:22:30,75.0 kp/s
2026-04-27 21:22:45,75.0 kp/s
2026-04-27 21:23:00,74.9 kp/s
2026-04-27 21:23:15,74.9 kp/s
2026-04-27 21:23:30,74.9 kp/s
2026-04-27 21:23:45,75.0 kp/s
