"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-27 19:54:45,2.03 kB/s
2026-04-27 19:55:00,2.03 kB/s
2026-04-27 19:55:15,2.03 kB/s
2026-04-27 19:55:30,89.1 kB/s
2026-04-27 19:55:45,89.1 kB/s
2026-04-27 19:56:00,1.95 kB/s
2026-04-27 19:56:15,1.95 kB/s
2026-04-27 19:56:30,1.98 kB/s
2026-04-27 19:56:45,1.98 kB/s
2026-04-27 19:57:00,2.59 GB/s
2026-04-27 19:57:15,2.59 GB/s
2026-04-27 19:57:30,3.08 GB/s
2026-04-27 19:57:45,3.08 GB/s
2026-04-27 19:58:00,3.06 GB/s
2026-04-27 19:58:15,3.06 GB/s
2026-04-27 19:58:30,3.01 GB/s
2026-04-27 19:58:45,3.01 GB/s
2026-04-27 19:59:00,3.16 GB/s
2026-04-27 19:59:15,3.16 GB/s
2026-04-27 19:59:30,3.08 GB/s
2026-04-27 19:59:45,3.08 GB/s
2026-04-27 20:00:00,2.96 GB/s
2026-04-27 20:00:15,2.96 GB/s
2026-04-27 20:00:30,2.97 GB/s
2026-04-27 20:00:45,2.97 GB/s
2026-04-27 20:01:00,2.98 GB/s
2026-04-27 20:01:15,2.98 GB/s
2026-04-27 20:01:30,3.41 GB/s
2026-04-27 20:01:45,3.41 GB/s
2026-04-27 20:02:00,3.02 GB/s
2026-04-27 20:02:15,3.02 GB/s
2026-04-27 20:02:30,3.00 GB/s
2026-04-27 20:02:45,3.00 GB/s
2026-04-27 20:03:00,3.01 GB/s
2026-04-27 20:03:15,3.01 GB/s
2026-04-27 20:03:30,3.49 GB/s
2026-04-27 20:03:45,3.49 GB/s
2026-04-27 20:04:00,3.01 GB/s
2026-04-27 20:04:15,3.01 GB/s
2026-04-27 20:04:30,3.03 GB/s
2026-04-27 20:04:45,3.03 GB/s
2026-04-27 20:05:00,3.00 GB/s
2026-04-27 20:05:15,3.00 GB/s
2026-04-27 20:05:30,3.17 GB/s
2026-04-27 20:05:45,3.17 GB/s
2026-04-27 20:06:00,3.25 GB/s
2026-04-27 20:06:15,3.25 GB/s
2026-04-27 20:06:30,3.03 GB/s
2026-04-27 20:06:45,3.03 GB/s
2026-04-27 20:07:00,3.05 GB/s
2026-04-27 20:07:15,3.05 GB/s
2026-04-27 20:07:30,3.01 GB/s
2026-04-27 20:07:45,3.01 GB/s
2026-04-27 20:08:00,3.46 GB/s
2026-04-27 20:08:15,3.46 GB/s
2026-04-27 20:08:30,3.03 GB/s
2026-04-27 20:08:45,3.03 GB/s
2026-04-27 20:09:00,3.01 GB/s
2026-04-27 20:09:15,3.01 GB/s
2026-04-27 20:09:30,3.02 GB/s
2026-04-27 20:09:45,3.02 GB/s
2026-04-27 20:10:00,3.46 GB/s
2026-04-27 20:10:15,3.46 GB/s
2026-04-27 20:10:30,2.98 GB/s
2026-04-27 20:10:45,2.98 GB/s
2026-04-27 20:11:00,3.00 GB/s
2026-04-27 20:11:15,3.00 GB/s
2026-04-27 20:11:30,2.99 GB/s
2026-04-27 20:11:45,2.99 GB/s
2026-04-27 20:12:00,3.21 GB/s
2026-04-27 20:12:15,3.21 GB/s
2026-04-27 20:12:30,3.19 GB/s
2026-04-27 20:12:45,3.19 GB/s
2026-04-27 20:13:00,3.03 GB/s
2026-04-27 20:13:15,3.03 GB/s
2026-04-27 20:13:30,3.03 GB/s
2026-04-27 20:13:45,3.03 GB/s
2026-04-27 20:14:00,2.98 GB/s
2026-04-27 20:14:15,2.98 GB/s
2026-04-27 20:14:30,3.36 GB/s
2026-04-27 20:14:45,3.36 GB/s
2026-04-27 20:15:00,2.92 GB/s
2026-04-27 20:15:15,2.92 GB/s
2026-04-27 20:15:30,2.92 GB/s
2026-04-27 20:15:45,2.92 GB/s
2026-04-27 20:16:00,2.94 GB/s
2026-04-27 20:16:15,2.94 GB/s
2026-04-27 20:16:30,3.38 GB/s
2026-04-27 20:16:45,3.38 GB/s
2026-04-27 20:17:00,2.96 GB/s
2026-04-27 20:17:15,2.96 GB/s
2026-04-27 20:17:30,2.91 GB/s
2026-04-27 20:17:45,2.91 GB/s
2026-04-27 20:18:00,2.92 GB/s
2026-04-27 20:18:15,2.92 GB/s
2026-04-27 20:18:30,2.93 GB/s
2026-04-27 20:18:45,2.93 GB/s
2026-04-27 20:19:00,3.45 GB/s
2026-04-27 20:19:15,3.45 GB/s
2026-04-27 20:19:30,2.93 GB/s
2026-04-27 20:19:45,2.93 GB/s
2026-04-27 20:20:00,2.92 GB/s
2026-04-27 20:20:15,2.92 GB/s
2026-04-27 20:20:30,2.91 GB/s
2026-04-27 20:20:45,2.91 GB/s
2026-04-27 20:21:00,3.44 GB/s
2026-04-27 20:21:15,3.44 GB/s
2026-04-27 20:21:30,2.93 GB/s
2026-04-27 20:21:45,2.93 GB/s
2026-04-27 20:22:00,2.93 GB/s
2026-04-27 20:22:15,2.93 GB/s
2026-04-27 20:22:30,2.93 GB/s
2026-04-27 20:22:45,2.93 GB/s
2026-04-27 20:23:00,3.00 GB/s
2026-04-27 20:23:15,3.00 GB/s
2026-04-27 20:23:30,3.32 GB/s
2026-04-27 20:23:45,3.32 GB/s
2026-04-27 20:24:00,2.96 GB/s
2026-04-27 20:24:15,2.96 GB/s
2026-04-27 20:24:30,2.92 GB/s
2026-04-27 20:24:45,2.92 GB/s
2026-04-27 20:25:00,2.92 GB/s
2026-04-27 20:25:15,2.92 GB/s
2026-04-27 20:25:30,3.35 GB/s
2026-04-27 20:25:45,3.35 GB/s
2026-04-27 20:26:00,2.97 GB/s
2026-04-27 20:26:15,2.97 GB/s
2026-04-27 20:26:30,2.96 GB/s
2026-04-27 20:26:45,2.96 GB/s
2026-04-27 20:27:00,2.93 GB/s
2026-04-27 20:27:15,2.93 GB/s
2026-04-27 20:27:30,3.11 GB/s
2026-04-27 20:27:45,3.11 GB/s
2026-04-27 20:28:00,3.16 GB/s
2026-04-27 20:28:15,3.16 GB/s
2026-04-27 20:28:30,2.98 GB/s
2026-04-27 20:28:45,2.98 GB/s
2026-04-27 20:29:00,2.97 GB/s
2026-04-27 20:29:15,2.97 GB/s
2026-04-27 20:29:30,2.98 GB/s
2026-04-27 20:29:45,2.98 GB/s
2026-04-27 20:30:00,3.30 GB/s
2026-04-27 20:30:15,3.30 GB/s
2026-04-27 20:30:30,2.92 GB/s
2026-04-27 20:30:45,2.92 GB/s
2026-04-27 20:31:00,2.98 GB/s
2026-04-27 20:31:15,2.98 GB/s
2026-04-27 20:31:30,2.97 GB/s
2026-04-27 20:31:45,2.97 GB/s
2026-04-27 20:32:00,3.29 GB/s
2026-04-27 20:32:15,3.29 GB/s
2026-04-27 20:32:30,3.01 GB/s
2026-04-27 20:32:45,3.01 GB/s
2026-04-27 20:33:00,2.93 GB/s
2026-04-27 20:33:15,2.93 GB/s
2026-04-27 20:33:30,2.94 GB/s
2026-04-27 20:33:45,2.94 GB/s
2026-04-27 20:34:00,2.99 GB/s
2026-04-27 20:34:15,2.99 GB/s
2026-04-27 20:34:30,3.43 GB/s
2026-04-27 20:34:45,3.43 GB/s
2026-04-27 20:35:00,2.93 GB/s
2026-04-27 20:35:15,2.93 GB/s
2026-04-27 20:35:30,2.92 GB/s
2026-04-27 20:35:45,2.92 GB/s
2026-04-27 20:36:00,2.94 GB/s
2026-04-27 20:36:15,2.94 GB/s
2026-04-27 20:36:30,3.46 GB/s
2026-04-27 20:36:45,3.46 GB/s
2026-04-27 20:37:00,2.91 GB/s
2026-04-27 20:37:15,2.91 GB/s
2026-04-27 20:37:30,2.93 GB/s
2026-04-27 20:37:45,2.93 GB/s
2026-04-27 20:38:00,2.93 GB/s
2026-04-27 20:38:15,2.93 GB/s
2026-04-27 20:38:30,3.00 GB/s
2026-04-27 20:38:45,3.00 GB/s
2026-04-27 20:39:00,3.35 GB/s
2026-04-27 20:39:15,3.35 GB/s
2026-04-27 20:39:30,2.97 GB/s
2026-04-27 20:39:45,2.97 GB/s
2026-04-27 20:40:00,2.92 GB/s
2026-04-27 20:40:15,2.92 GB/s
2026-04-27 20:40:30,2.93 GB/s
2026-04-27 20:40:45,2.93 GB/s
2026-04-27 20:41:00,3.35 GB/s
2026-04-27 20:41:15,3.35 GB/s
