"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-04-27 19:54:45,0 B
2026-04-27 19:55:00,21.0 kB
2026-04-27 19:55:15,42.9 kB
2026-04-27 19:55:30,341 kB
2026-04-27 19:55:45,353 kB
2026-04-27 19:56:00,372 kB
2026-04-27 19:56:15,389 kB
2026-04-27 19:56:30,407 kB
2026-04-27 19:56:45,9.07 MB
2026-04-27 19:57:00,23.9 GB
2026-04-27 19:57:15,57.8 GB
2026-04-27 19:57:30,90.1 GB
2026-04-27 19:57:45,123 GB
2026-04-27 19:58:00,155 GB
2026-04-27 19:58:15,186 GB
2026-04-27 19:58:30,217 GB
2026-04-27 19:58:45,249 GB
2026-04-27 19:59:00,280 GB
2026-04-27 19:59:15,311 GB
2026-04-27 19:59:30,342 GB
2026-04-27 19:59:45,373 GB
2026-04-27 20:00:00,404 GB
2026-04-27 20:00:15,435 GB
2026-04-27 20:00:30,466 GB
2026-04-27 20:00:45,497 GB
2026-04-27 20:01:00,530 GB
2026-04-27 20:01:15,561 GB
2026-04-27 20:01:30,594 GB
2026-04-27 20:01:45,625 GB
2026-04-27 20:02:00,657 GB
2026-04-27 20:02:15,689 GB
2026-04-27 20:02:30,721 GB
2026-04-27 20:02:45,753 GB
2026-04-27 20:03:00,784 GB
2026-04-27 20:03:15,816 GB
2026-04-27 20:03:30,849 GB
2026-04-27 20:03:45,881 GB
2026-04-27 20:04:00,913 GB
2026-04-27 20:04:15,945 GB
2026-04-27 20:04:30,977 GB
2026-04-27 20:04:45,1.01 TB
2026-04-27 20:05:00,1.04 TB
2026-04-27 20:05:15,1.07 TB
2026-04-27 20:05:30,1.10 TB
2026-04-27 20:05:45,1.14 TB
2026-04-27 20:06:00,1.17 TB
2026-04-27 20:06:15,1.20 TB
2026-04-27 20:06:30,1.23 TB
2026-04-27 20:06:45,1.27 TB
2026-04-27 20:07:00,1.30 TB
2026-04-27 20:07:15,1.33 TB
2026-04-27 20:07:30,1.36 TB
2026-04-27 20:07:45,1.39 TB
2026-04-27 20:08:00,1.43 TB
2026-04-27 20:08:15,1.46 TB
2026-04-27 20:08:30,1.49 TB
2026-04-27 20:08:45,1.52 TB
2026-04-27 20:09:00,1.55 TB
2026-04-27 20:09:15,1.59 TB
2026-04-27 20:09:30,1.62 TB
2026-04-27 20:09:45,1.65 TB
2026-04-27 20:10:00,1.68 TB
2026-04-27 20:10:15,1.71 TB
2026-04-27 20:10:30,1.74 TB
2026-04-27 20:10:45,1.78 TB
2026-04-27 20:11:00,1.81 TB
2026-04-27 20:11:15,1.84 TB
2026-04-27 20:11:30,1.87 TB
2026-04-27 20:11:45,1.90 TB
2026-04-27 20:12:00,1.94 TB
2026-04-27 20:12:15,1.97 TB
2026-04-27 20:12:30,2.00 TB
2026-04-27 20:12:45,2.03 TB
2026-04-27 20:13:00,2.06 TB
2026-04-27 20:13:15,2.10 TB
2026-04-27 20:13:30,2.13 TB
2026-04-27 20:13:45,2.16 TB
2026-04-27 20:14:00,2.19 TB
2026-04-27 20:14:15,2.22 TB
2026-04-27 20:14:30,2.25 TB
2026-04-27 20:14:45,2.28 TB
2026-04-27 20:15:00,2.31 TB
2026-04-27 20:15:15,2.35 TB
2026-04-27 20:15:30,2.38 TB
2026-04-27 20:15:45,2.41 TB
2026-04-27 20:16:00,2.44 TB
2026-04-27 20:16:15,2.47 TB
2026-04-27 20:16:30,2.50 TB
2026-04-27 20:16:45,2.53 TB
2026-04-27 20:17:00,2.56 TB
2026-04-27 20:17:15,2.59 TB
2026-04-27 20:17:30,2.62 TB
2026-04-27 20:17:45,2.66 TB
2026-04-27 20:18:00,2.69 TB
2026-04-27 20:18:15,2.72 TB
2026-04-27 20:18:30,2.75 TB
2026-04-27 20:18:45,2.78 TB
2026-04-27 20:19:00,2.81 TB
2026-04-27 20:19:15,2.84 TB
2026-04-27 20:19:30,2.87 TB
2026-04-27 20:19:45,2.90 TB
2026-04-27 20:20:00,2.94 TB
2026-04-27 20:20:15,2.97 TB
2026-04-27 20:20:30,3.00 TB
2026-04-27 20:20:45,3.03 TB
2026-04-27 20:21:00,3.06 TB
2026-04-27 20:21:15,3.09 TB
2026-04-27 20:21:30,3.12 TB
2026-04-27 20:21:45,3.15 TB
2026-04-27 20:22:00,3.18 TB
2026-04-27 20:22:15,3.22 TB
2026-04-27 20:22:30,3.25 TB
2026-04-27 20:22:45,3.28 TB
2026-04-27 20:23:00,3.31 TB
2026-04-27 20:23:15,3.34 TB
2026-04-27 20:23:30,3.37 TB
2026-04-27 20:23:45,3.40 TB
2026-04-27 20:24:00,3.43 TB
2026-04-27 20:24:15,3.46 TB
2026-04-27 20:24:30,3.50 TB
2026-04-27 20:24:45,3.53 TB
2026-04-27 20:25:00,3.56 TB
2026-04-27 20:25:15,3.59 TB
2026-04-27 20:25:30,3.62 TB
2026-04-27 20:25:45,3.65 TB
2026-04-27 20:26:00,3.68 TB
2026-04-27 20:26:15,3.71 TB
2026-04-27 20:26:30,3.74 TB
2026-04-27 20:26:45,3.78 TB
2026-04-27 20:27:00,3.81 TB
2026-04-27 20:27:15,3.84 TB
2026-04-27 20:27:30,3.87 TB
2026-04-27 20:27:45,3.90 TB
2026-04-27 20:28:00,3.93 TB
2026-04-27 20:28:15,3.96 TB
2026-04-27 20:28:30,3.99 TB
2026-04-27 20:28:45,4.03 TB
2026-04-27 20:29:00,4.06 TB
2026-04-27 20:29:15,4.09 TB
2026-04-27 20:29:30,4.12 TB
2026-04-27 20:29:45,4.15 TB
2026-04-27 20:30:00,4.18 TB
2026-04-27 20:30:15,4.21 TB
2026-04-27 20:30:30,4.24 TB
2026-04-27 20:30:45,4.28 TB
2026-04-27 20:31:00,4.31 TB
2026-04-27 20:31:15,4.34 TB
2026-04-27 20:31:30,4.37 TB
2026-04-27 20:31:45,4.40 TB
2026-04-27 20:32:00,4.43 TB
2026-04-27 20:32:15,4.46 TB
2026-04-27 20:32:30,4.49 TB
2026-04-27 20:32:45,4.52 TB
2026-04-27 20:33:00,4.56 TB
2026-04-27 20:33:15,4.59 TB
2026-04-27 20:33:30,4.62 TB
2026-04-27 20:33:45,4.65 TB
2026-04-27 20:34:00,4.68 TB
2026-04-27 20:34:15,4.71 TB
2026-04-27 20:34:30,4.74 TB
2026-04-27 20:34:45,4.78 TB
2026-04-27 20:35:00,4.81 TB
2026-04-27 20:35:15,4.84 TB
2026-04-27 20:35:30,4.87 TB
2026-04-27 20:35:45,4.90 TB
2026-04-27 20:36:00,4.93 TB
2026-04-27 20:36:15,4.96 TB
2026-04-27 20:36:30,4.99 TB
2026-04-27 20:36:45,5.03 TB
2026-04-27 20:37:00,5.06 TB
2026-04-27 20:37:15,5.09 TB
2026-04-27 20:37:30,5.12 TB
2026-04-27 20:37:45,5.15 TB
2026-04-27 20:38:00,5.18 TB
2026-04-27 20:38:15,5.21 TB
2026-04-27 20:38:30,5.24 TB
2026-04-27 20:38:45,5.27 TB
2026-04-27 20:39:00,5.31 TB
2026-04-27 20:39:15,5.34 TB
2026-04-27 20:39:30,5.37 TB
2026-04-27 20:39:45,5.40 TB
2026-04-27 20:40:00,5.43 TB
2026-04-27 20:40:15,5.46 TB
2026-04-27 20:40:30,5.49 TB
2026-04-27 20:40:45,5.52 TB
2026-04-27 20:41:00,5.56 TB
2026-04-27 20:41:15,5.59 TB
2026-04-27 20:41:30,5.62 TB
2026-04-27 20:41:45,5.65 TB
2026-04-27 20:42:00,5.68 TB
2026-04-27 20:42:15,5.71 TB
2026-04-27 20:42:30,5.74 TB
2026-04-27 20:42:45,5.77 TB
2026-04-27 20:43:00,5.81 TB
2026-04-27 20:43:15,5.84 TB
2026-04-27 20:43:30,5.87 TB
2026-04-27 20:43:45,5.90 TB
2026-04-27 20:44:00,5.93 TB
2026-04-27 20:44:15,5.96 TB
2026-04-27 20:44:30,5.99 TB
2026-04-27 20:44:45,6.03 TB
2026-04-27 20:45:00,6.06 TB
2026-04-27 20:45:15,6.09 TB
2026-04-27 20:45:30,6.12 TB
2026-04-27 20:45:45,6.15 TB
2026-04-27 20:46:00,6.18 TB
2026-04-27 20:46:15,6.21 TB
2026-04-27 20:46:30,6.24 TB
2026-04-27 20:46:45,6.28 TB
2026-04-27 20:47:00,6.31 TB
2026-04-27 20:47:15,6.34 TB
2026-04-27 20:47:30,6.37 TB
2026-04-27 20:47:45,6.40 TB
2026-04-27 20:48:00,6.43 TB
2026-04-27 20:48:15,6.46 TB
2026-04-27 20:48:30,6.49 TB
2026-04-27 20:48:45,6.53 TB
2026-04-27 20:49:00,6.56 TB
2026-04-27 20:49:15,6.59 TB
2026-04-27 20:49:30,6.62 TB
2026-04-27 20:49:45,6.65 TB
2026-04-27 20:50:00,6.68 TB
2026-04-27 20:50:15,6.71 TB
2026-04-27 20:50:30,6.75 TB
2026-04-27 20:50:45,6.78 TB
2026-04-27 20:51:00,6.81 TB
2026-04-27 20:51:15,6.84 TB
2026-04-27 20:51:30,6.87 TB
2026-04-27 20:51:45,6.90 TB
2026-04-27 20:52:00,6.93 TB
2026-04-27 20:52:15,6.96 TB
2026-04-27 20:52:30,7.00 TB
2026-04-27 20:52:45,7.03 TB
2026-04-27 20:53:00,7.06 TB
2026-04-27 20:53:15,7.09 TB
2026-04-27 20:53:30,7.12 TB
2026-04-27 20:53:45,7.15 TB
2026-04-27 20:54:00,7.18 TB
2026-04-27 20:54:15,7.21 TB
2026-04-27 20:54:30,7.24 TB
2026-04-27 20:54:45,7.28 TB
2026-04-27 20:55:00,7.31 TB
2026-04-27 20:55:15,7.34 TB
2026-04-27 20:55:30,7.37 TB
2026-04-27 20:55:45,7.40 TB
2026-04-27 20:56:00,7.43 TB
2026-04-27 20:56:15,7.46 TB
2026-04-27 20:56:30,7.49 TB
2026-04-27 20:56:45,7.53 TB
2026-04-27 20:57:00,7.56 TB
2026-04-27 20:57:15,7.59 TB
2026-04-27 20:57:30,7.62 TB
2026-04-27 20:57:45,7.65 TB
2026-04-27 20:58:00,7.68 TB
2026-04-27 20:58:15,7.71 TB
2026-04-27 20:58:30,7.74 TB
2026-04-27 20:58:45,7.78 TB
2026-04-27 20:59:00,7.81 TB
2026-04-27 20:59:15,7.84 TB
2026-04-27 20:59:30,7.87 TB
2026-04-27 20:59:45,7.90 TB
2026-04-27 21:00:00,7.93 TB
2026-04-27 21:00:15,7.96 TB
2026-04-27 21:00:30,7.99 TB
2026-04-27 21:00:45,8.03 TB
2026-04-27 21:01:00,8.06 TB
2026-04-27 21:01:15,8.09 TB
2026-04-27 21:01:30,8.12 TB
2026-04-27 21:01:45,8.15 TB
2026-04-27 21:02:00,8.18 TB
2026-04-27 21:02:15,8.21 TB
2026-04-27 21:02:30,8.24 TB
2026-04-27 21:02:45,8.28 TB
2026-04-27 21:03:00,8.31 TB
2026-04-27 21:03:15,8.34 TB
2026-04-27 21:03:30,8.37 TB
2026-04-27 21:03:45,8.40 TB
2026-04-27 21:04:00,8.43 TB
2026-04-27 21:04:15,8.46 TB
2026-04-27 21:04:30,8.49 TB
