"Time","172.212.226.225:9100 eth0 rx"
2026-04-27 22:20:00,770 B/s
2026-04-27 22:20:15,758 B/s
2026-04-27 22:20:30,9.43 kB/s
2026-04-27 22:20:45,57.8 kB/s
2026-04-27 22:21:00,57.8 kB/s
2026-04-27 22:21:15,57.7 kB/s
2026-04-27 22:21:30,57.8 kB/s
2026-04-27 22:21:45,57.8 kB/s
2026-04-27 22:22:00,113 MB/s
2026-04-27 22:22:15,113 MB/s
2026-04-27 22:22:30,113 MB/s
2026-04-27 22:22:45,113 MB/s
2026-04-27 22:23:00,113 MB/s
2026-04-27 22:23:15,113 MB/s
2026-04-27 22:23:30,113 MB/s
2026-04-27 22:23:45,113 MB/s
2026-04-27 22:24:00,113 MB/s
2026-04-27 22:24:15,113 MB/s
2026-04-27 22:24:30,113 MB/s
2026-04-27 22:24:45,113 MB/s
2026-04-27 22:25:00,113 MB/s
2026-04-27 22:25:15,113 MB/s
2026-04-27 22:25:30,113 MB/s
2026-04-27 22:25:45,113 MB/s
2026-04-27 22:26:00,113 MB/s
2026-04-27 22:26:15,113 MB/s
2026-04-27 22:26:30,113 MB/s
2026-04-27 22:26:45,176 kB/s
2026-04-27 22:27:00,176 kB/s
2026-04-27 22:27:15,771 B/s
2026-04-27 22:27:30,777 B/s
2026-04-27 22:27:45,790 B/s
2026-04-27 22:28:00,784 B/s
2026-04-27 22:28:15,779 B/s
2026-04-27 22:28:30,784 B/s
2026-04-27 22:28:45,791 B/s
2026-04-27 22:29:00,777 B/s
2026-04-27 22:29:15,771 B/s
2026-04-27 22:29:30,757 B/s
2026-04-27 22:29:45,771 B/s
2026-04-27 22:30:00,765 B/s
2026-04-27 22:30:15,758 B/s
2026-04-27 22:30:30,926 B/s
2026-04-27 22:30:45,949 B/s
2026-04-27 22:31:00,936 B/s
2026-04-27 22:31:15,942 B/s
2026-04-27 22:31:30,932 B/s
2026-04-27 22:31:45,962 B/s
2026-04-27 22:32:00,956 B/s
2026-04-27 22:32:15,951 B/s
2026-04-27 22:32:30,939 B/s
2026-04-27 22:32:45,949 B/s
2026-04-27 22:33:00,949 B/s
2026-04-27 22:33:15,930 B/s
2026-04-27 22:33:30,932 B/s
2026-04-27 22:33:45,949 B/s
2026-04-27 22:34:00,956 B/s
2026-04-27 22:34:15,938 B/s
2026-04-27 22:34:30,939 B/s
2026-04-27 22:34:45,948 B/s
2026-04-27 22:35:00,948 B/s
2026-04-27 22:35:15,768 B/s
2026-04-27 22:35:30,753 B/s
2026-04-27 22:35:45,770 B/s
2026-04-27 22:36:00,756 B/s
2026-04-27 22:36:15,753 B/s
2026-04-27 22:36:30,738 B/s
2026-04-27 22:36:45,747 B/s
2026-04-27 22:37:00,747 B/s
2026-04-27 22:37:15,746 B/s
2026-04-27 22:37:30,743 B/s
2026-04-27 22:37:45,747 B/s
2026-04-27 22:38:00,2.67 MB/s
2026-04-27 22:38:15,22.4 MB/s
2026-04-27 22:38:30,39.9 MB/s
2026-04-27 22:38:45,56.0 MB/s
2026-04-27 22:39:00,71.9 MB/s
2026-04-27 22:39:15,89.3 MB/s
2026-04-27 22:39:30,105 MB/s
2026-04-27 22:39:45,122 MB/s
2026-04-27 22:40:00,138 MB/s
2026-04-27 22:40:15,154 MB/s
2026-04-27 22:40:30,169 MB/s
2026-04-27 22:40:45,169 MB/s
2026-04-27 22:41:00,169 MB/s
2026-04-27 22:41:15,169 MB/s
2026-04-27 22:41:30,169 MB/s
2026-04-27 22:41:45,169 MB/s
2026-04-27 22:42:00,169 MB/s
2026-04-27 22:42:15,169 MB/s
2026-04-27 22:42:30,169 MB/s
2026-04-27 22:42:45,167 MB/s
2026-04-27 22:43:00,147 MB/s
2026-04-27 22:43:15,129 MB/s
2026-04-27 22:43:30,113 MB/s
2026-04-27 22:43:45,97.5 MB/s
2026-04-27 22:44:00,80.1 MB/s
2026-04-27 22:44:15,64.2 MB/s
2026-04-27 22:44:30,47.8 MB/s
2026-04-27 22:44:45,31.9 MB/s
2026-04-27 22:45:00,15.7 MB/s
2026-04-27 22:45:15,753 B/s
2026-04-27 22:45:30,751 B/s
2026-04-27 22:45:45,764 B/s
2026-04-27 22:46:00,777 B/s
2026-04-27 22:46:15,762 B/s
2026-04-27 22:46:30,751 B/s
2026-04-27 22:46:45,755 B/s
2026-04-27 22:47:00,768 B/s
2026-04-27 22:47:15,754 B/s
2026-04-27 22:47:30,751 B/s
2026-04-27 22:47:45,763 B/s
2026-04-27 22:48:00,776 B/s
2026-04-27 22:48:15,762 B/s
2026-04-27 22:48:30,751 B/s
2026-04-27 22:48:45,755 B/s
2026-04-27 22:49:00,755 B/s
2026-04-27 22:49:15,754 B/s
2026-04-27 22:49:30,731 B/s
2026-04-27 22:49:45,756 B/s
2026-04-27 22:50:00,756 B/s
2026-04-27 22:50:15,753 B/s
2026-04-27 22:50:30,730 B/s
2026-04-27 22:50:45,755 B/s
2026-04-27 22:51:00,755 B/s
2026-04-27 22:51:15,754 B/s
2026-04-27 22:51:30,738 B/s
2026-04-27 22:51:45,763 B/s
2026-04-27 22:52:00,763 B/s
2026-04-27 22:52:15,761 B/s
2026-04-27 22:52:30,738 B/s
2026-04-27 22:52:45,755 B/s
2026-04-27 22:53:00,755 B/s
2026-04-27 22:53:15,754 B/s
2026-04-27 22:53:30,738 B/s
2026-04-27 22:53:45,775 B/s
2026-04-27 22:54:00,769 B/s
2026-04-27 22:54:15,791 B/s
2026-04-27 22:54:30,754 B/s
2026-04-27 22:54:45,784 B/s
2026-04-27 22:55:00,771 B/s
2026-04-27 22:55:15,782 B/s
2026-04-27 22:55:30,747 B/s
2026-04-27 22:55:45,785 B/s
2026-04-27 22:56:00,772 B/s
2026-04-27 22:56:15,784 B/s
2026-04-27 22:56:30,11.1 MB/s
2026-04-27 22:56:45,37.4 MB/s
2026-04-27 22:57:00,62.0 MB/s
2026-04-27 22:57:15,86.8 MB/s
2026-04-27 22:57:30,112 MB/s
2026-04-27 22:57:45,140 MB/s
2026-04-27 22:58:00,169 MB/s
2026-04-27 22:58:15,169 MB/s
2026-04-27 22:58:30,169 MB/s
2026-04-27 22:58:45,169 MB/s
2026-04-27 22:59:00,169 MB/s
2026-04-27 22:59:15,169 MB/s
2026-04-27 22:59:30,169 MB/s
2026-04-27 22:59:45,169 MB/s
2026-04-27 23:00:00,169 MB/s
2026-04-27 23:00:15,169 MB/s
2026-04-27 23:00:30,169 MB/s
2026-04-27 23:00:45,169 MB/s
2026-04-27 23:01:00,169 MB/s
2026-04-27 23:01:15,158 MB/s
2026-04-27 23:01:30,132 MB/s
2026-04-27 23:01:45,107 MB/s
2026-04-27 23:02:00,82.6 MB/s
2026-04-27 23:02:15,57.1 MB/s
2026-04-27 23:02:30,29.5 MB/s
2026-04-27 23:02:45,787 B/s
2026-04-27 23:03:00,774 B/s
2026-04-27 23:03:15,786 B/s
2026-04-27 23:03:30,753 B/s
2026-04-27 23:03:45,783 B/s
2026-04-27 23:04:00,770 B/s
2026-04-27 23:04:15,774 B/s
2026-04-27 23:04:30,745 B/s
2026-04-27 23:04:45,775 B/s
2026-04-27 23:05:00,764 B/s
2026-04-27 23:05:15,761 B/s
2026-04-27 23:05:30,754 B/s
2026-04-27 23:05:45,772 B/s
2026-04-27 23:06:00,772 B/s
2026-04-27 23:06:15,769 B/s
2026-04-27 23:06:30,754 B/s
2026-04-27 23:06:45,770 B/s
2026-04-27 23:07:00,781 B/s
2026-04-27 23:07:15,780 B/s
2026-04-27 23:07:30,764 B/s
2026-04-27 23:07:45,781 B/s
2026-04-27 23:08:00,890 B/s
2026-04-27 23:08:15,882 B/s
2026-04-27 23:08:30,867 B/s
2026-04-27 23:08:45,884 B/s
2026-04-27 23:09:00,884 B/s
2026-04-27 23:09:15,884 B/s
2026-04-27 23:09:30,881 B/s
2026-04-27 23:09:45,891 B/s
2026-04-27 23:10:00,904 B/s
2026-04-27 23:10:15,880 B/s
2026-04-27 23:10:30,878 B/s
2026-04-27 23:10:45,883 B/s
2026-04-27 23:11:00,889 B/s
2026-04-27 23:11:15,875 B/s
2026-04-27 23:11:30,880 B/s
2026-04-27 23:11:45,873 B/s
2026-04-27 23:12:00,886 B/s
2026-04-27 23:12:15,864 B/s
2026-04-27 23:12:30,867 B/s
2026-04-27 23:12:45,763 B/s
2026-04-27 23:13:00,776 B/s
2026-04-27 23:13:15,760 B/s
2026-04-27 23:13:30,764 B/s
2026-04-27 23:13:45,769 B/s
2026-04-27 23:14:00,11.1 MB/s
2026-04-27 23:14:15,29.5 MB/s
2026-04-27 23:14:30,46.7 MB/s
2026-04-27 23:14:45,63.8 MB/s
2026-04-27 23:15:00,81.0 MB/s
2026-04-27 23:15:15,98.5 MB/s
2026-04-27 23:15:30,122 MB/s
2026-04-27 23:15:45,154 MB/s
2026-04-27 23:16:00,169 MB/s
2026-04-27 23:16:15,169 MB/s
2026-04-27 23:16:30,169 MB/s
2026-04-27 23:16:45,169 MB/s
2026-04-27 23:17:00,169 MB/s
2026-04-27 23:17:15,169 MB/s
2026-04-27 23:17:30,169 MB/s
2026-04-27 23:17:45,169 MB/s
2026-04-27 23:18:00,169 MB/s
2026-04-27 23:18:15,169 MB/s
2026-04-27 23:18:30,169 MB/s
2026-04-27 23:18:45,158 MB/s
2026-04-27 23:19:00,140 MB/s
2026-04-27 23:19:15,123 MB/s
2026-04-27 23:19:30,106 MB/s
2026-04-27 23:19:45,88.4 MB/s
2026-04-27 23:20:00,70.9 MB/s
2026-04-27 23:20:15,47.2 MB/s
2026-04-27 23:20:30,15.2 MB/s
2026-04-27 23:20:45,754 B/s
2026-04-27 23:21:00,754 B/s
2026-04-27 23:21:15,760 B/s
2026-04-27 23:21:30,743 B/s
2026-04-27 23:21:45,768 B/s
2026-04-27 23:22:00,761 B/s
2026-04-27 23:22:15,760 B/s
2026-04-27 23:22:30,743 B/s
2026-04-27 23:22:45,761 B/s
2026-04-27 23:23:00,761 B/s
2026-04-27 23:23:15,760 B/s
2026-04-27 23:23:30,743 B/s
2026-04-27 23:23:45,762 B/s
2026-04-27 23:24:00,754 B/s
2026-04-27 23:24:15,767 B/s
2026-04-27 23:24:30,736 B/s
2026-04-27 23:24:45,767 B/s
2026-04-27 23:25:00,763 B/s
2026-04-27 23:25:15,792 B/s
2026-04-27 23:25:30,762 B/s
2026-04-27 23:25:45,793 B/s
2026-04-27 23:26:00,773 B/s
2026-04-27 23:26:15,786 B/s
2026-04-27 23:26:30,748 B/s
2026-04-27 23:26:45,779 B/s
2026-04-27 23:27:00,766 B/s
2026-04-27 23:27:15,787 B/s
2026-04-27 23:27:30,762 B/s
2026-04-27 23:27:45,794 B/s
2026-04-27 23:28:00,773 B/s
2026-04-27 23:28:15,786 B/s
2026-04-27 23:28:30,764 B/s
2026-04-27 23:28:45,797 B/s
2026-04-27 23:29:00,791 B/s
2026-04-27 23:29:15,807 B/s
2026-04-27 23:29:30,775 B/s
2026-04-27 23:29:45,799 B/s
2026-04-27 23:30:00,770 B/s
2026-04-27 23:30:15,790 B/s
2026-04-27 23:30:30,771 B/s
2026-04-27 23:30:45,987 B/s
2026-04-27 23:31:00,988 B/s
2026-04-27 23:31:15,1.00 kB/s
2026-04-27 23:31:30,974 B/s
2026-04-27 23:31:45,1.01 kB/s
2026-04-27 23:32:00,30.0 MB/s
2026-04-27 23:32:15,60.7 MB/s
2026-04-27 23:32:30,91.4 MB/s
2026-04-27 23:32:45,122 MB/s
2026-04-27 23:33:00,152 MB/s
2026-04-27 23:33:15,169 MB/s
2026-04-27 23:33:30,169 MB/s
2026-04-27 23:33:45,169 MB/s
2026-04-27 23:34:00,169 MB/s
2026-04-27 23:34:15,169 MB/s
2026-04-27 23:34:30,169 MB/s
2026-04-27 23:34:45,169 MB/s
2026-04-27 23:35:00,169 MB/s
2026-04-27 23:35:15,169 MB/s
2026-04-27 23:35:30,169 MB/s
2026-04-27 23:35:45,169 MB/s
2026-04-27 23:36:00,169 MB/s
2026-04-27 23:36:15,169 MB/s
2026-04-27 23:36:30,169 MB/s
2026-04-27 23:36:45,139 MB/s
2026-04-27 23:37:00,109 MB/s
2026-04-27 23:37:15,78.0 MB/s
2026-04-27 23:37:30,47.4 MB/s
2026-04-27 23:37:45,17.5 MB/s
2026-04-27 23:38:00,831 B/s
2026-04-27 23:38:15,824 B/s
2026-04-27 23:38:30,798 B/s
2026-04-27 23:38:45,815 B/s
2026-04-27 23:39:00,823 B/s
2026-04-27 23:39:15,821 B/s
2026-04-27 23:39:30,803 B/s
2026-04-27 23:39:45,803 B/s
2026-04-27 23:40:00,799 B/s
2026-04-27 23:40:15,805 B/s
2026-04-27 23:40:30,789 B/s
2026-04-27 23:40:45,795 B/s
2026-04-27 23:41:00,821 B/s
2026-04-27 23:41:15,804 B/s
2026-04-27 23:41:30,804 B/s
2026-04-27 23:41:45,796 B/s
2026-04-27 23:42:00,808 B/s
2026-04-27 23:42:15,795 B/s
2026-04-27 23:42:30,783 B/s
2026-04-27 23:42:45,788 B/s
2026-04-27 23:43:00,809 B/s
2026-04-27 23:43:15,799 B/s
2026-04-27 23:43:30,791 B/s
2026-04-27 23:43:45,788 B/s
2026-04-27 23:44:00,801 B/s
2026-04-27 23:44:15,788 B/s
2026-04-27 23:44:30,789 B/s
2026-04-27 23:44:45,788 B/s
2026-04-27 23:45:00,802 B/s
2026-04-27 23:45:15,787 B/s
2026-04-27 23:45:30,783 B/s
2026-04-27 23:45:45,782 B/s
2026-04-27 23:46:00,793 B/s
2026-04-27 23:46:15,781 B/s
2026-04-27 23:46:30,775 B/s
2026-04-27 23:46:45,793 B/s
2026-04-27 23:47:00,814 B/s
2026-04-27 23:47:15,801 B/s
2026-04-27 23:47:30,795 B/s
2026-04-27 23:47:45,793 B/s
2026-04-27 23:48:00,801 B/s
2026-04-27 23:48:15,786 B/s
2026-04-27 23:48:30,780 B/s
2026-04-27 23:48:45,794 B/s
2026-04-27 23:49:00,2.96 MB/s
2026-04-27 23:49:15,32.2 MB/s
2026-04-27 23:49:30,59.2 MB/s
2026-04-27 23:49:45,85.4 MB/s
2026-04-27 23:50:00,112 MB/s
2026-04-27 23:50:15,137 MB/s
2026-04-27 23:50:30,160 MB/s
2026-04-27 23:50:45,169 MB/s
2026-04-27 23:51:00,169 MB/s
2026-04-27 23:51:15,169 MB/s
2026-04-27 23:51:30,169 MB/s
2026-04-27 23:51:45,169 MB/s
2026-04-27 23:52:00,169 MB/s
2026-04-27 23:52:15,169 MB/s
2026-04-27 23:52:30,169 MB/s
2026-04-27 23:52:45,169 MB/s
2026-04-27 23:53:00,169 MB/s
2026-04-27 23:53:15,169 MB/s
2026-04-27 23:53:30,169 MB/s
2026-04-27 23:53:45,166 MB/s
2026-04-27 23:54:00,137 MB/s
2026-04-27 23:54:15,110 MB/s
2026-04-27 23:54:30,84.0 MB/s
2026-04-27 23:54:45,57.6 MB/s
2026-04-27 23:55:00,32.4 MB/s
2026-04-27 23:55:15,9.43 MB/s
2026-04-27 23:55:30,731 B/s
2026-04-27 23:55:45,749 B/s
2026-04-27 23:56:00,750 B/s
2026-04-27 23:56:15,750 B/s
2026-04-27 23:56:30,732 B/s
2026-04-27 23:56:45,769 B/s
2026-04-27 23:57:00,755 B/s
2026-04-27 23:57:15,769 B/s
2026-04-27 23:57:30,729 B/s
2026-04-27 23:57:45,761 B/s
2026-04-27 23:58:00,748 B/s
2026-04-27 23:58:15,761 B/s
2026-04-27 23:58:30,741 B/s
2026-04-27 23:58:45,780 B/s
2026-04-27 23:59:00,767 B/s
2026-04-27 23:59:15,780 B/s
2026-04-27 23:59:30,741 B/s
2026-04-27 23:59:45,772 B/s
2026-04-28 00:00:00,759 B/s
2026-04-28 00:00:15,771 B/s
2026-04-28 00:00:30,740 B/s
2026-04-28 00:00:45,779 B/s
2026-04-28 00:01:00,766 B/s
2026-04-28 00:01:15,787 B/s
2026-04-28 00:01:30,748 B/s
2026-04-28 00:01:45,779 B/s
2026-04-28 00:02:00,766 B/s
2026-04-28 00:02:15,779 B/s
2026-04-28 00:02:30,748 B/s
2026-04-28 00:02:45,779 B/s
2026-04-28 00:03:00,766 B/s
