"Time","172.212.226.225:9100 eth0 rx"
2026-04-27 22:20:00,3.04 p/s
2026-04-27 22:20:15,2.99 p/s
2026-04-27 22:20:30,4.11 p/s
2026-04-27 22:20:45,25.2 p/s
2026-04-27 22:21:00,25.2 p/s
2026-04-27 22:21:15,25.1 p/s
2026-04-27 22:21:30,25.2 p/s
2026-04-27 22:21:45,25.2 p/s
2026-04-27 22:22:00,3.16 kp/s
2026-04-27 22:22:15,3.16 kp/s
2026-04-27 22:22:30,3.18 kp/s
2026-04-27 22:22:45,3.18 kp/s
2026-04-27 22:23:00,3.18 kp/s
2026-04-27 22:23:15,3.18 kp/s
2026-04-27 22:23:30,3.18 kp/s
2026-04-27 22:23:45,3.18 kp/s
2026-04-27 22:24:00,3.18 kp/s
2026-04-27 22:24:15,3.18 kp/s
2026-04-27 22:24:30,3.18 kp/s
2026-04-27 22:24:45,3.18 kp/s
2026-04-27 22:25:00,3.18 kp/s
2026-04-27 22:25:15,3.18 kp/s
2026-04-27 22:25:30,3.16 kp/s
2026-04-27 22:25:45,3.16 kp/s
2026-04-27 22:26:00,3.16 kp/s
2026-04-27 22:26:15,3.16 kp/s
2026-04-27 22:26:30,3.16 kp/s
2026-04-27 22:26:45,27.1 p/s
2026-04-27 22:27:00,27.0 p/s
2026-04-27 22:27:15,3.36 p/s
2026-04-27 22:27:30,3.39 p/s
2026-04-27 22:27:45,3.44 p/s
2026-04-27 22:28:00,3.42 p/s
2026-04-27 22:28:15,3.39 p/s
2026-04-27 22:28:30,3.42 p/s
2026-04-27 22:28:45,3.45 p/s
2026-04-27 22:29:00,3.39 p/s
2026-04-27 22:29:15,3.36 p/s
2026-04-27 22:29:30,3.08 p/s
2026-04-27 22:29:45,3.14 p/s
2026-04-27 22:30:00,3.13 p/s
2026-04-27 22:30:15,3.08 p/s
2026-04-27 22:30:30,5.85 p/s
2026-04-27 22:30:45,5.93 p/s
2026-04-27 22:31:00,5.88 p/s
2026-04-27 22:31:15,5.82 p/s
2026-04-27 22:31:30,5.81 p/s
2026-04-27 22:31:45,5.92 p/s
2026-04-27 22:32:00,5.91 p/s
2026-04-27 22:32:15,5.88 p/s
2026-04-27 22:32:30,5.85 p/s
2026-04-27 22:32:45,5.87 p/s
2026-04-27 22:33:00,5.87 p/s
2026-04-27 22:33:15,5.79 p/s
2026-04-27 22:33:30,5.81 p/s
2026-04-27 22:33:45,5.87 p/s
2026-04-27 22:34:00,5.91 p/s
2026-04-27 22:34:15,5.83 p/s
2026-04-27 22:34:30,5.84 p/s
2026-04-27 22:34:45,5.85 p/s
2026-04-27 22:35:00,5.85 p/s
2026-04-27 22:35:15,3.04 p/s
2026-04-27 22:35:30,3.00 p/s
2026-04-27 22:35:45,3.06 p/s
2026-04-27 22:36:00,2.97 p/s
2026-04-27 22:36:15,2.94 p/s
2026-04-27 22:36:30,2.89 p/s
2026-04-27 22:36:45,2.92 p/s
2026-04-27 22:37:00,2.92 p/s
2026-04-27 22:37:15,2.91 p/s
2026-04-27 22:37:30,2.91 p/s
2026-04-27 22:37:45,2.92 p/s
2026-04-27 22:38:00,97.6 p/s
2026-04-27 22:38:15,826 p/s
2026-04-27 22:38:30,1.48 kp/s
2026-04-27 22:38:45,2.07 kp/s
2026-04-27 22:39:00,2.65 kp/s
2026-04-27 22:39:15,3.27 kp/s
2026-04-27 22:39:30,3.85 kp/s
2026-04-27 22:39:45,4.45 kp/s
2026-04-27 22:40:00,5.03 kp/s
2026-04-27 22:40:15,5.61 kp/s
2026-04-27 22:40:30,6.20 kp/s
2026-04-27 22:40:45,6.20 kp/s
2026-04-27 22:41:00,6.20 kp/s
2026-04-27 22:41:15,6.20 kp/s
2026-04-27 22:41:30,6.20 kp/s
2026-04-27 22:41:45,6.20 kp/s
2026-04-27 22:42:00,6.20 kp/s
2026-04-27 22:42:15,6.20 kp/s
2026-04-27 22:42:30,6.20 kp/s
2026-04-27 22:42:45,6.10 kp/s
2026-04-27 22:43:00,5.37 kp/s
2026-04-27 22:43:15,4.72 kp/s
2026-04-27 22:43:30,4.13 kp/s
2026-04-27 22:43:45,3.55 kp/s
2026-04-27 22:44:00,2.92 kp/s
2026-04-27 22:44:15,2.35 kp/s
2026-04-27 22:44:30,1.75 kp/s
2026-04-27 22:44:45,1.17 kp/s
2026-04-27 22:45:00,587 p/s
2026-04-27 22:45:15,2.96 p/s
2026-04-27 22:45:30,2.98 p/s
2026-04-27 22:45:45,3.04 p/s
2026-04-27 22:46:00,3.08 p/s
2026-04-27 22:46:15,3.02 p/s
2026-04-27 22:46:30,2.98 p/s
2026-04-27 22:46:45,2.98 p/s
2026-04-27 22:47:00,3.03 p/s
2026-04-27 22:47:15,2.97 p/s
2026-04-27 22:47:30,2.97 p/s
2026-04-27 22:47:45,3.03 p/s
2026-04-27 22:48:00,3.08 p/s
2026-04-27 22:48:15,3.01 p/s
2026-04-27 22:48:30,2.98 p/s
2026-04-27 22:48:45,2.99 p/s
2026-04-27 22:49:00,2.99 p/s
2026-04-27 22:49:15,2.97 p/s
2026-04-27 22:49:30,2.87 p/s
2026-04-27 22:49:45,2.97 p/s
2026-04-27 22:50:00,2.97 p/s
2026-04-27 22:50:15,2.94 p/s
2026-04-27 22:50:30,2.86 p/s
2026-04-27 22:50:45,2.98 p/s
2026-04-27 22:51:00,2.98 p/s
2026-04-27 22:51:15,2.97 p/s
2026-04-27 22:51:30,2.92 p/s
2026-04-27 22:51:45,3.02 p/s
2026-04-27 22:52:00,3.02 p/s
2026-04-27 22:52:15,3.01 p/s
2026-04-27 22:52:30,2.92 p/s
2026-04-27 22:52:45,2.98 p/s
2026-04-27 22:53:00,2.98 p/s
2026-04-27 22:53:15,2.96 p/s
2026-04-27 22:53:30,2.92 p/s
2026-04-27 22:53:45,3.06 p/s
2026-04-27 22:54:00,3.06 p/s
2026-04-27 22:54:15,3.13 p/s
2026-04-27 22:54:30,3.00 p/s
2026-04-27 22:54:45,3.11 p/s
2026-04-27 22:55:00,3.06 p/s
2026-04-27 22:55:15,3.08 p/s
2026-04-27 22:55:30,2.94 p/s
2026-04-27 22:55:45,3.09 p/s
2026-04-27 22:56:00,3.04 p/s
2026-04-27 22:56:15,3.08 p/s
2026-04-27 22:56:30,433 p/s
2026-04-27 22:56:45,1.37 kp/s
2026-04-27 22:57:00,2.25 kp/s
2026-04-27 22:57:15,3.14 kp/s
2026-04-27 22:57:30,4.05 kp/s
2026-04-27 22:57:45,5.04 kp/s
2026-04-27 22:58:00,6.10 kp/s
2026-04-27 22:58:15,6.10 kp/s
2026-04-27 22:58:30,6.10 kp/s
2026-04-27 22:58:45,6.10 kp/s
2026-04-27 22:59:00,6.10 kp/s
2026-04-27 22:59:15,6.10 kp/s
2026-04-27 22:59:30,6.10 kp/s
2026-04-27 22:59:45,6.10 kp/s
2026-04-27 23:00:00,6.10 kp/s
2026-04-27 23:00:15,6.10 kp/s
2026-04-27 23:00:30,6.10 kp/s
2026-04-27 23:00:45,6.10 kp/s
2026-04-27 23:01:00,6.10 kp/s
2026-04-27 23:01:15,5.67 kp/s
2026-04-27 23:01:30,4.74 kp/s
2026-04-27 23:01:45,3.85 kp/s
2026-04-27 23:02:00,2.97 kp/s
2026-04-27 23:02:15,2.05 kp/s
2026-04-27 23:02:30,1.07 kp/s
2026-04-27 23:02:45,3.12 p/s
2026-04-27 23:03:00,3.07 p/s
2026-04-27 23:03:15,3.10 p/s
2026-04-27 23:03:30,3.00 p/s
2026-04-27 23:03:45,3.10 p/s
2026-04-27 23:04:00,3.05 p/s
2026-04-27 23:04:15,3.05 p/s
2026-04-27 23:04:30,2.95 p/s
2026-04-27 23:04:45,3.07 p/s
2026-04-27 23:05:00,3.03 p/s
2026-04-27 23:05:15,3.00 p/s
2026-04-27 23:05:30,3.01 p/s
2026-04-27 23:05:45,3.08 p/s
