"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-27 22:20:00,1.95 kB/s
2026-04-27 22:20:15,1.95 kB/s
2026-04-27 22:20:30,1.95 kB/s
2026-04-27 22:20:45,1.95 kB/s
2026-04-27 22:21:00,88.8 kB/s
2026-04-27 22:21:15,88.8 kB/s
2026-04-27 22:21:30,1.96 kB/s
2026-04-27 22:21:45,1.96 kB/s
2026-04-27 22:22:00,1.31 GB/s
2026-04-27 22:22:15,1.31 GB/s
2026-04-27 22:22:30,2.50 GB/s
2026-04-27 22:22:45,2.50 GB/s
2026-04-27 22:23:00,3.97 GB/s
2026-04-27 22:23:15,3.97 GB/s
2026-04-27 22:23:30,1.65 GB/s
2026-04-27 22:23:45,1.65 GB/s
2026-04-27 22:24:00,1.56 GB/s
2026-04-27 22:24:15,1.56 GB/s
2026-04-27 22:24:30,1.55 GB/s
2026-04-27 22:24:45,1.55 GB/s
2026-04-27 22:25:00,1.56 GB/s
2026-04-27 22:25:15,1.56 GB/s
2026-04-27 22:25:30,1.53 GB/s
2026-04-27 22:25:45,1.53 GB/s
2026-04-27 22:26:00,1.53 GB/s
2026-04-27 22:26:15,1.53 GB/s
2026-04-27 22:26:30,1.57 GB/s
2026-04-27 22:26:45,1.57 GB/s
2026-04-27 22:27:00,1.54 GB/s
2026-04-27 22:27:15,1.54 GB/s
2026-04-27 22:27:30,1.55 GB/s
2026-04-27 22:27:45,1.55 GB/s
2026-04-27 22:28:00,1.54 GB/s
2026-04-27 22:28:15,1.54 GB/s
2026-04-27 22:28:30,1.57 GB/s
2026-04-27 22:28:45,1.57 GB/s
2026-04-27 22:29:00,1.55 GB/s
2026-04-27 22:29:15,1.55 GB/s
2026-04-27 22:29:30,1.55 GB/s
2026-04-27 22:29:45,1.55 GB/s
2026-04-27 22:30:00,1.56 GB/s
2026-04-27 22:30:15,1.56 GB/s
2026-04-27 22:30:30,1.54 GB/s
2026-04-27 22:30:45,1.54 GB/s
2026-04-27 22:31:00,1.55 GB/s
2026-04-27 22:31:15,1.55 GB/s
2026-04-27 22:31:30,1.61 GB/s
2026-04-27 22:31:45,1.61 GB/s
2026-04-27 22:32:00,1.50 GB/s
2026-04-27 22:32:15,1.50 GB/s
2026-04-27 22:32:30,1.55 GB/s
2026-04-27 22:32:45,1.55 GB/s
2026-04-27 22:33:00,1.56 GB/s
2026-04-27 22:33:15,1.56 GB/s
2026-04-27 22:33:30,1.58 GB/s
2026-04-27 22:33:45,1.58 GB/s
2026-04-27 22:34:00,1.58 GB/s
2026-04-27 22:34:15,1.58 GB/s
2026-04-27 22:34:30,1.51 GB/s
2026-04-27 22:34:45,1.51 GB/s
2026-04-27 22:35:00,1.57 GB/s
2026-04-27 22:35:15,1.57 GB/s
2026-04-27 22:35:30,1.53 GB/s
2026-04-27 22:35:45,1.53 GB/s
2026-04-27 22:36:00,1.56 GB/s
2026-04-27 22:36:15,1.56 GB/s
2026-04-27 22:36:30,1.57 GB/s
2026-04-27 22:36:45,1.57 GB/s
2026-04-27 22:37:00,1.54 GB/s
2026-04-27 22:37:15,1.54 GB/s
2026-04-27 22:37:30,1.54 GB/s
2026-04-27 22:37:45,1.54 GB/s
2026-04-27 22:38:00,1.57 GB/s
2026-04-27 22:38:15,1.57 GB/s
2026-04-27 22:38:30,152 MB/s
2026-04-27 22:38:45,152 MB/s
2026-04-27 22:39:00,1.93 kB/s
2026-04-27 22:39:15,1.93 kB/s
2026-04-27 22:39:30,1.93 kB/s
2026-04-27 22:39:45,1.93 kB/s
2026-04-27 22:40:00,1.88 kB/s
2026-04-27 22:40:15,1.88 kB/s
2026-04-27 22:40:30,1.91 kB/s
2026-04-27 22:40:45,1.91 kB/s
2026-04-27 22:41:00,3.26 GB/s
2026-04-27 22:41:15,3.26 GB/s
2026-04-27 22:41:30,2.60 GB/s
2026-04-27 22:41:45,2.60 GB/s
2026-04-27 22:42:00,1.55 GB/s
2026-04-27 22:42:15,1.55 GB/s
2026-04-27 22:42:30,1.57 GB/s
2026-04-27 22:42:45,1.57 GB/s
2026-04-27 22:43:00,1.55 GB/s
2026-04-27 22:43:15,1.55 GB/s
2026-04-27 22:43:30,1.53 GB/s
2026-04-27 22:43:45,1.53 GB/s
2026-04-27 22:44:00,1.58 GB/s
2026-04-27 22:44:15,1.58 GB/s
2026-04-27 22:44:30,1.54 GB/s
2026-04-27 22:44:45,1.54 GB/s
2026-04-27 22:45:00,1.56 GB/s
2026-04-27 22:45:15,1.56 GB/s
2026-04-27 22:45:30,1.56 GB/s
2026-04-27 22:45:45,1.56 GB/s
2026-04-27 22:46:00,1.55 GB/s
2026-04-27 22:46:15,1.55 GB/s
2026-04-27 22:46:30,1.57 GB/s
2026-04-27 22:46:45,1.57 GB/s
2026-04-27 22:47:00,1.59 GB/s
2026-04-27 22:47:15,1.59 GB/s
2026-04-27 22:47:30,1.49 GB/s
2026-04-27 22:47:45,1.49 GB/s
2026-04-27 22:48:00,1.57 GB/s
2026-04-27 22:48:15,1.57 GB/s
2026-04-27 22:48:30,1.54 GB/s
2026-04-27 22:48:45,1.54 GB/s
2026-04-27 22:49:00,1.57 GB/s
2026-04-27 22:49:15,1.57 GB/s
2026-04-27 22:49:30,1.58 GB/s
2026-04-27 22:49:45,1.58 GB/s
2026-04-27 22:50:00,1.53 GB/s
2026-04-27 22:50:15,1.53 GB/s
2026-04-27 22:50:30,1.57 GB/s
2026-04-27 22:50:45,1.57 GB/s
