"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-04-27 22:20:00,0 B
2026-04-27 22:20:15,20.3 kB
2026-04-27 22:20:30,73.3 kB
2026-04-27 22:20:45,388 kB
2026-04-27 22:21:00,401 kB
2026-04-27 22:21:15,419 kB
2026-04-27 22:21:30,435 kB
2026-04-27 22:21:45,452 kB
2026-04-27 22:22:00,10.0 MB
2026-04-27 22:22:15,10.1 MB
2026-04-27 22:22:30,10.5 MB
2026-04-27 22:22:45,10.5 MB
2026-04-27 22:23:00,10.5 MB
2026-04-27 22:23:15,10.5 MB
2026-04-27 22:23:30,10.5 MB
2026-04-27 22:23:45,10.5 MB
2026-04-27 22:24:00,10.5 MB
2026-04-27 22:24:15,10.6 MB
2026-04-27 22:24:30,10.6 MB
2026-04-27 22:24:45,10.6 MB
2026-04-27 22:25:00,10.6 MB
2026-04-27 22:25:15,10.6 MB
2026-04-27 22:25:30,10.7 MB
2026-04-27 22:25:45,10.7 MB
2026-04-27 22:26:00,10.7 MB
2026-04-27 22:26:15,10.7 MB
2026-04-27 22:26:30,10.7 MB
2026-04-27 22:26:45,10.7 MB
2026-04-27 22:27:00,10.8 MB
2026-04-27 22:27:15,10.8 MB
2026-04-27 22:27:30,10.8 MB
2026-04-27 22:27:45,10.8 MB
2026-04-27 22:28:00,10.8 MB
2026-04-27 22:28:15,10.8 MB
2026-04-27 22:28:30,10.9 MB
2026-04-27 22:28:45,10.9 MB
2026-04-27 22:29:00,10.9 MB
2026-04-27 22:29:15,10.9 MB
2026-04-27 22:29:30,10.9 MB
2026-04-27 22:29:45,10.9 MB
2026-04-27 22:30:00,11.0 MB
2026-04-27 22:30:15,11.0 MB
2026-04-27 22:30:30,14.1 MB
2026-04-27 22:30:45,14.1 MB
2026-04-27 22:31:00,14.1 MB
2026-04-27 22:31:15,14.2 MB
2026-04-27 22:31:30,14.2 MB
2026-04-27 22:31:45,14.2 MB
2026-04-27 22:32:00,14.2 MB
2026-04-27 22:32:15,14.3 MB
2026-04-27 22:32:30,14.3 MB
2026-04-27 22:32:45,14.3 MB
2026-04-27 22:33:00,14.3 MB
2026-04-27 22:33:15,14.3 MB
2026-04-27 22:33:30,14.3 MB
2026-04-27 22:33:45,14.3 MB
2026-04-27 22:34:00,14.4 MB
2026-04-27 22:34:15,14.4 MB
2026-04-27 22:34:30,14.4 MB
2026-04-27 22:34:45,14.4 MB
2026-04-27 22:35:00,14.4 MB
2026-04-27 22:35:15,14.4 MB
2026-04-27 22:35:30,14.5 MB
2026-04-27 22:35:45,14.5 MB
2026-04-27 22:36:00,14.5 MB
2026-04-27 22:36:15,14.5 MB
2026-04-27 22:36:30,14.5 MB
2026-04-27 22:36:45,14.5 MB
2026-04-27 22:37:00,14.6 MB
2026-04-27 22:37:15,14.6 MB
2026-04-27 22:37:30,14.6 MB
2026-04-27 22:37:45,14.6 MB
2026-04-27 22:38:00,774 MB
2026-04-27 22:38:15,6.40 GB
2026-04-27 22:38:30,11.4 GB
2026-04-27 22:38:45,16.0 GB
2026-04-27 22:39:00,20.5 GB
2026-04-27 22:39:15,25.5 GB
2026-04-27 22:39:30,30.0 GB
2026-04-27 22:39:45,34.7 GB
2026-04-27 22:40:00,39.2 GB
2026-04-27 22:40:15,43.8 GB
2026-04-27 22:40:30,48.3 GB
2026-04-27 22:40:45,48.3 GB
2026-04-27 22:41:00,48.3 GB
2026-04-27 22:41:15,48.3 GB
2026-04-27 22:41:30,48.3 GB
2026-04-27 22:41:45,48.3 GB
2026-04-27 22:42:00,48.3 GB
2026-04-27 22:42:15,48.3 GB
2026-04-27 22:42:30,48.3 GB
2026-04-27 22:42:45,48.3 GB
2026-04-27 22:43:00,48.3 GB
2026-04-27 22:43:15,48.3 GB
2026-04-27 22:43:30,48.3 GB
2026-04-27 22:43:45,48.3 GB
2026-04-27 22:44:00,48.3 GB
2026-04-27 22:44:15,48.3 GB
2026-04-27 22:44:30,48.3 GB
2026-04-27 22:44:45,48.3 GB
2026-04-27 22:45:00,48.3 GB
2026-04-27 22:45:15,48.3 GB
2026-04-27 22:45:30,48.3 GB
2026-04-27 22:45:45,48.3 GB
2026-04-27 22:46:00,48.3 GB
2026-04-27 22:46:15,48.3 GB
2026-04-27 22:46:30,48.3 GB
2026-04-27 22:46:45,48.3 GB
2026-04-27 22:47:00,48.3 GB
2026-04-27 22:47:15,48.3 GB
2026-04-27 22:47:30,48.3 GB
2026-04-27 22:47:45,48.3 GB
2026-04-27 22:48:00,48.3 GB
2026-04-27 22:48:15,48.3 GB
2026-04-27 22:48:30,48.3 GB
2026-04-27 22:48:45,48.3 GB
2026-04-27 22:49:00,48.3 GB
2026-04-27 22:49:15,48.3 GB
2026-04-27 22:49:30,48.3 GB
2026-04-27 22:49:45,48.3 GB
2026-04-27 22:50:00,48.3 GB
2026-04-27 22:50:15,48.3 GB
2026-04-27 22:50:30,48.3 GB
2026-04-27 22:50:45,48.3 GB
2026-04-27 22:51:00,48.3 GB
2026-04-27 22:51:15,48.3 GB
2026-04-27 22:51:30,48.3 GB
2026-04-27 22:51:45,48.3 GB
2026-04-27 22:52:00,48.3 GB
2026-04-27 22:52:15,48.3 GB
2026-04-27 22:52:30,48.3 GB
2026-04-27 22:52:45,48.3 GB
2026-04-27 22:53:00,48.3 GB
2026-04-27 22:53:15,48.3 GB
2026-04-27 22:53:30,48.3 GB
2026-04-27 22:53:45,48.3 GB
2026-04-27 22:54:00,48.3 GB
2026-04-27 22:54:15,48.3 GB
2026-04-27 22:54:30,48.3 GB
2026-04-27 22:54:45,48.3 GB
2026-04-27 22:55:00,48.3 GB
2026-04-27 22:55:15,48.3 GB
2026-04-27 22:55:30,48.3 GB
2026-04-27 22:55:45,48.3 GB
2026-04-27 22:56:00,48.3 GB
2026-04-27 22:56:15,48.3 GB
2026-04-27 22:56:30,51.5 GB
2026-04-27 22:56:45,59.0 GB
2026-04-27 22:57:00,66.0 GB
2026-04-27 22:57:15,73.0 GB
2026-04-27 22:57:30,80.3 GB
2026-04-27 22:57:45,88.2 GB
2026-04-27 22:58:00,96.6 GB
2026-04-27 22:58:15,96.6 GB
2026-04-27 22:58:30,96.6 GB
2026-04-27 22:58:45,96.6 GB
2026-04-27 22:59:00,96.6 GB
2026-04-27 22:59:15,96.6 GB
2026-04-27 22:59:30,96.6 GB
2026-04-27 22:59:45,96.6 GB
2026-04-27 23:00:00,96.6 GB
2026-04-27 23:00:15,96.6 GB
2026-04-27 23:00:30,96.6 GB
2026-04-27 23:00:45,96.6 GB
2026-04-27 23:01:00,96.6 GB
2026-04-27 23:01:15,96.6 GB
2026-04-27 23:01:30,96.6 GB
2026-04-27 23:01:45,96.6 GB
2026-04-27 23:02:00,96.6 GB
2026-04-27 23:02:15,96.6 GB
2026-04-27 23:02:30,96.6 GB
2026-04-27 23:02:45,96.6 GB
2026-04-27 23:03:00,96.6 GB
2026-04-27 23:03:15,96.6 GB
2026-04-27 23:03:30,96.6 GB
2026-04-27 23:03:45,96.6 GB
2026-04-27 23:04:00,96.6 GB
2026-04-27 23:04:15,96.6 GB
2026-04-27 23:04:30,96.6 GB
2026-04-27 23:04:45,96.6 GB
2026-04-27 23:05:00,96.6 GB
2026-04-27 23:05:15,96.6 GB
2026-04-27 23:05:30,96.6 GB
2026-04-27 23:05:45,96.6 GB
2026-04-27 23:06:00,96.6 GB
2026-04-27 23:06:15,96.6 GB
2026-04-27 23:06:30,96.6 GB
2026-04-27 23:06:45,96.6 GB
2026-04-27 23:07:00,96.6 GB
2026-04-27 23:07:15,96.6 GB
2026-04-27 23:07:30,96.6 GB
2026-04-27 23:07:45,96.6 GB
2026-04-27 23:08:00,96.6 GB
2026-04-27 23:08:15,96.6 GB
2026-04-27 23:08:30,96.6 GB
2026-04-27 23:08:45,96.6 GB
2026-04-27 23:09:00,96.6 GB
2026-04-27 23:09:15,96.6 GB
2026-04-27 23:09:30,96.6 GB
2026-04-27 23:09:45,96.6 GB
2026-04-27 23:10:00,96.6 GB
2026-04-27 23:10:15,96.6 GB
2026-04-27 23:10:30,96.6 GB
2026-04-27 23:10:45,96.6 GB
2026-04-27 23:11:00,96.6 GB
2026-04-27 23:11:15,96.6 GB
2026-04-27 23:11:30,96.6 GB
2026-04-27 23:11:45,96.6 GB
2026-04-27 23:12:00,96.6 GB
2026-04-27 23:12:15,96.6 GB
2026-04-27 23:12:30,96.6 GB
2026-04-27 23:12:45,96.6 GB
2026-04-27 23:13:00,96.6 GB
2026-04-27 23:13:15,96.6 GB
2026-04-27 23:13:30,96.6 GB
