"Time","172.212.226.225:9100 eth0 rx"
2026-04-19 19:38:45,767 B/s
2026-04-19 19:39:00,766 B/s
2026-04-19 19:39:15,792 B/s
2026-04-19 19:39:30,767 B/s
2026-04-19 19:39:45,789 B/s
2026-04-19 19:40:00,771 B/s
2026-04-19 19:40:15,791 B/s
2026-04-19 19:40:30,766 B/s
2026-04-19 19:40:45,792 B/s
2026-04-19 19:41:00,791 B/s
2026-04-19 19:41:15,810 B/s
2026-04-19 19:41:30,777 B/s
2026-04-19 19:41:45,804 B/s
2026-04-19 19:42:00,794 B/s
2026-04-19 19:42:15,813 B/s
2026-04-19 19:42:30,788 B/s
2026-04-19 19:42:45,814 B/s
2026-04-19 19:43:00,794 B/s
2026-04-19 19:43:15,806 B/s
2026-04-19 19:43:30,778 B/s
2026-04-19 19:43:45,808 B/s
2026-04-19 19:44:00,783 B/s
2026-04-19 19:44:15,801 B/s
2026-04-19 19:44:30,772 B/s
