"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-19 19:38:45,767 B/s,779 B/s,1.13 kB/s,1.13 kB/s
2026-04-19 19:39:00,766 B/s,765 B/s,1.15 kB/s,1.11 kB/s
2026-04-19 19:39:15,792 B/s,787 B/s,1.19 kB/s,1.14 kB/s
2026-04-19 19:39:30,767 B/s,755 B/s,1.16 kB/s,1.10 kB/s
2026-04-19 19:39:45,789 B/s,774 B/s,1.20 kB/s,1.12 kB/s
2026-04-19 19:40:00,771 B/s,772 B/s,1.17 kB/s,1.12 kB/s
2026-04-19 19:40:15,791 B/s,774 B/s,1.20 kB/s,1.12 kB/s
2026-04-19 19:40:30,766 B/s,738 B/s,1.18 kB/s,1.10 kB/s
2026-04-19 19:40:45,792 B/s,755 B/s,1.21 kB/s,1.11 kB/s
2026-04-19 19:41:00,791 B/s,761 B/s,1.20 kB/s,1.11 kB/s
2026-04-19 19:41:15,810 B/s,769 B/s,1.23 kB/s,1.12 kB/s
2026-04-19 19:41:30,777 B/s,745 B/s,1.20 kB/s,1.10 kB/s
2026-04-19 19:41:45,804 B/s,762 B/s,1.23 kB/s,1.12 kB/s
2026-04-19 19:42:00,794 B/s,814 B/s,1.22 kB/s,1.19 kB/s
2026-04-19 19:42:15,813 B/s,879 B/s,1.25 kB/s,1.28 kB/s
2026-04-19 19:42:30,788 B/s,932 B/s,1.23 kB/s,1.37 kB/s
2026-04-19 19:42:45,814 B/s,1.03 kB/s,1.26 kB/s,1.49 kB/s
2026-04-19 19:43:00,794 B/s,1.10 kB/s,1.23 kB/s,1.59 kB/s
2026-04-19 19:43:15,806 B/s,1.17 kB/s,1.25 kB/s,1.68 kB/s
2026-04-19 19:43:30,778 B/s,1.22 kB/s,1.22 kB/s,1.77 kB/s
2026-04-19 19:43:45,808 B/s,1.28 kB/s,1.24 kB/s,1.83 kB/s
2026-04-19 19:44:00,783 B/s,1.34 kB/s,1.20 kB/s,1.92 kB/s
2026-04-19 19:44:15,801 B/s,1.41 kB/s,1.22 kB/s,2.02 kB/s
2026-04-19 19:44:30,772 B/s,1.49 kB/s,1.18 kB/s,2.11 kB/s
