"Time","172.212.226.225:9100 eth0 rx"
2026-04-19 19:38:45,3.07 p/s
2026-04-19 19:39:00,3.13 p/s
2026-04-19 19:39:15,3.28 p/s
2026-04-19 19:39:30,3.18 p/s
2026-04-19 19:39:45,3.30 p/s
2026-04-19 19:40:00,3.24 p/s
2026-04-19 19:40:15,3.32 p/s
2026-04-19 19:40:30,3.24 p/s
2026-04-19 19:40:45,3.34 p/s
2026-04-19 19:41:00,3.32 p/s
2026-04-19 19:41:15,3.40 p/s
2026-04-19 19:41:30,3.28 p/s
2026-04-19 19:41:45,3.39 p/s
2026-04-19 19:42:00,3.38 p/s
2026-04-19 19:42:15,3.46 p/s
2026-04-19 19:42:30,3.38 p/s
2026-04-19 19:42:45,3.49 p/s
2026-04-19 19:43:00,3.39 p/s
2026-04-19 19:43:15,3.44 p/s
2026-04-19 19:43:30,3.32 p/s
2026-04-19 19:43:45,3.40 p/s
2026-04-19 19:44:00,3.27 p/s
2026-04-19 19:44:15,3.35 p/s
2026-04-19 19:44:30,3.22 p/s
