"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-19 19:38:45,3.07 p/s,3.09 p/s,3.95 p/s,4.01 p/s
2026-04-19 19:39:00,3.13 p/s,3.03 p/s,3.99 p/s,3.94 p/s
2026-04-19 19:39:15,3.28 p/s,3.13 p/s,4.17 p/s,4.06 p/s
2026-04-19 19:39:30,3.18 p/s,3.00 p/s,4.06 p/s,3.89 p/s
2026-04-19 19:39:45,3.30 p/s,3.08 p/s,4.20 p/s,3.99 p/s
2026-04-19 19:40:00,3.24 p/s,3.07 p/s,4.11 p/s,3.97 p/s
2026-04-19 19:40:15,3.32 p/s,3.08 p/s,4.22 p/s,3.99 p/s
2026-04-19 19:40:30,3.24 p/s,2.93 p/s,4.12 p/s,3.82 p/s
2026-04-19 19:40:45,3.34 p/s,2.99 p/s,4.25 p/s,3.91 p/s
2026-04-19 19:41:00,3.32 p/s,3.01 p/s,4.21 p/s,3.93 p/s
2026-04-19 19:41:15,3.40 p/s,3.07 p/s,4.33 p/s,3.99 p/s
2026-04-19 19:41:30,3.28 p/s,2.96 p/s,4.18 p/s,3.86 p/s
2026-04-19 19:41:45,3.39 p/s,3.02 p/s,4.33 p/s,3.95 p/s
2026-04-19 19:42:00,3.38 p/s,3.36 p/s,4.30 p/s,4.29 p/s
2026-04-19 19:42:15,3.46 p/s,3.81 p/s,4.41 p/s,4.75 p/s
2026-04-19 19:42:30,3.38 p/s,4.21 p/s,4.29 p/s,5.13 p/s
2026-04-19 19:42:45,3.49 p/s,4.80 p/s,4.45 p/s,5.73 p/s
2026-04-19 19:43:00,3.39 p/s,5.27 p/s,4.32 p/s,6.21 p/s
2026-04-19 19:43:15,3.44 p/s,5.74 p/s,4.40 p/s,6.68 p/s
2026-04-19 19:43:30,3.32 p/s,6.11 p/s,4.26 p/s,7.03 p/s
2026-04-19 19:43:45,3.40 p/s,6.47 p/s,4.38 p/s,7.40 p/s
2026-04-19 19:44:00,3.27 p/s,6.87 p/s,4.22 p/s,7.80 p/s
2026-04-19 19:44:15,3.35 p/s,7.35 p/s,4.31 p/s,8.28 p/s
2026-04-19 19:44:30,3.22 p/s,7.81 p/s,4.15 p/s,8.74 p/s
