"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-19 19:38:45,13.9 kB/s
2026-04-19 19:39:00,13.9 kB/s
2026-04-19 19:39:15,433 kB/s
2026-04-19 19:39:30,433 kB/s
2026-04-19 19:39:45,485 MB/s
2026-04-19 19:40:00,485 MB/s
2026-04-19 19:40:15,1.23 GB/s
2026-04-19 19:40:30,1.23 GB/s
2026-04-19 19:40:45,875 MB/s
2026-04-19 19:41:00,875 MB/s
2026-04-19 19:41:15,29.4 MB/s
2026-04-19 19:41:30,29.4 MB/s
2026-04-19 19:41:45,49.3 MB/s
2026-04-19 19:42:00,49.3 MB/s
2026-04-19 19:42:15,48.9 MB/s
2026-04-19 19:42:30,48.9 MB/s
2026-04-19 19:42:45,49.0 MB/s
2026-04-19 19:43:00,49.0 MB/s
2026-04-19 19:43:15,48.9 MB/s
2026-04-19 19:43:30,48.9 MB/s
2026-04-19 19:43:45,48.9 MB/s
2026-04-19 19:44:00,48.9 MB/s
2026-04-19 19:44:15,48.8 MB/s
2026-04-19 19:44:30,48.8 MB/s
