"Time","172.212.226.225:9100direction: rx gpu_index: 0","20.29.43.19:9100direction: rx gpu_index: 0","172.212.226.225:9100direction: rx gpu_index: 1","20.29.43.19:9100direction: rx gpu_index: 1","172.212.226.225:9100direction: tx gpu_index: 0","20.29.43.19:9100direction: tx gpu_index: 0","172.212.226.225:9100direction: tx gpu_index: 1","20.29.43.19:9100direction: tx gpu_index: 1"
2026-04-19 19:38:45,13.9 kB/s,46.0 kB/s,1.89 kB/s,45.5 kB/s,18.2 kB/s,63.4 kB/s,1.60 kB/s,63.4 kB/s
2026-04-19 19:39:00,13.9 kB/s,46.0 kB/s,1.89 kB/s,45.5 kB/s,18.2 kB/s,63.4 kB/s,1.60 kB/s,63.9 kB/s
2026-04-19 19:39:15,433 kB/s,45.5 kB/s,436 kB/s,79.0 kB/s,728 kB/s,62.3 kB/s,735 kB/s,130 kB/s
2026-04-19 19:39:30,433 kB/s,45.0 kB/s,436 kB/s,45.0 kB/s,728 kB/s,61.3 kB/s,735 kB/s,62.8 kB/s
2026-04-19 19:39:45,485 MB/s,43.9 kB/s,526 MB/s,45.5 kB/s,55.8 MB/s,60.3 kB/s,60.3 MB/s,63.4 kB/s
2026-04-19 19:40:00,485 MB/s,45.5 kB/s,526 MB/s,44.5 kB/s,55.8 MB/s,62.3 kB/s,60.3 MB/s,62.3 kB/s
2026-04-19 19:40:15,1.23 GB/s,46.0 kB/s,1.24 GB/s,45.5 kB/s,137 MB/s,62.9 kB/s,138 MB/s,63.4 kB/s
2026-04-19 19:40:30,1.23 GB/s,45.0 kB/s,1.24 GB/s,45.5 kB/s,137 MB/s,61.8 kB/s,138 MB/s,63.4 kB/s
2026-04-19 19:40:45,875 MB/s,46.0 kB/s,829 MB/s,45.0 kB/s,97.7 MB/s,63.9 kB/s,92.7 MB/s,63.4 kB/s
2026-04-19 19:41:00,875 MB/s,46.0 kB/s,829 MB/s,44.5 kB/s,97.7 MB/s,62.8 kB/s,92.7 MB/s,61.8 kB/s
2026-04-19 19:41:15,29.4 MB/s,45.5 kB/s,27.4 MB/s,46.0 kB/s,9.10 MB/s,62.9 kB/s,8.51 MB/s,63.9 kB/s
2026-04-19 19:41:30,29.4 MB/s,44.5 kB/s,27.4 MB/s,45.5 kB/s,9.10 MB/s,61.3 kB/s,8.51 MB/s,64.9 kB/s
2026-04-19 19:41:45,49.3 MB/s,45.0 kB/s,43.6 MB/s,61.7 kB/s,15.6 MB/s,61.8 kB/s,13.8 MB/s,96.4 kB/s
2026-04-19 19:42:00,49.3 MB/s,52.1 kB/s,43.6 MB/s,44.9 kB/s,15.6 MB/s,76.1 kB/s,13.8 MB/s,62.2 kB/s
2026-04-19 19:42:15,48.9 MB/s,46.5 kB/s,43.4 MB/s,45.0 kB/s,15.5 MB/s,65.9 kB/s,13.8 MB/s,63.4 kB/s
2026-04-19 19:42:30,48.9 MB/s,45.0 kB/s,43.4 MB/s,45.0 kB/s,15.5 MB/s,61.8 kB/s,13.8 MB/s,62.3 kB/s
2026-04-19 19:42:45,49.0 MB/s,45.0 kB/s,43.4 MB/s,46.0 kB/s,15.5 MB/s,62.3 kB/s,13.8 MB/s,63.9 kB/s
2026-04-19 19:43:00,49.0 MB/s,45.0 kB/s,43.4 MB/s,45.0 kB/s,15.5 MB/s,62.3 kB/s,13.8 MB/s,62.9 kB/s
2026-04-19 19:43:15,48.9 MB/s,45.5 kB/s,43.3 MB/s,45.5 kB/s,15.5 MB/s,62.3 kB/s,13.7 MB/s,63.4 kB/s
2026-04-19 19:43:30,48.9 MB/s,46.0 kB/s,43.3 MB/s,46.5 kB/s,15.5 MB/s,63.4 kB/s,13.7 MB/s,64.4 kB/s
2026-04-19 19:43:45,48.9 MB/s,44.5 kB/s,43.2 MB/s,46.0 kB/s,15.5 MB/s,62.3 kB/s,13.7 MB/s,64.9 kB/s
2026-04-19 19:44:00,48.9 MB/s,45.5 kB/s,43.2 MB/s,45.0 kB/s,15.5 MB/s,62.3 kB/s,13.7 MB/s,63.4 kB/s
2026-04-19 19:44:15,48.8 MB/s,45.4 kB/s,43.2 MB/s,72.4 kB/s,15.4 MB/s,62.7 kB/s,13.7 MB/s,117 kB/s
2026-04-19 19:44:30,48.8 MB/s,45.5 kB/s,43.2 MB/s,46.0 kB/s,15.4 MB/s,62.3 kB/s,13.7 MB/s,64.4 kB/s
