"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-28 02:59:40,804 B/s,742 B/s,1.21 kB/s,1.10 kB/s
2026-04-28 03:00:00,791 B/s,763 B/s,1.19 kB/s,1.12 kB/s
2026-04-28 03:00:20,782 B/s,767 B/s,1.16 kB/s,1.11 kB/s
2026-04-28 03:00:40,783 B/s,749 B/s,1.17 kB/s,1.11 kB/s
2026-04-28 03:01:00,783 B/s,777 B/s,1.17 kB/s,1.14 kB/s
2026-04-28 03:01:20,785 B/s,799 B/s,1.17 kB/s,1.18 kB/s
2026-04-28 03:01:40,785 B/s,773 B/s,1.17 kB/s,1.15 kB/s
2026-04-28 03:02:00,792 B/s,793 B/s,1.18 kB/s,1.18 kB/s
2026-04-28 03:02:20,785 B/s,806 B/s,1.17 kB/s,1.19 kB/s
2026-04-28 03:02:40,784 B/s,773 B/s,1.17 kB/s,1.15 kB/s
2026-04-28 03:03:00,777 B/s,794 B/s,1.16 kB/s,1.18 kB/s
2026-04-28 03:03:20,778 B/s,799 B/s,1.16 kB/s,1.18 kB/s
2026-04-28 03:03:40,779 B/s,773 B/s,1.17 kB/s,1.15 kB/s
2026-04-28 03:04:00,780 B/s,793 B/s,1.17 kB/s,1.18 kB/s
2026-04-28 03:04:20,782 B/s,811 B/s,1.17 kB/s,1.21 kB/s
2026-04-28 03:04:40,782 B/s,794 B/s,1.17 kB/s,1.20 kB/s
2026-04-28 03:05:00,785 B/s,824 B/s,1.19 kB/s,1.24 kB/s
2026-04-28 03:05:20,808 B/s,917 B/s,1.24 kB/s,1.21 kB/s
2026-04-28 03:05:40,804 B/s,899 B/s,1.24 kB/s,1.22 kB/s
2026-04-28 03:06:00,817 B/s,895 B/s,1.26 kB/s,1.20 kB/s
2026-04-28 03:06:20,822 B/s,910 B/s,1.27 kB/s,1.21 kB/s
2026-04-28 03:06:40,803 B/s,897 B/s,1.25 kB/s,1.20 kB/s
2026-04-28 03:07:00,832 B/s,912 B/s,1.28 kB/s,1.22 kB/s
2026-04-28 03:07:20,893 B/s,1.22 kB/s,1.61 kB/s,1.30 kB/s
2026-04-28 03:07:40,885 B/s,1.20 kB/s,1.60 kB/s,1.29 kB/s
2026-04-28 03:08:00,892 B/s,1.20 kB/s,1.61 kB/s,1.29 kB/s
2026-04-28 03:08:20,898 B/s,1.21 kB/s,1.61 kB/s,1.29 kB/s
2026-04-28 03:08:40,878 B/s,1.20 kB/s,1.58 kB/s,1.29 kB/s
2026-04-28 03:09:00,990 B/s,1.22 kB/s,1.60 kB/s,1.30 kB/s
2026-04-28 03:09:20,990 B/s,1.20 kB/s,1.60 kB/s,1.26 kB/s
2026-04-28 03:09:40,1.03 kB/s,1.37 kB/s,1.83 kB/s,1.29 kB/s
2026-04-28 03:10:00,1.08 kB/s,1.57 kB/s,2.13 kB/s,1.35 kB/s
2026-04-28 03:10:20,1.10 kB/s,1.65 kB/s,2.16 kB/s,1.35 kB/s
2026-04-28 03:10:40,1.14 kB/s,1.88 kB/s,2.42 kB/s,1.42 kB/s
2026-04-28 03:11:00,1.14 kB/s,1.87 kB/s,2.42 kB/s,1.39 kB/s
2026-04-28 03:11:20,1.19 kB/s,2.09 kB/s,2.69 kB/s,1.45 kB/s
2026-04-28 03:11:40,1.20 kB/s,2.22 kB/s,2.82 kB/s,1.48 kB/s
2026-04-28 03:12:00,1.17 kB/s,2.07 kB/s,2.61 kB/s,1.42 kB/s
2026-04-28 03:12:20,1.20 kB/s,2.17 kB/s,2.76 kB/s,1.46 kB/s
2026-04-28 03:12:40,1.22 kB/s,2.28 kB/s,2.91 kB/s,1.50 kB/s
2026-04-28 03:13:00,1.28 kB/s,2.58 kB/s,3.24 kB/s,1.55 kB/s
2026-04-28 03:13:20,1.30 kB/s,2.65 kB/s,3.29 kB/s,1.57 kB/s
2026-04-28 03:13:40,1.20 kB/s,2.67 kB/s,3.35 kB/s,1.59 kB/s
2026-04-28 03:14:00,1.28 kB/s,2.98 kB/s,3.70 kB/s,1.65 kB/s
2026-04-28 03:14:20,1.35 kB/s,3.40 kB/s,4.07 kB/s,1.75 kB/s
2026-04-28 03:14:40,1.28 kB/s,3.11 kB/s,3.73 kB/s,1.70 kB/s
2026-04-28 03:15:00,1.26 kB/s,3.03 kB/s,3.69 kB/s,1.66 kB/s
2026-04-28 03:15:20,1.21 kB/s,2.80 kB/s,3.42 kB/s,1.61 kB/s
2026-04-28 03:15:40,1.20 kB/s,2.80 kB/s,3.41 kB/s,1.63 kB/s
2026-04-28 03:16:00,1.22 kB/s,2.79 kB/s,3.43 kB/s,1.60 kB/s
2026-04-28 03:16:20,1.17 kB/s,2.52 kB/s,3.13 kB/s,1.54 kB/s
