"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-28 02:59:40,3.33 p/s,2.94 p/s,4.28 p/s,3.86 p/s
2026-04-28 03:00:00,3.29 p/s,3.00 p/s,4.21 p/s,3.94 p/s
2026-04-28 03:00:20,3.22 p/s,3.01 p/s,4.14 p/s,3.97 p/s
2026-04-28 03:00:40,3.23 p/s,2.96 p/s,4.15 p/s,3.88 p/s
2026-04-28 03:01:00,3.23 p/s,3.14 p/s,4.14 p/s,4.04 p/s
2026-04-28 03:01:20,3.27 p/s,3.46 p/s,4.16 p/s,4.29 p/s
2026-04-28 03:01:40,3.27 p/s,3.36 p/s,4.14 p/s,4.16 p/s
2026-04-28 03:02:00,3.32 p/s,3.42 p/s,4.18 p/s,4.26 p/s
2026-04-28 03:02:20,3.29 p/s,3.49 p/s,4.14 p/s,4.33 p/s
2026-04-28 03:02:40,3.28 p/s,3.35 p/s,4.13 p/s,4.15 p/s
2026-04-28 03:03:00,3.23 p/s,3.42 p/s,4.08 p/s,4.26 p/s
2026-04-28 03:03:20,3.24 p/s,3.45 p/s,4.09 p/s,4.30 p/s
2026-04-28 03:03:40,3.26 p/s,3.35 p/s,4.13 p/s,4.17 p/s
2026-04-28 03:04:00,3.25 p/s,3.42 p/s,4.14 p/s,4.25 p/s
2026-04-28 03:04:20,3.29 p/s,3.61 p/s,4.17 p/s,4.43 p/s
2026-04-28 03:04:40,3.28 p/s,3.65 p/s,4.16 p/s,4.40 p/s
2026-04-28 03:05:00,3.33 p/s,3.78 p/s,4.24 p/s,4.55 p/s
2026-04-28 03:05:20,3.48 p/s,3.81 p/s,4.42 p/s,4.51 p/s
2026-04-28 03:05:40,3.51 p/s,3.69 p/s,4.44 p/s,4.41 p/s
2026-04-28 03:06:00,3.56 p/s,3.56 p/s,4.51 p/s,4.29 p/s
2026-04-28 03:06:20,3.57 p/s,3.61 p/s,4.54 p/s,4.35 p/s
2026-04-28 03:06:40,3.48 p/s,3.56 p/s,4.43 p/s,4.28 p/s
2026-04-28 03:07:00,3.56 p/s,3.63 p/s,4.56 p/s,4.38 p/s
