"Time","172.212.226.225:9100direction: rx gpu_index: 0","20.29.43.19:9100direction: rx gpu_index: 0","172.212.226.225:9100direction: rx gpu_index: 1","20.29.43.19:9100direction: rx gpu_index: 1","172.212.226.225:9100direction: tx gpu_index: 0","20.29.43.19:9100direction: tx gpu_index: 0","172.212.226.225:9100direction: tx gpu_index: 1","20.29.43.19:9100direction: tx gpu_index: 1"
2026-04-28 02:59:40,2.00 kB/s,45.0 kB/s,1.89 kB/s,45.5 kB/s,1.71 kB/s,61.8 kB/s,1.62 kB/s,63.9 kB/s
2026-04-28 03:00:00,1.98 kB/s,46.0 kB/s,1.89 kB/s,87.0 kB/s,1.69 kB/s,63.9 kB/s,1.67 kB/s,146 kB/s
2026-04-28 03:00:20,1.98 kB/s,45.5 kB/s,1.91 kB/s,46.0 kB/s,1.67 kB/s,63.4 kB/s,1.64 kB/s,64.4 kB/s
2026-04-28 03:00:40,1.98 kB/s,46.0 kB/s,1.91 kB/s,45.5 kB/s,1.67 kB/s,63.4 kB/s,1.64 kB/s,63.9 kB/s
2026-04-28 03:01:00,1.95 kB/s,45.0 kB/s,1.89 kB/s,43.9 kB/s,1.69 kB/s,62.8 kB/s,1.64 kB/s,60.8 kB/s
2026-04-28 03:01:20,1.88 kB/s,43.9 kB/s,1.88 kB/s,46.0 kB/s,1.59 kB/s,61.3 kB/s,1.60 kB/s,64.9 kB/s
2026-04-28 03:01:40,1.88 kB/s,45.5 kB/s,1.88 kB/s,45.0 kB/s,1.59 kB/s,63.4 kB/s,1.60 kB/s,62.8 kB/s
2026-04-28 03:02:00,1.89 kB/s,46.0 kB/s,1.88 kB/s,46.0 kB/s,1.62 kB/s,62.8 kB/s,1.59 kB/s,63.9 kB/s
2026-04-28 03:02:20,1.89 kB/s,46.0 kB/s,1.88 kB/s,45.5 kB/s,1.66 kB/s,64.4 kB/s,1.64 kB/s,64.4 kB/s
2026-04-28 03:02:40,1.89 kB/s,45.0 kB/s,1.88 kB/s,45.0 kB/s,1.66 kB/s,62.3 kB/s,1.64 kB/s,62.8 kB/s
2026-04-28 03:03:00,1.88 kB/s,46.0 kB/s,1.89 kB/s,46.0 kB/s,1.60 kB/s,63.9 kB/s,1.64 kB/s,64.4 kB/s
2026-04-28 03:03:20,1.89 kB/s,46.0 kB/s,1.89 kB/s,46.0 kB/s,1.60 kB/s,63.4 kB/s,1.62 kB/s,64.4 kB/s
2026-04-28 03:03:40,1.89 kB/s,45.5 kB/s,1.89 kB/s,45.5 kB/s,1.60 kB/s,61.8 kB/s,1.62 kB/s,63.9 kB/s
2026-04-28 03:04:00,1.88 kB/s,45.5 kB/s,1.89 kB/s,74.9 kB/s,1.60 kB/s,63.4 kB/s,1.64 kB/s,122 kB/s
2026-04-28 03:04:20,1.86 kB/s,44.4 kB/s,1.88 kB/s,45.4 kB/s,1.57 kB/s,61.8 kB/s,1.62 kB/s,63.8 kB/s
2026-04-28 03:04:40,1.86 kB/s,45.0 kB/s,1.88 kB/s,45.5 kB/s,1.57 kB/s,62.8 kB/s,1.62 kB/s,63.9 kB/s
2026-04-28 03:05:00,160 kB/s,46.5 kB/s,161 kB/s,46.5 kB/s,117 kB/s,63.9 kB/s,118 kB/s,64.9 kB/s
2026-04-28 03:05:20,2.58 MB/s,46.0 kB/s,2.64 MB/s,46.0 kB/s,1.65 MB/s,63.4 kB/s,1.72 MB/s,64.9 kB/s
2026-04-28 03:05:40,2.58 MB/s,46.0 kB/s,2.64 MB/s,46.5 kB/s,1.65 MB/s,62.8 kB/s,1.72 MB/s,65.4 kB/s
2026-04-28 03:06:00,1.12 GB/s,45.5 kB/s,1.15 GB/s,45.5 kB/s,125 MB/s,62.3 kB/s,129 MB/s,63.4 kB/s
2026-04-28 03:06:20,1.26 GB/s,45.5 kB/s,1.25 GB/s,45.5 kB/s,140 MB/s,62.3 kB/s,139 MB/s,64.4 kB/s
2026-04-28 03:06:40,1.26 GB/s,45.5 kB/s,1.25 GB/s,45.5 kB/s,140 MB/s,62.8 kB/s,139 MB/s,63.9 kB/s
2026-04-28 03:07:00,217 MB/s,45.5 kB/s,191 MB/s,46.0 kB/s,25.3 MB/s,62.3 kB/s,22.4 MB/s,64.4 kB/s
