"Time","sum  (
  ml_net_interface_bytes_total{direction=""tx"", instance=~""(172\\.212\\.226\\.225|20\\.29\\.43\\.19).*""} 
  - 
  (ml_net_interface_bytes_total{direction=""tx"", instance=~""(172\\.212\\.226\\.225|20\\.29\\.43\\.19).*""} @ start())
)"
2026-04-28 02:59:40,0 B
2026-04-28 03:00:00,67.3 kB
2026-04-28 03:00:20,201 kB
2026-04-28 03:00:40,274 kB
2026-04-28 03:01:00,359 kB
2026-04-28 03:01:20,524 kB
2026-04-28 03:01:40,575 kB
2026-04-28 03:02:00,658 kB
2026-04-28 03:02:20,797 kB
2026-04-28 03:02:40,848 kB
2026-04-28 03:03:00,926 kB
2026-04-28 03:03:20,1.07 MB
2026-04-28 03:03:40,1.13 MB
2026-04-28 03:04:00,1.21 MB
2026-04-28 03:04:20,1.37 MB
2026-04-28 03:04:40,1.43 MB
2026-04-28 03:05:00,1.52 MB
2026-04-28 03:05:20,1.68 MB
2026-04-28 03:05:40,1.77 MB
2026-04-28 03:06:00,1.85 MB
2026-04-28 03:06:20,2.00 MB
2026-04-28 03:06:40,2.06 MB
2026-04-28 03:07:00,2.15 MB
2026-04-28 03:07:20,2.52 MB
2026-04-28 03:07:40,2.58 MB
2026-04-28 03:08:00,2.65 MB
2026-04-28 03:08:20,2.79 MB
2026-04-28 03:08:40,2.86 MB
2026-04-28 03:09:00,2.93 MB
2026-04-28 03:09:20,3.07 MB
2026-04-28 03:09:40,3.31 MB
2026-04-28 03:10:00,3.60 MB
2026-04-28 03:10:20,3.78 MB
2026-04-28 03:10:40,4.04 MB
2026-04-28 03:11:00,4.11 MB
2026-04-28 03:11:20,4.43 MB
2026-04-28 03:11:40,4.61 MB
2026-04-28 03:12:00,4.68 MB
2026-04-28 03:12:20,5.00 MB
2026-04-28 03:12:40,5.18 MB
2026-04-28 03:13:00,5.46 MB
2026-04-28 03:13:20,5.64 MB
2026-04-28 03:13:40,5.76 MB
2026-04-28 03:14:00,6.06 MB
2026-04-28 03:14:20,6.64 MB
2026-04-28 03:14:40,6.70 MB
2026-04-28 03:15:00,6.77 MB
2026-04-28 03:15:20,6.91 MB
2026-04-28 03:15:40,6.99 MB
2026-04-28 03:16:00,7.06 MB
2026-04-28 03:16:20,7.29 MB
2026-04-28 03:16:40,7.59 MB
2026-04-28 03:17:00,7.67 MB
2026-04-28 03:17:20,8.11 MB
2026-04-28 03:17:40,8.18 MB
2026-04-28 03:18:00,8.23 MB
2026-04-28 03:18:20,8.61 MB
2026-04-28 03:18:40,8.92 MB
2026-04-28 03:19:00,9.03 MB
2026-04-28 03:19:20,9.20 MB
2026-04-28 03:19:40,9.29 MB
2026-04-28 03:20:00,9.48 MB
2026-04-28 03:20:20,10.1 MB
2026-04-28 03:20:40,10.2 MB
2026-04-28 03:21:00,10.3 MB
2026-04-28 03:21:20,10.5 MB
2026-04-28 03:21:40,10.6 MB
2026-04-28 03:22:00,10.7 MB
2026-04-28 03:22:20,10.9 MB
2026-04-28 03:22:40,10.9 MB
2026-04-28 03:23:00,11.2 MB
2026-04-28 03:23:20,11.7 MB
2026-04-28 03:23:40,11.7 MB
2026-04-28 03:24:00,11.8 MB
2026-04-28 03:24:20,11.9 MB
2026-04-28 03:24:40,12.0 MB
2026-04-28 03:25:00,12.1 MB
2026-04-28 03:25:20,12.2 MB
2026-04-28 03:25:40,12.3 MB
2026-04-28 03:26:00,12.4 MB
2026-04-28 03:26:20,12.6 MB
2026-04-28 03:26:40,12.6 MB
2026-04-28 03:27:00,12.8 MB
2026-04-28 03:27:20,13.4 MB
2026-04-28 03:27:40,13.6 MB
2026-04-28 03:28:00,13.8 MB
2026-04-28 03:28:20,13.9 MB
2026-04-28 03:28:40,14.1 MB
2026-04-28 03:29:00,14.4 MB
2026-04-28 03:29:20,15.0 MB
2026-04-28 03:29:40,15.3 MB
2026-04-28 03:30:00,15.4 MB
2026-04-28 03:30:20,15.5 MB
2026-04-28 03:30:40,15.6 MB
2026-04-28 03:31:00,15.6 MB
2026-04-28 03:31:20,15.9 MB
2026-04-28 03:31:40,15.9 MB
2026-04-28 03:32:00,22.3 MB
2026-04-28 03:32:20,22.6 MB
2026-04-28 03:32:40,22.9 MB
2026-04-28 03:33:00,29.6 MB
2026-04-28 03:33:20,30.2 MB
2026-04-28 03:33:40,30.4 MB
2026-04-28 03:34:00,30.6 MB
2026-04-28 03:34:20,30.7 MB
2026-04-28 03:34:40,30.9 MB
2026-04-28 03:35:00,31.2 MB
2026-04-28 03:35:20,31.4 MB
2026-04-28 03:35:40,31.6 MB
2026-04-28 03:36:00,31.9 MB
2026-04-28 03:36:20,32.2 MB
2026-04-28 03:36:40,32.4 MB
2026-04-28 03:37:00,32.6 MB
2026-04-28 03:37:20,32.9 MB
2026-04-28 03:37:40,32.9 MB
2026-04-28 03:38:00,33.0 MB
2026-04-28 03:38:20,33.3 MB
2026-04-28 03:38:40,33.6 MB
2026-04-28 03:39:00,33.6 MB
2026-04-28 03:39:20,33.8 MB
2026-04-28 03:39:40,33.9 MB
2026-04-28 03:40:00,34.0 MB
2026-04-28 03:40:20,34.2 MB
2026-04-28 03:40:40,34.3 MB
2026-04-28 03:41:00,34.3 MB
2026-04-28 03:41:20,34.5 MB
2026-04-28 03:41:40,34.5 MB
2026-04-28 03:42:00,34.6 MB
2026-04-28 03:42:20,34.8 MB
2026-04-28 03:42:40,34.9 MB
2026-04-28 03:43:00,34.9 MB
2026-04-28 03:43:20,35.1 MB
2026-04-28 03:43:40,35.2 MB
2026-04-28 03:44:00,35.2 MB
2026-04-28 03:44:20,35.7 MB
2026-04-28 03:44:40,35.8 MB
2026-04-28 03:45:00,35.9 MB
2026-04-28 03:45:20,36.0 MB
2026-04-28 03:45:40,36.2 MB
2026-04-28 03:46:00,36.5 MB
2026-04-28 03:46:20,36.6 MB
2026-04-28 03:46:40,36.8 MB
2026-04-28 03:47:00,37.0 MB
2026-04-28 03:47:20,37.5 MB
2026-04-28 03:47:40,37.7 MB
2026-04-28 03:48:00,37.9 MB
2026-04-28 03:48:20,38.3 MB
2026-04-28 03:48:40,38.5 MB
2026-04-28 03:49:00,38.8 MB
2026-04-28 03:49:20,39.4 MB
2026-04-28 03:49:40,39.4 MB
2026-04-28 03:50:00,39.5 MB
2026-04-28 03:50:20,39.6 MB
2026-04-28 03:50:40,39.7 MB
2026-04-28 03:51:00,39.8 MB
2026-04-28 03:51:20,40.3 MB
2026-04-28 03:51:40,40.4 MB
2026-04-28 03:52:00,40.5 MB
2026-04-28 03:52:20,40.9 MB
2026-04-28 03:52:40,41.1 MB
2026-04-28 03:53:00,41.4 MB
2026-04-28 03:53:20,41.9 MB
2026-04-28 03:53:40,42.0 MB
2026-04-28 03:54:00,42.1 MB
2026-04-28 03:54:20,42.3 MB
2026-04-28 03:54:40,42.3 MB
2026-04-28 03:55:00,42.4 MB
2026-04-28 03:55:20,42.6 MB
2026-04-28 03:55:40,42.6 MB
2026-04-28 03:56:00,42.7 MB
2026-04-28 03:56:20,43.2 MB
2026-04-28 03:56:40,43.3 MB
2026-04-28 03:57:00,43.4 MB
2026-04-28 03:57:20,43.5 MB
2026-04-28 03:57:40,43.6 MB
2026-04-28 03:58:00,43.8 MB
2026-04-28 03:58:20,44.1 MB
2026-04-28 03:58:40,44.1 MB
2026-04-28 03:59:00,44.2 MB
2026-04-28 03:59:20,44.3 MB
2026-04-28 03:59:40,44.4 MB
2026-04-28 04:00:00,44.5 MB
2026-04-28 04:00:20,44.8 MB
2026-04-28 04:00:40,44.9 MB
2026-04-28 04:01:00,44.9 MB
2026-04-28 04:01:20,45.1 MB
2026-04-28 04:01:40,45.1 MB
2026-04-28 04:02:00,45.2 MB
2026-04-28 04:02:20,45.3 MB
2026-04-28 04:02:40,45.6 MB
2026-04-28 04:03:00,45.8 MB
2026-04-28 04:03:20,46.0 MB
2026-04-28 04:03:40,46.1 MB
2026-04-28 04:04:00,46.3 MB
2026-04-28 04:04:20,46.4 MB
2026-04-28 04:04:40,46.5 MB
2026-04-28 04:05:00,46.6 MB
2026-04-28 04:05:20,46.7 MB
2026-04-28 04:05:40,46.8 MB
2026-04-28 04:06:00,47.0 MB
2026-04-28 04:06:20,47.2 MB
2026-04-28 04:06:40,47.2 MB
2026-04-28 04:07:00,47.3 MB
2026-04-28 04:07:20,47.4 MB
2026-04-28 04:07:40,47.5 MB
2026-04-28 04:08:00,47.6 MB
2026-04-28 04:08:20,48.0 MB
2026-04-28 04:08:40,48.3 MB
2026-04-28 04:09:00,48.4 MB
2026-04-28 04:09:20,48.9 MB
2026-04-28 04:09:40,49.0 MB
2026-04-28 04:10:00,49.1 MB
2026-04-28 04:10:20,49.3 MB
2026-04-28 04:10:40,49.6 MB
2026-04-28 04:11:00,49.9 MB
2026-04-28 04:11:20,50.0 MB
2026-04-28 04:11:40,50.1 MB
2026-04-28 04:12:00,50.1 MB
2026-04-28 04:12:20,50.5 MB
2026-04-28 04:12:40,50.8 MB
2026-04-28 04:13:00,51.1 MB
2026-04-28 04:13:20,51.5 MB
2026-04-28 04:13:40,51.6 MB
2026-04-28 04:14:00,51.8 MB
2026-04-28 04:14:20,52.1 MB
2026-04-28 04:14:40,52.3 MB
2026-04-28 04:15:00,52.3 MB
2026-04-28 04:15:20,52.8 MB
2026-04-28 04:15:40,52.9 MB
2026-04-28 04:16:00,53.0 MB
2026-04-28 04:16:20,53.3 MB
2026-04-28 04:16:40,53.6 MB
2026-04-28 04:17:00,53.8 MB
2026-04-28 04:17:20,54.4 MB
2026-04-28 04:17:40,54.5 MB
2026-04-28 04:18:00,54.7 MB
2026-04-28 04:18:20,55.0 MB
2026-04-28 04:18:40,55.1 MB
2026-04-28 04:19:00,55.2 MB
2026-04-28 04:19:20,55.4 MB
2026-04-28 04:19:40,55.4 MB
2026-04-28 04:20:00,55.5 MB
2026-04-28 04:20:20,55.6 MB
2026-04-28 04:20:40,55.7 MB
2026-04-28 04:21:00,55.8 MB
2026-04-28 04:21:20,55.9 MB
2026-04-28 04:21:40,56.0 MB
2026-04-28 04:22:00,56.0 MB
2026-04-28 04:22:20,56.4 MB
2026-04-28 04:22:40,56.5 MB
