"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-24 20:29:00,802 B/s,775 B/s,1.17 kB/s,1.14 kB/s
2026-04-24 20:29:15,814 B/s,796 B/s,1.19 kB/s,1.17 kB/s
2026-04-24 20:29:30,800 B/s,790 B/s,1.17 kB/s,1.15 kB/s
2026-04-24 20:29:45,815 B/s,804 B/s,1.19 kB/s,1.17 kB/s
2026-04-24 20:30:00,809 B/s,791 B/s,1.18 kB/s,1.13 kB/s
2026-04-24 20:30:15,2.23 kB/s,813 B/s,1.35 kB/s,1.17 kB/s
2026-04-24 20:30:30,2.22 kB/s,2.20 kB/s,1.33 kB/s,1.25 kB/s
2026-04-24 20:30:45,2.21 kB/s,2.22 kB/s,1.32 kB/s,1.27 kB/s
2026-04-24 20:31:00,2.20 kB/s,2.20 kB/s,1.29 kB/s,1.25 kB/s
2026-04-24 20:31:15,2.21 kB/s,700 kB/s,1.31 kB/s,3.95 kB/s
2026-04-24 20:31:30,2.21 kB/s,182 MB/s,1.30 kB/s,354 kB/s
2026-04-24 20:31:45,2.22 kB/s,279 MB/s,1.32 kB/s,552 kB/s
2026-04-24 20:32:00,2.20 kB/s,279 MB/s,1.29 kB/s,552 kB/s
2026-04-24 20:32:15,2.22 kB/s,309 MB/s,1.32 kB/s,618 kB/s
2026-04-24 20:32:30,2.21 kB/s,523 MB/s,1.30 kB/s,1.12 MB/s
2026-04-24 20:32:45,2.21 kB/s,592 MB/s,1.31 kB/s,1.34 MB/s
2026-04-24 20:33:00,2.20 kB/s,615 MB/s,1.29 kB/s,1.41 MB/s
2026-04-24 20:33:15,2.21 kB/s,640 MB/s,1.31 kB/s,1.49 MB/s
2026-04-24 20:33:30,2.21 kB/s,828 MB/s,1.30 kB/s,1.97 MB/s
2026-04-24 20:33:45,2.21 kB/s,904 MB/s,1.32 kB/s,2.13 MB/s
2026-04-24 20:34:00,2.20 kB/s,939 MB/s,1.29 kB/s,2.21 MB/s
2026-04-24 20:34:15,2.22 kB/s,968 MB/s,1.32 kB/s,2.28 MB/s
2026-04-24 20:34:30,2.19 kB/s,974 MB/s,1.29 kB/s,2.29 MB/s
2026-04-24 20:34:45,2.18 kB/s,974 MB/s,1.27 kB/s,2.29 MB/s
2026-04-24 20:35:00,781 B/s,974 MB/s,1.13 kB/s,2.29 MB/s
2026-04-24 20:35:15,795 B/s,974 MB/s,1.15 kB/s,2.29 MB/s
2026-04-24 20:35:30,804 B/s,974 MB/s,1.16 kB/s,2.29 MB/s
2026-04-24 20:35:45,800 B/s,974 MB/s,1.16 kB/s,2.29 MB/s
2026-04-24 20:36:00,805 B/s,973 MB/s,1.16 kB/s,2.29 MB/s
2026-04-24 20:36:15,822 B/s,792 MB/s,1.18 kB/s,1.94 MB/s
2026-04-24 20:36:30,821 B/s,695 MB/s,1.18 kB/s,1.74 MB/s
2026-04-24 20:36:45,817 B/s,695 MB/s,1.18 kB/s,1.74 MB/s
2026-04-24 20:37:00,830 B/s,665 MB/s,1.19 kB/s,1.67 MB/s
2026-04-24 20:37:15,835 B/s,451 MB/s,1.19 kB/s,1.17 MB/s
2026-04-24 20:37:30,828 B/s,382 MB/s,1.18 kB/s,953 kB/s
2026-04-24 20:37:45,816 B/s,360 MB/s,1.18 kB/s,879 kB/s
2026-04-24 20:38:00,830 B/s,334 MB/s,1.19 kB/s,795 kB/s
2026-04-24 20:38:15,840 B/s,147 MB/s,1.19 kB/s,325 kB/s
2026-04-24 20:38:30,841 B/s,69.8 MB/s,1.19 kB/s,158 kB/s
2026-04-24 20:38:45,841 B/s,35.3 MB/s,1.20 kB/s,79.9 kB/s
2026-04-24 20:39:00,844 B/s,6.48 MB/s,1.20 kB/s,14.7 kB/s
2026-04-24 20:39:15,858 B/s,1.22 kB/s,1.21 kB/s,1.35 kB/s
2026-04-24 20:39:30,873 B/s,1.22 kB/s,1.23 kB/s,1.35 kB/s
2026-04-24 20:39:45,846 B/s,1.23 kB/s,1.19 kB/s,1.36 kB/s
2026-04-24 20:40:00,859 B/s,1.23 kB/s,1.22 kB/s,1.35 kB/s
2026-04-24 20:40:15,850 B/s,1.25 kB/s,1.20 kB/s,1.38 kB/s
2026-04-24 20:40:30,858 B/s,1.20 kB/s,1.21 kB/s,1.31 kB/s
2026-04-24 20:40:45,847 B/s,1.20 kB/s,1.21 kB/s,1.29 kB/s
2026-04-24 20:41:00,841 B/s,1.16 kB/s,1.20 kB/s,1.26 kB/s
2026-04-24 20:41:15,833 B/s,1.17 kB/s,1.18 kB/s,1.26 kB/s
2026-04-24 20:41:30,840 B/s,1.17 kB/s,1.20 kB/s,1.25 kB/s
2026-04-24 20:41:45,806 B/s,1.17 kB/s,1.16 kB/s,1.23 kB/s
2026-04-24 20:42:00,832 B/s,1.16 kB/s,1.19 kB/s,1.23 kB/s
2026-04-24 20:42:15,825 B/s,1.17 kB/s,1.18 kB/s,1.24 kB/s
2026-04-24 20:42:30,848 B/s,1.18 kB/s,1.21 kB/s,1.25 kB/s
2026-04-24 20:42:45,822 B/s,1.17 kB/s,1.18 kB/s,1.24 kB/s
2026-04-24 20:43:00,824 B/s,1.17 kB/s,1.19 kB/s,1.25 kB/s
2026-04-24 20:43:15,815 B/s,1.16 kB/s,1.18 kB/s,1.23 kB/s
