"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-24 20:29:00,3.31 p/s,3.14 p/s,4.11 p/s,4.01 p/s
2026-04-24 20:29:15,3.36 p/s,3.21 p/s,4.20 p/s,4.11 p/s
2026-04-24 20:29:30,3.30 p/s,3.21 p/s,4.13 p/s,4.08 p/s
2026-04-24 20:29:45,3.37 p/s,3.28 p/s,4.19 p/s,4.16 p/s
2026-04-24 20:30:00,3.34 p/s,3.44 p/s,4.14 p/s,4.14 p/s
2026-04-24 20:30:15,4.19 p/s,3.53 p/s,4.91 p/s,4.26 p/s
2026-04-24 20:30:30,4.13 p/s,4.25 p/s,4.83 p/s,4.79 p/s
2026-04-24 20:30:45,4.09 p/s,4.33 p/s,4.80 p/s,4.89 p/s
2026-04-24 20:31:00,4.00 p/s,4.28 p/s,4.69 p/s,4.79 p/s
2026-04-24 20:31:15,4.03 p/s,62.5 p/s,4.78 p/s,44.1 p/s
2026-04-24 20:31:30,4.04 p/s,8.38 kp/s,4.77 p/s,5.27 kp/s
2026-04-24 20:31:45,4.08 p/s,13.1 kp/s,4.80 p/s,8.24 kp/s
2026-04-24 20:32:00,4.00 p/s,13.1 kp/s,4.71 p/s,8.24 kp/s
2026-04-24 20:32:15,4.08 p/s,14.5 kp/s,4.84 p/s,9.22 kp/s
2026-04-24 20:32:30,4.03 p/s,27.0 kp/s,4.77 p/s,16.8 kp/s
2026-04-24 20:32:45,4.06 p/s,32.5 kp/s,4.78 p/s,20.0 kp/s
2026-04-24 20:33:00,4.00 p/s,34.1 kp/s,4.71 p/s,21.1 kp/s
2026-04-24 20:33:15,4.01 p/s,36.1 kp/s,4.78 p/s,22.4 kp/s
2026-04-24 20:33:30,4.01 p/s,47.9 kp/s,4.78 p/s,29.5 kp/s
2026-04-24 20:33:45,4.02 p/s,51.9 kp/s,4.79 p/s,32.0 kp/s
2026-04-24 20:34:00,3.94 p/s,53.7 kp/s,4.70 p/s,33.1 kp/s
2026-04-24 20:34:15,4.06 p/s,55.2 kp/s,4.84 p/s,34.1 kp/s
2026-04-24 20:34:30,3.94 p/s,55.5 kp/s,4.71 p/s,34.3 kp/s
2026-04-24 20:34:45,3.88 p/s,55.5 kp/s,4.64 p/s,34.3 kp/s
2026-04-24 20:35:00,3.12 p/s,55.5 kp/s,4.01 p/s,34.3 kp/s
2026-04-24 20:35:15,3.20 p/s,55.5 kp/s,4.09 p/s,34.3 kp/s
2026-04-24 20:35:30,3.25 p/s,55.5 kp/s,4.13 p/s,34.3 kp/s
2026-04-24 20:35:45,3.26 p/s,55.5 kp/s,4.12 p/s,34.3 kp/s
2026-04-24 20:36:00,3.26 p/s,55.5 kp/s,4.12 p/s,34.3 kp/s
2026-04-24 20:36:15,3.38 p/s,47.1 kp/s,4.23 p/s,29.0 kp/s
2026-04-24 20:36:30,3.36 p/s,42.4 kp/s,4.23 p/s,26.1 kp/s
2026-04-24 20:36:45,3.36 p/s,42.4 kp/s,4.20 p/s,26.1 kp/s
2026-04-24 20:37:00,3.40 p/s,41.0 kp/s,4.24 p/s,25.1 kp/s
2026-04-24 20:37:15,3.42 p/s,28.5 kp/s,4.27 p/s,17.5 kp/s
2026-04-24 20:37:30,3.39 p/s,23.0 kp/s,4.26 p/s,14.3 kp/s
2026-04-24 20:37:45,3.36 p/s,21.4 kp/s,4.21 p/s,13.2 kp/s
2026-04-24 20:38:00,3.41 p/s,19.4 kp/s,4.25 p/s,11.9 kp/s
2026-04-24 20:38:15,3.45 p/s,7.61 kp/s,4.29 p/s,4.85 kp/s
2026-04-24 20:38:30,3.47 p/s,3.60 kp/s,4.31 p/s,2.35 kp/s
2026-04-24 20:38:45,3.50 p/s,1.77 kp/s,4.33 p/s,1.18 kp/s
2026-04-24 20:39:00,3.47 p/s,316 p/s,4.31 p/s,204 p/s
2026-04-24 20:39:15,3.54 p/s,4.05 p/s,4.37 p/s,4.94 p/s
2026-04-24 20:39:30,3.61 p/s,4.08 p/s,4.46 p/s,4.97 p/s
2026-04-24 20:39:45,3.51 p/s,4.12 p/s,4.32 p/s,5.01 p/s
2026-04-24 20:40:00,3.53 p/s,4.24 p/s,4.38 p/s,5.02 p/s
2026-04-24 20:40:15,3.53 p/s,4.42 p/s,4.36 p/s,5.15 p/s
2026-04-24 20:40:30,3.54 p/s,4.26 p/s,4.40 p/s,4.97 p/s
2026-04-24 20:40:45,3.52 p/s,4.24 p/s,4.35 p/s,4.94 p/s
2026-04-24 20:41:00,3.44 p/s,4.04 p/s,4.30 p/s,4.75 p/s
2026-04-24 20:41:15,3.41 p/s,4.05 p/s,4.25 p/s,4.78 p/s
2026-04-24 20:41:30,3.44 p/s,3.99 p/s,4.32 p/s,4.75 p/s
2026-04-24 20:41:45,3.30 p/s,3.96 p/s,4.15 p/s,4.72 p/s
2026-04-24 20:42:00,3.38 p/s,3.92 p/s,4.26 p/s,4.67 p/s
2026-04-24 20:42:15,3.36 p/s,4.01 p/s,4.22 p/s,4.74 p/s
2026-04-24 20:42:30,3.48 p/s,4.04 p/s,4.35 p/s,4.78 p/s
2026-04-24 20:42:45,3.38 p/s,3.95 p/s,4.23 p/s,4.72 p/s
2026-04-24 20:43:00,3.36 p/s,3.95 p/s,4.26 p/s,4.72 p/s
2026-04-24 20:43:15,3.32 p/s,3.92 p/s,4.21 p/s,4.69 p/s
