"Time","172.212.226.225:9100direction: rx gpu_index: 0","20.29.43.19:9100direction: rx gpu_index: 0","172.212.226.225:9100direction: rx gpu_index: 1","20.29.43.19:9100direction: rx gpu_index: 1","172.212.226.225:9100direction: tx gpu_index: 0","20.29.43.19:9100direction: tx gpu_index: 0","172.212.226.225:9100direction: tx gpu_index: 1","20.29.43.19:9100direction: tx gpu_index: 1"
2026-04-24 20:29:00,1.98 kB/s,45.0 kB/s,2.83 kB/s,45.5 kB/s,1.79 kB/s,62.9 kB/s,2.17 kB/s,64.4 kB/s
2026-04-24 20:29:15,1.98 kB/s,46.0 kB/s,2.83 kB/s,46.0 kB/s,1.79 kB/s,63.4 kB/s,2.17 kB/s,64.4 kB/s
2026-04-24 20:29:30,1.95 kB/s,45.5 kB/s,2.58 kB/s,44.5 kB/s,1.74 kB/s,62.3 kB/s,2.07 kB/s,62.3 kB/s
2026-04-24 20:29:45,1.95 kB/s,45.5 kB/s,2.58 kB/s,45.0 kB/s,1.74 kB/s,62.3 kB/s,2.07 kB/s,62.8 kB/s
2026-04-24 20:30:00,1.95 kB/s,45.0 kB/s,2.71 kB/s,45.0 kB/s,1.77 kB/s,62.3 kB/s,2.08 kB/s,63.4 kB/s
2026-04-24 20:30:15,1.95 kB/s,46.0 kB/s,2.71 kB/s,45.5 kB/s,1.77 kB/s,63.9 kB/s,2.08 kB/s,62.8 kB/s
2026-04-24 20:30:30,1.93 kB/s,46.0 kB/s,2.82 kB/s,46.0 kB/s,1.67 kB/s,62.8 kB/s,2.13 kB/s,63.9 kB/s
2026-04-24 20:30:45,1.93 kB/s,45.5 kB/s,2.82 kB/s,45.5 kB/s,1.67 kB/s,62.3 kB/s,2.13 kB/s,63.4 kB/s
2026-04-24 20:31:00,1.96 kB/s,46.0 kB/s,2.80 kB/s,45.5 kB/s,1.79 kB/s,62.8 kB/s,2.13 kB/s,63.9 kB/s
2026-04-24 20:31:15,1.96 kB/s,45.5 kB/s,2.80 kB/s,45.5 kB/s,1.79 kB/s,62.8 kB/s,2.13 kB/s,63.4 kB/s
2026-04-24 20:31:30,1.98 kB/s,46.0 kB/s,2.58 kB/s,45.5 kB/s,1.81 kB/s,63.4 kB/s,2.07 kB/s,63.4 kB/s
2026-04-24 20:31:45,1.98 kB/s,45.4 kB/s,2.58 kB/s,46.0 kB/s,1.81 kB/s,62.7 kB/s,2.07 kB/s,64.9 kB/s
2026-04-24 20:32:00,1.98 kB/s,46.0 kB/s,2.78 kB/s,46.0 kB/s,1.79 kB/s,63.4 kB/s,2.08 kB/s,64.4 kB/s
2026-04-24 20:32:15,1.98 kB/s,46.0 kB/s,2.78 kB/s,45.0 kB/s,1.79 kB/s,63.4 kB/s,2.08 kB/s,62.3 kB/s
2026-04-24 20:32:30,1.98 kB/s,45.5 kB/s,2.83 kB/s,45.0 kB/s,1.83 kB/s,62.3 kB/s,2.17 kB/s,62.8 kB/s
2026-04-24 20:32:45,1.98 kB/s,45.4 kB/s,2.83 kB/s,45.4 kB/s,1.83 kB/s,63.3 kB/s,2.17 kB/s,63.8 kB/s
2026-04-24 20:33:00,1.96 kB/s,86.5 kB/s,2.46 kB/s,44.5 kB/s,1.79 kB/s,146 kB/s,1.96 kB/s,62.3 kB/s
2026-04-24 20:33:15,1.96 kB/s,45.5 kB/s,2.46 kB/s,44.5 kB/s,1.79 kB/s,63.9 kB/s,1.96 kB/s,60.8 kB/s
2026-04-24 20:33:30,1.98 kB/s,45.5 kB/s,2.27 kB/s,45.5 kB/s,1.81 kB/s,62.8 kB/s,1.95 kB/s,63.4 kB/s
2026-04-24 20:33:45,1.98 kB/s,45.5 kB/s,2.27 kB/s,46.5 kB/s,1.81 kB/s,62.3 kB/s,1.95 kB/s,64.4 kB/s
