"Time","sum  (
  ml_net_interface_bytes_total{direction=""tx"", instance=~""(172\\.212\\.226\\.225|20\\.29\\.43\\.19).*""} 
  - 
  (ml_net_interface_bytes_total{direction=""tx"", instance=~""(172\\.212\\.226\\.225|20\\.29\\.43\\.19).*""} @ start())
)"
2026-04-24 20:29:00,0 B
2026-04-24 20:29:15,85.6 kB
2026-04-24 20:29:30,139 kB
2026-04-24 20:29:45,222 kB
2026-04-24 20:30:00,296 kB
2026-04-24 20:30:15,467 kB
2026-04-24 20:30:30,571 kB
2026-04-24 20:30:45,648 kB
2026-04-24 20:31:00,705 kB
2026-04-24 20:31:15,2.32 MB
2026-04-24 20:31:30,202 MB
2026-04-24 20:31:45,315 MB
2026-04-24 20:32:00,315 MB
2026-04-24 20:32:15,352 MB
2026-04-24 20:32:30,639 MB
2026-04-24 20:32:45,763 MB
2026-04-24 20:33:00,805 MB
2026-04-24 20:33:15,853 MB
2026-04-24 20:33:30,1.12 GB
2026-04-24 20:33:45,1.22 GB
2026-04-24 20:34:00,1.26 GB
2026-04-24 20:34:15,1.30 GB
2026-04-24 20:34:30,1.31 GB
2026-04-24 20:34:45,1.31 GB
2026-04-24 20:35:00,1.31 GB
2026-04-24 20:35:15,1.31 GB
2026-04-24 20:35:30,1.31 GB
2026-04-24 20:35:45,1.31 GB
2026-04-24 20:36:00,1.31 GB
2026-04-24 20:36:15,1.31 GB
2026-04-24 20:36:30,1.31 GB
2026-04-24 20:36:45,1.31 GB
2026-04-24 20:37:00,1.31 GB
2026-04-24 20:37:15,1.31 GB
2026-04-24 20:37:30,1.31 GB
2026-04-24 20:37:45,1.31 GB
2026-04-24 20:38:00,1.31 GB
2026-04-24 20:38:15,1.31 GB
2026-04-24 20:38:30,1.31 GB
2026-04-24 20:38:45,1.31 GB
2026-04-24 20:39:00,1.31 GB
2026-04-24 20:39:15,1.31 GB
2026-04-24 20:39:30,1.31 GB
2026-04-24 20:39:45,1.31 GB
2026-04-24 20:40:00,1.31 GB
2026-04-24 20:40:15,1.31 GB
2026-04-24 20:40:30,1.31 GB
2026-04-24 20:40:45,1.31 GB
2026-04-24 20:41:00,1.31 GB
2026-04-24 20:41:15,1.31 GB
2026-04-24 20:41:30,1.31 GB
2026-04-24 20:41:45,1.31 GB
2026-04-24 20:42:00,1.31 GB
2026-04-24 20:42:15,1.31 GB
2026-04-24 20:42:30,1.31 GB
2026-04-24 20:42:45,1.31 GB
2026-04-24 20:43:00,1.31 GB
2026-04-24 20:43:15,1.31 GB
