"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-04-19 19:38:45,21.3 MB/s
2026-04-19 19:39:00,21.3 MB/s
2026-04-19 19:39:15,21.4 MB/s
2026-04-19 19:39:30,21.4 MB/s
2026-04-19 19:39:45,21.4 MB/s
2026-04-19 19:40:00,21.4 MB/s
2026-04-19 19:40:15,21.4 MB/s
2026-04-19 19:40:30,21.4 MB/s
2026-04-19 19:40:45,21.4 MB/s
2026-04-19 19:41:00,21.4 MB/s
2026-04-19 19:41:15,21.4 MB/s
2026-04-19 19:41:30,21.4 MB/s
2026-04-19 19:41:45,21.4 MB/s
2026-04-19 19:42:00,21.4 MB/s
2026-04-19 19:42:15,21.4 MB/s
2026-04-19 19:42:30,21.4 MB/s
2026-04-19 19:42:45,21.4 MB/s
2026-04-19 19:43:00,21.4 MB/s
2026-04-19 19:43:15,21.4 MB/s
2026-04-19 19:43:30,21.4 MB/s
2026-04-19 19:43:45,21.4 MB/s
2026-04-19 19:44:00,21.4 MB/s
2026-04-19 19:44:15,18.3 MB/s
2026-04-19 19:44:30,18.3 MB/s
