"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}","{instance=""172.212.226.225:9100"", transport=""infiniband""}","{instance=""172.212.226.225:9100"", transport=""unknown""}","{instance=""20.29.43.19:9100"", transport=""ethernet""}","{instance=""20.29.43.19:9100"", transport=""infiniband""}","{instance=""20.29.43.19:9100"", transport=""unknown""}"
2026-04-19 19:38:45,21.3 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:39:00,21.3 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:39:15,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:39:30,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:39:45,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:40:00,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:40:15,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:40:30,21.4 MB/s,21.9 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:40:45,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:41:00,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:41:15,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:41:30,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:41:45,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:42:00,21.4 MB/s,22.0 MB/s,0 B/s,22.0 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:42:15,21.4 MB/s,22.0 MB/s,0 B/s,22.1 MB/s,22.6 MB/s,0 B/s
2026-04-19 19:42:30,21.4 MB/s,22.0 MB/s,0 B/s,22.1 MB/s,22.7 MB/s,0 B/s
2026-04-19 19:42:45,21.4 MB/s,22.0 MB/s,0 B/s,22.1 MB/s,22.7 MB/s,0 B/s
2026-04-19 19:43:00,21.4 MB/s,22.0 MB/s,0 B/s,22.2 MB/s,22.7 MB/s,0 B/s
2026-04-19 19:43:15,21.4 MB/s,22.0 MB/s,0 B/s,22.2 MB/s,22.7 MB/s,0 B/s
2026-04-19 19:43:30,21.4 MB/s,22.0 MB/s,0 B/s,22.2 MB/s,22.8 MB/s,0 B/s
2026-04-19 19:43:45,21.4 MB/s,22.0 MB/s,0 B/s,22.2 MB/s,22.8 MB/s,0 B/s
2026-04-19 19:44:00,21.4 MB/s,22.0 MB/s,0 B/s,22.3 MB/s,22.8 MB/s,0 B/s
2026-04-19 19:44:15,18.3 MB/s,18.7 MB/s,0 B/s,22.3 MB/s,22.8 MB/s,0 B/s
2026-04-19 19:44:30,18.3 MB/s,18.7 MB/s,0 B/s,22.3 MB/s,22.9 MB/s,0 B/s
