"Time","20.118.208.91:9100 direction: rx gpu_index: 0","20.118.208.91:9100 direction: rx gpu_index: 1","20.118.208.91:9100 direction: tx gpu_index: 0","20.118.208.91:9100 direction: tx gpu_index: 1"
2026-06-03 02:36:00,9.13 kB/s,9.10 kB/s,82.7 kB/s,82.5 kB/s
2026-06-03 02:36:15,9.11 kB/s,9.13 kB/s,82.5 kB/s,82.7 kB/s
2026-06-03 02:36:30,9.11 kB/s,9.13 kB/s,82.5 kB/s,82.7 kB/s
2026-06-03 02:36:45,9.11 kB/s,9.13 kB/s,82.4 kB/s,82.5 kB/s
2026-06-03 02:37:00,9.11 kB/s,9.13 kB/s,82.4 kB/s,82.5 kB/s
2026-06-03 02:37:15,9.11 kB/s,9.11 kB/s,82.5 kB/s,82.6 kB/s
2026-06-03 02:37:30,9.11 kB/s,9.11 kB/s,82.5 kB/s,82.6 kB/s
2026-06-03 02:37:45,9.15 kB/s,9.11 kB/s,82.8 kB/s,82.6 kB/s
2026-06-03 02:38:00,9.15 kB/s,9.11 kB/s,82.8 kB/s,82.6 kB/s
2026-06-03 02:38:15,9.11 kB/s,9.10 kB/s,82.5 kB/s,82.8 kB/s
2026-06-03 02:38:30,9.11 kB/s,9.10 kB/s,82.5 kB/s,82.8 kB/s
2026-06-03 02:38:45,9.13 kB/s,9.15 kB/s,82.9 kB/s,82.8 kB/s
2026-06-03 02:39:00,9.13 kB/s,9.15 kB/s,82.9 kB/s,82.8 kB/s
2026-06-03 02:39:15,9.13 kB/s,9.10 kB/s,82.7 kB/s,82.5 kB/s
2026-06-03 02:39:30,9.13 kB/s,9.10 kB/s,82.7 kB/s,82.5 kB/s
2026-06-03 02:39:45,123 kB/s,118 kB/s,336 kB/s,327 kB/s
2026-06-03 02:40:00,123 kB/s,118 kB/s,336 kB/s,327 kB/s
2026-06-03 02:40:15,306 MB/s,306 MB/s,36.4 MB/s,36.4 MB/s
2026-06-03 02:40:30,306 MB/s,306 MB/s,36.4 MB/s,36.4 MB/s
2026-06-03 02:40:45,18.5 MB/s,16.3 MB/s,5.54 MB/s,4.96 MB/s
2026-06-03 02:41:00,18.5 MB/s,16.3 MB/s,5.54 MB/s,4.96 MB/s
2026-06-03 02:41:15,22.5 MB/s,19.7 MB/s,6.72 MB/s,6.00 MB/s
2026-06-03 02:41:30,22.5 MB/s,19.7 MB/s,6.72 MB/s,6.00 MB/s
2026-06-03 02:41:45,24.3 MB/s,21.5 MB/s,7.24 MB/s,6.50 MB/s
2026-06-03 02:42:00,24.3 MB/s,21.5 MB/s,7.24 MB/s,6.50 MB/s
2026-06-03 02:42:15,24.1 MB/s,21.1 MB/s,7.21 MB/s,6.44 MB/s
2026-06-03 02:42:30,24.1 MB/s,21.1 MB/s,7.21 MB/s,6.44 MB/s
2026-06-03 02:42:45,24.1 MB/s,21.5 MB/s,7.14 MB/s,6.44 MB/s
2026-06-03 02:43:00,24.1 MB/s,21.5 MB/s,7.14 MB/s,6.44 MB/s
2026-06-03 02:43:15,26.2 MB/s,22.9 MB/s,7.90 MB/s,7.01 MB/s
2026-06-03 02:43:30,26.2 MB/s,22.9 MB/s,7.90 MB/s,7.01 MB/s
2026-06-03 02:43:45,23.2 MB/s,20.4 MB/s,6.95 MB/s,6.21 MB/s
2026-06-03 02:44:00,23.2 MB/s,20.4 MB/s,6.95 MB/s,6.21 MB/s
2026-06-03 02:44:15,21.7 MB/s,19.1 MB/s,6.47 MB/s,5.79 MB/s
2026-06-03 02:44:30,21.7 MB/s,19.1 MB/s,6.47 MB/s,5.79 MB/s
2026-06-03 02:44:45,26.1 MB/s,22.7 MB/s,7.91 MB/s,7.00 MB/s
2026-06-03 02:45:00,26.1 MB/s,22.7 MB/s,7.91 MB/s,7.00 MB/s
2026-06-03 02:45:15,24.7 MB/s,21.7 MB/s,7.37 MB/s,6.60 MB/s
2026-06-03 02:45:30,24.7 MB/s,21.7 MB/s,7.37 MB/s,6.60 MB/s
2026-06-03 02:45:45,22.1 MB/s,19.3 MB/s,6.67 MB/s,5.93 MB/s
2026-06-03 02:46:00,22.1 MB/s,19.3 MB/s,6.67 MB/s,5.93 MB/s
2026-06-03 02:46:15,16.3 MB/s,14.2 MB/s,4.96 MB/s,4.39 MB/s
2026-06-03 02:46:30,16.3 MB/s,14.2 MB/s,4.96 MB/s,4.39 MB/s
2026-06-03 02:46:45,20.5 MB/s,18.1 MB/s,6.15 MB/s,5.50 MB/s
2026-06-03 02:47:00,20.5 MB/s,18.1 MB/s,6.15 MB/s,5.50 MB/s
2026-06-03 02:47:15,27.4 MB/s,24.3 MB/s,8.12 MB/s,7.32 MB/s
2026-06-03 02:47:30,27.4 MB/s,24.3 MB/s,8.12 MB/s,7.32 MB/s
2026-06-03 02:47:45,28.7 MB/s,25.4 MB/s,8.52 MB/s,7.68 MB/s
2026-06-03 02:48:00,28.7 MB/s,25.4 MB/s,8.52 MB/s,7.68 MB/s
2026-06-03 02:48:15,28.9 MB/s,25.4 MB/s,8.64 MB/s,7.73 MB/s
2026-06-03 02:48:30,28.9 MB/s,25.4 MB/s,8.64 MB/s,7.73 MB/s
2026-06-03 02:48:45,29.5 MB/s,25.8 MB/s,8.84 MB/s,7.88 MB/s
2026-06-03 02:49:00,29.5 MB/s,25.8 MB/s,8.84 MB/s,7.88 MB/s
2026-06-03 02:49:15,28.5 MB/s,25.2 MB/s,8.47 MB/s,7.61 MB/s
2026-06-03 02:49:30,28.5 MB/s,25.2 MB/s,8.47 MB/s,7.61 MB/s
2026-06-03 02:49:45,27.1 MB/s,24.1 MB/s,8.04 MB/s,7.23 MB/s
2026-06-03 02:50:00,27.1 MB/s,24.1 MB/s,8.04 MB/s,7.23 MB/s
2026-06-03 02:50:15,29.3 MB/s,25.7 MB/s,8.76 MB/s,7.82 MB/s
2026-06-03 02:50:30,29.3 MB/s,25.7 MB/s,8.76 MB/s,7.82 MB/s
2026-06-03 02:50:45,24.0 MB/s,21.2 MB/s,7.15 MB/s,6.42 MB/s
2026-06-03 02:51:00,24.0 MB/s,21.2 MB/s,7.15 MB/s,6.42 MB/s
2026-06-03 02:51:15,28.8 MB/s,25.4 MB/s,8.57 MB/s,7.69 MB/s
2026-06-03 02:51:30,28.8 MB/s,25.4 MB/s,8.57 MB/s,7.69 MB/s
2026-06-03 02:51:45,27.7 MB/s,24.6 MB/s,8.23 MB/s,7.40 MB/s
2026-06-03 02:52:00,27.7 MB/s,24.6 MB/s,8.23 MB/s,7.40 MB/s
2026-06-03 02:52:15,29.0 MB/s,25.5 MB/s,8.65 MB/s,7.74 MB/s
2026-06-03 02:52:30,29.0 MB/s,25.5 MB/s,8.65 MB/s,7.74 MB/s
2026-06-03 02:52:45,24.3 MB/s,21.6 MB/s,7.18 MB/s,6.49 MB/s
2026-06-03 02:53:00,24.3 MB/s,21.6 MB/s,7.18 MB/s,6.49 MB/s
2026-06-03 02:53:15,28.7 MB/s,25.3 MB/s,8.56 MB/s,7.66 MB/s
2026-06-03 02:53:30,28.7 MB/s,25.3 MB/s,8.56 MB/s,7.66 MB/s
2026-06-03 02:53:45,28.7 MB/s,25.4 MB/s,8.55 MB/s,7.67 MB/s
2026-06-03 02:54:00,28.7 MB/s,25.4 MB/s,8.55 MB/s,7.67 MB/s
2026-06-03 02:54:15,27.9 MB/s,24.9 MB/s,8.21 MB/s,7.43 MB/s
2026-06-03 02:54:30,27.9 MB/s,24.9 MB/s,8.21 MB/s,7.43 MB/s
2026-06-03 02:54:45,28.7 MB/s,25.3 MB/s,8.56 MB/s,7.66 MB/s
2026-06-03 02:55:00,28.7 MB/s,25.3 MB/s,8.56 MB/s,7.66 MB/s
2026-06-03 02:55:15,25.0 MB/s,22.0 MB/s,7.46 MB/s,6.68 MB/s
2026-06-03 02:55:30,25.0 MB/s,22.0 MB/s,7.46 MB/s,6.68 MB/s
2026-06-03 02:55:45,23.6 MB/s,20.8 MB/s,7.03 MB/s,6.31 MB/s
2026-06-03 02:56:00,23.6 MB/s,20.8 MB/s,7.03 MB/s,6.31 MB/s
2026-06-03 02:56:15,26.5 MB/s,23.5 MB/s,7.84 MB/s,7.06 MB/s
2026-06-03 02:56:30,26.5 MB/s,23.5 MB/s,7.84 MB/s,7.06 MB/s
2026-06-03 02:56:45,26.3 MB/s,23.1 MB/s,7.87 MB/s,7.04 MB/s
2026-06-03 02:57:00,26.3 MB/s,23.1 MB/s,7.87 MB/s,7.04 MB/s
