"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 02:36:30,4.45 kB/s,8.63 kB/s
2026-06-03 02:36:45,2.56 kB/s,4.28 kB/s
2026-06-03 02:37:00,1.68 kB/s,2.22 kB/s
2026-06-03 02:37:15,1.54 kB/s,2.10 kB/s
2026-06-03 02:37:30,1.47 kB/s,2.05 kB/s
2026-06-03 02:37:45,1.46 kB/s,2.05 kB/s
2026-06-03 02:38:00,1.44 kB/s,2.03 kB/s
2026-06-03 02:38:15,1.46 kB/s,2.04 kB/s
2026-06-03 02:38:30,1.45 kB/s,2.03 kB/s
2026-06-03 02:38:45,1.49 kB/s,2.07 kB/s
2026-06-03 02:39:00,602 kB/s,4.07 kB/s
2026-06-03 02:39:15,98.1 MB/s,163 kB/s
2026-06-03 02:39:30,100 MB/s,166 kB/s
2026-06-03 02:39:45,100 MB/s,166 kB/s
2026-06-03 02:40:00,100 MB/s,166 kB/s
2026-06-03 02:40:15,100 MB/s,166 kB/s
2026-06-03 02:40:30,100 MB/s,166 kB/s
2026-06-03 02:40:45,100 MB/s,168 kB/s
2026-06-03 02:41:00,100 MB/s,168 kB/s
2026-06-03 02:41:15,100 MB/s,169 kB/s
2026-06-03 02:41:30,100 MB/s,170 kB/s
2026-06-03 02:41:45,100 MB/s,171 kB/s
2026-06-03 02:42:00,100 MB/s,172 kB/s
2026-06-03 02:42:15,100 MB/s,173 kB/s
2026-06-03 02:42:30,100 MB/s,174 kB/s
2026-06-03 02:42:45,100 MB/s,174 kB/s
2026-06-03 02:43:00,100 MB/s,175 kB/s
2026-06-03 02:43:15,100 MB/s,177 kB/s
2026-06-03 02:43:30,100 MB/s,178 kB/s
2026-06-03 02:43:45,99.8 MB/s,176 kB/s
2026-06-03 02:44:00,2.22 MB/s,18.1 kB/s
2026-06-03 02:44:15,21.4 kB/s,15.7 kB/s
2026-06-03 02:44:30,22.4 kB/s,16.7 kB/s
2026-06-03 02:44:45,23.8 kB/s,17.6 kB/s
2026-06-03 02:45:00,25.1 kB/s,18.3 kB/s
2026-06-03 02:45:15,25.6 kB/s,18.8 kB/s
2026-06-03 02:45:30,25.4 kB/s,18.7 kB/s
2026-06-03 02:45:45,25.0 kB/s,18.5 kB/s
2026-06-03 02:46:00,23.8 kB/s,18.0 kB/s
2026-06-03 02:46:15,23.6 kB/s,18.1 kB/s
2026-06-03 02:46:30,23.9 kB/s,18.3 kB/s
2026-06-03 02:46:45,23.8 kB/s,17.9 kB/s
2026-06-03 02:47:00,24.0 kB/s,17.9 kB/s
2026-06-03 02:47:15,24.2 kB/s,18.1 kB/s
