"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 02:36:30,15.9 p/s,15.0 p/s
2026-06-03 02:36:45,13.2 p/s,11.6 p/s
2026-06-03 02:37:00,11.1 p/s,9.52 p/s
2026-06-03 02:37:15,8.77 p/s,8.41 p/s
2026-06-03 02:37:30,7.77 p/s,7.89 p/s
2026-06-03 02:37:45,7.76 p/s,7.89 p/s
2026-06-03 02:38:00,7.69 p/s,7.80 p/s
2026-06-03 02:38:15,7.75 p/s,7.89 p/s
2026-06-03 02:38:30,7.69 p/s,7.84 p/s
2026-06-03 02:38:45,8.18 p/s,8.12 p/s
2026-06-03 02:39:00,56.9 p/s,37.6 p/s
2026-06-03 02:39:15,4.83 kp/s,2.39 kp/s
2026-06-03 02:39:30,4.94 kp/s,2.44 kp/s
2026-06-03 02:39:45,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:00,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:15,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:30,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:45,4.94 kp/s,2.44 kp/s
2026-06-03 02:41:00,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:15,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:30,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:45,4.94 kp/s,2.45 kp/s
2026-06-03 02:42:00,4.95 kp/s,2.45 kp/s
2026-06-03 02:42:15,4.95 kp/s,2.45 kp/s
2026-06-03 02:42:30,4.95 kp/s,2.46 kp/s
2026-06-03 02:42:45,4.95 kp/s,2.46 kp/s
2026-06-03 02:43:00,4.95 kp/s,2.46 kp/s
2026-06-03 02:43:15,4.96 kp/s,2.46 kp/s
2026-06-03 02:43:30,4.96 kp/s,2.46 kp/s
2026-06-03 02:43:45,4.91 kp/s,2.44 kp/s
2026-06-03 02:44:00,142 p/s,82.9 p/s
2026-06-03 02:44:15,34.6 p/s,32.7 p/s
2026-06-03 02:44:30,34.7 p/s,33.6 p/s
2026-06-03 02:44:45,36.7 p/s,35.4 p/s
2026-06-03 02:45:00,38.3 p/s,36.9 p/s
2026-06-03 02:45:15,39.2 p/s,37.7 p/s
2026-06-03 02:45:30,39.1 p/s,37.6 p/s
2026-06-03 02:45:45,38.6 p/s,37.2 p/s
2026-06-03 02:46:00,37.2 p/s,35.9 p/s
2026-06-03 02:46:15,37.2 p/s,35.9 p/s
2026-06-03 02:46:30,37.6 p/s,36.4 p/s
2026-06-03 02:46:45,37.1 p/s,35.8 p/s
2026-06-03 02:47:00,37.2 p/s,35.8 p/s
2026-06-03 02:47:15,37.5 p/s,36.2 p/s
