"Time","20.118.208.91:9100 ethernet","20.118.208.91:9100 infiniband","20.118.208.91:9100 unknown"
2026-06-03 02:36:30,0 B,0 B,0 B
2026-06-03 02:36:45,12.8 KiB,13.0 KiB,0 B
2026-06-03 02:37:00,30.9 KiB,31.4 KiB,0 B
2026-06-03 02:37:15,45.6 KiB,46.3 KiB,0 B
2026-06-03 02:37:30,65.0 KiB,65.9 KiB,0 B
2026-06-03 02:37:45,77.5 KiB,78.7 KiB,0 B
2026-06-03 02:38:00,97.0 KiB,98.4 KiB,0 B
2026-06-03 02:38:15,112 KiB,113 KiB,0 B
2026-06-03 02:38:30,129 KiB,131 KiB,0 B
2026-06-03 02:38:45,152 KiB,154 KiB,0 B
2026-06-03 02:39:00,730 KiB,732 KiB,0 B
2026-06-03 02:39:15,43.9 MiB,43.9 MiB,0 B
2026-06-03 02:39:30,44.8 MiB,44.8 MiB,0 B
2026-06-03 02:39:45,44.9 MiB,44.9 MiB,0 B
2026-06-03 02:40:00,44.9 MiB,44.9 MiB,0 B
2026-06-03 02:40:15,44.9 MiB,44.9 MiB,0 B
2026-06-03 02:40:30,45.1 MiB,45.1 MiB,0 B
2026-06-03 02:40:45,45.5 MiB,45.5 MiB,0 B
2026-06-03 02:41:00,45.7 MiB,45.7 MiB,0 B
2026-06-03 02:41:15,46.0 MiB,46.0 MiB,0 B
2026-06-03 02:41:30,46.2 MiB,46.2 MiB,0 B
2026-06-03 02:41:45,46.4 MiB,46.4 MiB,0 B
2026-06-03 02:42:00,46.7 MiB,46.7 MiB,0 B
2026-06-03 02:42:15,47.0 MiB,47.0 MiB,0 B
2026-06-03 02:42:30,47.2 MiB,47.3 MiB,0 B
2026-06-03 02:42:45,47.5 MiB,47.5 MiB,0 B
2026-06-03 02:43:00,47.8 MiB,47.8 MiB,0 B
2026-06-03 02:43:15,48.1 MiB,48.1 MiB,0 B
2026-06-03 02:43:30,48.4 MiB,48.4 MiB,0 B
2026-06-03 02:43:45,48.6 MiB,48.6 MiB,0 B
2026-06-03 02:44:00,48.8 MiB,48.8 MiB,0 B
2026-06-03 02:44:15,49.1 MiB,49.1 MiB,0 B
2026-06-03 02:44:30,49.4 MiB,49.4 MiB,0 B
2026-06-03 02:44:45,49.7 MiB,49.7 MiB,0 B
2026-06-03 02:45:00,49.9 MiB,49.9 MiB,0 B
2026-06-03 02:45:15,50.2 MiB,50.3 MiB,0 B
2026-06-03 02:45:30,50.6 MiB,50.6 MiB,0 B
2026-06-03 02:45:45,50.7 MiB,50.7 MiB,0 B
2026-06-03 02:46:00,50.8 MiB,50.9 MiB,0 B
2026-06-03 02:46:15,51.1 MiB,51.2 MiB,0 B
2026-06-03 02:46:30,51.4 MiB,51.4 MiB,0 B
2026-06-03 02:46:45,51.6 MiB,51.6 MiB,0 B
2026-06-03 02:47:00,51.9 MiB,51.9 MiB,0 B
2026-06-03 02:47:15,52.2 MiB,52.2 MiB,0 B
