"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 02:45:00,38.3 p/s,36.9 p/s
2026-06-03 02:45:15,39.2 p/s,37.7 p/s
2026-06-03 02:45:30,39.1 p/s,37.6 p/s
2026-06-03 02:45:45,38.6 p/s,37.2 p/s
2026-06-03 02:46:00,37.2 p/s,35.9 p/s
2026-06-03 02:46:15,37.2 p/s,35.9 p/s
2026-06-03 02:46:30,37.6 p/s,36.4 p/s
2026-06-03 02:46:45,37.1 p/s,35.8 p/s
2026-06-03 02:47:00,37.2 p/s,35.8 p/s
2026-06-03 02:47:15,37.5 p/s,36.2 p/s
2026-06-03 02:47:30,38.4 p/s,36.9 p/s
2026-06-03 02:47:45,38.3 p/s,36.8 p/s
2026-06-03 02:48:00,38.4 p/s,36.8 p/s
2026-06-03 02:48:15,38.5 p/s,36.8 p/s
2026-06-03 02:48:30,39.3 p/s,37.7 p/s
2026-06-03 02:48:45,40.3 p/s,38.5 p/s
2026-06-03 02:49:00,40.4 p/s,38.6 p/s
2026-06-03 02:49:15,40.8 p/s,39.0 p/s
2026-06-03 02:49:30,41.1 p/s,39.1 p/s
2026-06-03 02:49:45,41.5 p/s,39.4 p/s
2026-06-03 02:50:00,41.6 p/s,39.5 p/s
2026-06-03 02:50:15,41.7 p/s,39.8 p/s
2026-06-03 02:50:30,42.9 p/s,40.8 p/s
2026-06-03 02:50:45,43.9 p/s,41.7 p/s
2026-06-03 02:51:00,44.4 p/s,42.0 p/s
2026-06-03 02:51:15,45.1 p/s,42.7 p/s
2026-06-03 02:51:30,46.0 p/s,43.5 p/s
2026-06-03 02:51:45,45.7 p/s,43.3 p/s
2026-06-03 02:52:00,45.7 p/s,43.3 p/s
2026-06-03 02:52:15,45.3 p/s,43.0 p/s
2026-06-03 02:52:30,45.2 p/s,42.8 p/s
2026-06-03 02:52:45,45.0 p/s,42.7 p/s
2026-06-03 02:53:00,45.1 p/s,42.7 p/s
2026-06-03 02:53:15,45.1 p/s,42.7 p/s
2026-06-03 02:53:30,45.3 p/s,42.8 p/s
2026-06-03 02:53:45,45.2 p/s,42.8 p/s
2026-06-03 02:54:00,45.2 p/s,42.7 p/s
2026-06-03 02:54:15,45.2 p/s,42.8 p/s
2026-06-03 02:54:30,45.4 p/s,43.0 p/s
2026-06-03 02:54:45,45.4 p/s,42.9 p/s
2026-06-03 02:55:00,44.8 p/s,42.3 p/s
2026-06-03 02:55:15,44.9 p/s,42.4 p/s
2026-06-03 02:55:30,45.2 p/s,42.7 p/s
2026-06-03 02:55:45,44.3 p/s,41.9 p/s
2026-06-03 02:56:00,44.2 p/s,41.8 p/s
2026-06-03 02:56:15,43.8 p/s,41.4 p/s
2026-06-03 02:56:30,43.5 p/s,41.2 p/s
2026-06-03 02:56:45,43.5 p/s,41.1 p/s
2026-06-03 02:57:00,44.0 p/s,41.6 p/s
2026-06-03 02:57:15,44.1 p/s,41.8 p/s
2026-06-03 02:57:30,44.1 p/s,41.8 p/s
2026-06-03 02:57:45,44.1 p/s,41.9 p/s
2026-06-03 02:58:00,44.0 p/s,41.8 p/s
2026-06-03 02:58:15,44.0 p/s,41.8 p/s
2026-06-03 02:58:30,44.2 p/s,42.0 p/s
2026-06-03 02:58:45,42.8 p/s,40.7 p/s
2026-06-03 02:59:00,42.1 p/s,40.0 p/s
2026-06-03 02:59:15,42.0 p/s,39.9 p/s
2026-06-03 02:59:30,40.8 p/s,38.8 p/s
