"Time","20.118.208.91:9100 ethernet rx","20.118.208.91:9100 infiniband rx","20.118.208.91:9100 unknown rx","20.118.208.91:9100 ethernet tx","20.118.208.91:9100 infiniband tx","20.118.208.91:9100 unknown tx"
2026-06-03 02:45:00,0 B,0 B,0 B,0 B,0 B,0 B
2026-06-03 02:45:15,438 kB,456 kB,0 B,335 kB,335 kB,0 B
2026-06-03 02:45:30,808 kB,841 kB,0 B,658 kB,660 kB,0 B
2026-06-03 02:45:45,1.00 MB,1.04 MB,0 B,838 kB,839 kB,0 B
2026-06-03 02:46:00,1.11 MB,1.16 MB,0 B,959 kB,960 kB,0 B
2026-06-03 02:46:15,1.52 MB,1.58 MB,0 B,1.27 MB,1.27 MB,0 B
2026-06-03 02:46:30,1.80 MB,1.88 MB,0 B,1.53 MB,1.53 MB,0 B
2026-06-03 02:46:45,2.22 MB,2.31 MB,0 B,1.72 MB,1.72 MB,0 B
2026-06-03 02:47:00,2.71 MB,2.82 MB,0 B,2.04 MB,2.04 MB,0 B
2026-06-03 02:47:15,3.25 MB,3.38 MB,0 B,2.36 MB,2.36 MB,0 B
2026-06-03 02:47:30,3.73 MB,3.88 MB,0 B,2.66 MB,2.66 MB,0 B
2026-06-03 02:47:45,4.14 MB,4.30 MB,0 B,3.02 MB,3.02 MB,0 B
2026-06-03 02:48:00,4.64 MB,4.83 MB,0 B,3.33 MB,3.34 MB,0 B
2026-06-03 02:48:15,5.10 MB,5.31 MB,0 B,3.66 MB,3.66 MB,0 B
2026-06-03 02:48:30,5.48 MB,5.70 MB,0 B,4.02 MB,4.03 MB,0 B
2026-06-03 02:48:45,5.92 MB,6.15 MB,0 B,4.34 MB,4.34 MB,0 B
2026-06-03 02:49:00,6.40 MB,6.66 MB,0 B,4.66 MB,4.67 MB,0 B
2026-06-03 02:49:15,6.94 MB,7.22 MB,0 B,4.97 MB,4.98 MB,0 B
2026-06-03 02:49:30,7.43 MB,7.72 MB,0 B,5.28 MB,5.29 MB,0 B
2026-06-03 02:49:45,7.94 MB,8.25 MB,0 B,5.56 MB,5.57 MB,0 B
2026-06-03 02:50:00,8.34 MB,8.67 MB,0 B,5.91 MB,5.92 MB,0 B
2026-06-03 02:50:15,8.76 MB,9.11 MB,0 B,6.27 MB,6.27 MB,0 B
2026-06-03 02:50:30,9.23 MB,9.59 MB,0 B,6.58 MB,6.58 MB,0 B
2026-06-03 02:50:45,9.63 MB,10.0 MB,0 B,6.81 MB,6.82 MB,0 B
2026-06-03 02:51:00,10.1 MB,10.5 MB,0 B,7.41 MB,7.43 MB,0 B
2026-06-03 02:51:15,10.6 MB,11.0 MB,0 B,7.75 MB,7.77 MB,0 B
2026-06-03 02:51:30,11.2 MB,11.6 MB,0 B,8.06 MB,8.08 MB,0 B
2026-06-03 02:51:45,11.5 MB,12.0 MB,0 B,8.38 MB,8.40 MB,0 B
2026-06-03 02:52:00,12.1 MB,12.5 MB,0 B,8.70 MB,8.72 MB,0 B
2026-06-03 02:52:15,12.4 MB,12.9 MB,0 B,8.95 MB,8.97 MB,0 B
2026-06-03 02:52:30,12.9 MB,13.4 MB,0 B,9.26 MB,9.28 MB,0 B
2026-06-03 02:52:45,13.4 MB,13.9 MB,0 B,9.56 MB,9.58 MB,0 B
2026-06-03 02:53:00,14.0 MB,14.5 MB,0 B,9.86 MB,9.88 MB,0 B
2026-06-03 02:53:15,14.4 MB,14.9 MB,0 B,10.2 MB,10.2 MB,0 B
2026-06-03 02:53:30,14.9 MB,15.5 MB,0 B,10.5 MB,10.5 MB,0 B
2026-06-03 02:53:45,15.4 MB,16.0 MB,0 B,10.8 MB,10.9 MB,0 B
