"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 02:38:45,1.49 kB/s,2.07 kB/s
2026-06-03 02:39:00,602 kB/s,4.07 kB/s
2026-06-03 02:39:15,98.1 MB/s,163 kB/s
2026-06-03 02:39:30,100 MB/s,166 kB/s
2026-06-03 02:39:45,100 MB/s,166 kB/s
2026-06-03 02:40:00,100 MB/s,166 kB/s
2026-06-03 02:40:15,100 MB/s,166 kB/s
2026-06-03 02:40:30,100 MB/s,166 kB/s
2026-06-03 02:40:45,100 MB/s,168 kB/s
2026-06-03 02:41:00,100 MB/s,168 kB/s
2026-06-03 02:41:15,100 MB/s,169 kB/s
2026-06-03 02:41:30,100 MB/s,170 kB/s
2026-06-03 02:41:45,100 MB/s,171 kB/s
2026-06-03 02:42:00,100 MB/s,172 kB/s
2026-06-03 02:42:15,100 MB/s,173 kB/s
2026-06-03 02:42:30,100 MB/s,174 kB/s
2026-06-03 02:42:45,100 MB/s,174 kB/s
2026-06-03 02:43:00,100 MB/s,175 kB/s
2026-06-03 02:43:15,100 MB/s,177 kB/s
2026-06-03 02:43:30,100 MB/s,178 kB/s
2026-06-03 02:43:45,99.8 MB/s,176 kB/s
2026-06-03 02:44:00,2.22 MB/s,18.1 kB/s
2026-06-03 02:44:15,21.4 kB/s,15.7 kB/s
2026-06-03 02:44:30,22.4 kB/s,16.7 kB/s
2026-06-03 02:44:45,23.8 kB/s,17.6 kB/s
2026-06-03 02:45:00,25.1 kB/s,18.3 kB/s
