"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 02:38:45,8.18 p/s,8.12 p/s
2026-06-03 02:39:00,56.9 p/s,37.6 p/s
2026-06-03 02:39:15,4.83 kp/s,2.39 kp/s
2026-06-03 02:39:30,4.94 kp/s,2.44 kp/s
2026-06-03 02:39:45,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:00,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:15,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:30,4.94 kp/s,2.44 kp/s
2026-06-03 02:40:45,4.94 kp/s,2.44 kp/s
2026-06-03 02:41:00,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:15,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:30,4.94 kp/s,2.45 kp/s
2026-06-03 02:41:45,4.94 kp/s,2.45 kp/s
2026-06-03 02:42:00,4.95 kp/s,2.45 kp/s
2026-06-03 02:42:15,4.95 kp/s,2.45 kp/s
2026-06-03 02:42:30,4.95 kp/s,2.46 kp/s
2026-06-03 02:42:45,4.95 kp/s,2.46 kp/s
2026-06-03 02:43:00,4.95 kp/s,2.46 kp/s
2026-06-03 02:43:15,4.96 kp/s,2.46 kp/s
2026-06-03 02:43:30,4.96 kp/s,2.46 kp/s
2026-06-03 02:43:45,4.91 kp/s,2.44 kp/s
2026-06-03 02:44:00,142 p/s,82.9 p/s
2026-06-03 02:44:15,34.6 p/s,32.7 p/s
2026-06-03 02:44:30,34.7 p/s,33.6 p/s
2026-06-03 02:44:45,36.7 p/s,35.4 p/s
2026-06-03 02:45:00,38.3 p/s,36.9 p/s
