"Time","20.118.208.91:9100 ethernet rx","20.118.208.91:9100 infiniband rx","20.118.208.91:9100 unknown rx","20.118.208.91:9100 ethernet tx","20.118.208.91:9100 infiniband tx","20.118.208.91:9100 unknown tx"
2026-06-03 02:38:45,0 B,0 B,0 B,0 B,0 B,0 B
2026-06-03 02:39:00,163 MiB,170 MiB,0 B,577 KiB,578 KiB,0 B
2026-06-03 02:39:15,26.0 GiB,27.2 GiB,0 B,43.7 MiB,43.7 MiB,0 B
2026-06-03 02:39:30,26.6 GiB,27.8 GiB,0 B,44.7 MiB,44.7 MiB,0 B
2026-06-03 02:39:45,26.6 GiB,27.8 GiB,0 B,44.7 MiB,44.7 MiB,0 B
2026-06-03 02:40:00,26.6 GiB,27.8 GiB,0 B,44.8 MiB,44.8 MiB,0 B
2026-06-03 02:40:15,26.6 GiB,27.8 GiB,0 B,44.8 MiB,44.8 MiB,0 B
2026-06-03 02:40:30,26.6 GiB,27.8 GiB,0 B,45.0 MiB,45.0 MiB,0 B
2026-06-03 02:40:45,26.6 GiB,27.8 GiB,0 B,45.3 MiB,45.3 MiB,0 B
2026-06-03 02:41:00,26.6 GiB,27.8 GiB,0 B,45.5 MiB,45.5 MiB,0 B
2026-06-03 02:41:15,26.6 GiB,27.8 GiB,0 B,45.8 MiB,45.8 MiB,0 B
2026-06-03 02:41:30,26.6 GiB,27.8 GiB,0 B,46.1 MiB,46.1 MiB,0 B
2026-06-03 02:41:45,26.6 GiB,27.8 GiB,0 B,46.3 MiB,46.3 MiB,0 B
2026-06-03 02:42:00,26.6 GiB,27.8 GiB,0 B,46.5 MiB,46.5 MiB,0 B
2026-06-03 02:42:15,26.6 GiB,27.8 GiB,0 B,46.9 MiB,46.9 MiB,0 B
2026-06-03 02:42:30,26.6 GiB,27.8 GiB,0 B,47.1 MiB,47.1 MiB,0 B
2026-06-03 02:42:45,26.6 GiB,27.8 GiB,0 B,47.3 MiB,47.3 MiB,0 B
2026-06-03 02:43:00,26.6 GiB,27.8 GiB,0 B,47.6 MiB,47.6 MiB,0 B
2026-06-03 02:43:15,26.6 GiB,27.8 GiB,0 B,48.0 MiB,48.0 MiB,0 B
2026-06-03 02:43:30,26.6 GiB,27.8 GiB,0 B,48.3 MiB,48.3 MiB,0 B
2026-06-03 02:43:45,26.6 GiB,27.8 GiB,0 B,48.5 MiB,48.5 MiB,0 B
2026-06-03 02:44:00,26.6 GiB,27.8 GiB,0 B,48.6 MiB,48.6 MiB,0 B
2026-06-03 02:44:15,26.6 GiB,27.8 GiB,0 B,49.0 MiB,49.0 MiB,0 B
2026-06-03 02:44:30,26.6 GiB,27.8 GiB,0 B,49.3 MiB,49.3 MiB,0 B
2026-06-03 02:44:45,26.6 GiB,27.8 GiB,0 B,49.6 MiB,49.6 MiB,0 B
2026-06-03 02:45:00,26.6 GiB,27.8 GiB,0 B,49.8 MiB,49.8 MiB,0 B
