"Time","20.118.208.91:9100 ethernet","20.118.208.91:9100 infiniband","20.118.208.91:9100 unknown"
2026-06-03 02:36:00,0 B,0 B,0 B
2026-06-03 02:36:15,49.2 KiB,49.4 KiB,0 B
2026-06-03 02:36:30,71.5 KiB,72.0 KiB,0 B
2026-06-03 02:36:45,84.3 KiB,85 KiB,0 B
2026-06-03 02:37:00,102 KiB,103 KiB,0 B
2026-06-03 02:37:15,117 KiB,118 KiB,0 B
2026-06-03 02:37:30,137 KiB,138 KiB,0 B
2026-06-03 02:37:45,149 KiB,151 KiB,0 B
2026-06-03 02:38:00,169 KiB,170 KiB,0 B
2026-06-03 02:38:15,183 KiB,185 KiB,0 B
2026-06-03 02:38:30,200 KiB,203 KiB,0 B
2026-06-03 02:38:45,224 KiB,226 KiB,0 B
2026-06-03 02:39:00,801 KiB,804 KiB,0 B
2026-06-03 02:39:15,43.9 MiB,43.9 MiB,0 B
2026-06-03 02:39:30,44.9 MiB,44.9 MiB,0 B
2026-06-03 02:39:45,45.0 MiB,45.0 MiB,0 B
2026-06-03 02:40:00,45.0 MiB,45.0 MiB,0 B
2026-06-03 02:40:15,45.0 MiB,45.0 MiB,0 B
2026-06-03 02:40:30,45.2 MiB,45.2 MiB,0 B
2026-06-03 02:40:45,45.5 MiB,45.5 MiB,0 B
2026-06-03 02:41:00,45.8 MiB,45.8 MiB,0 B
2026-06-03 02:41:15,46.0 MiB,46.0 MiB,0 B
2026-06-03 02:41:30,46.3 MiB,46.3 MiB,0 B
2026-06-03 02:41:45,46.5 MiB,46.5 MiB,0 B
2026-06-03 02:42:00,46.8 MiB,46.8 MiB,0 B
2026-06-03 02:42:15,47.1 MiB,47.1 MiB,0 B
2026-06-03 02:42:30,47.3 MiB,47.3 MiB,0 B
2026-06-03 02:42:45,47.5 MiB,47.5 MiB,0 B
2026-06-03 02:43:00,47.8 MiB,47.9 MiB,0 B
2026-06-03 02:43:15,48.2 MiB,48.2 MiB,0 B
2026-06-03 02:43:30,48.5 MiB,48.5 MiB,0 B
2026-06-03 02:43:45,48.7 MiB,48.7 MiB,0 B
2026-06-03 02:44:00,48.9 MiB,48.9 MiB,0 B
2026-06-03 02:44:15,49.2 MiB,49.2 MiB,0 B
2026-06-03 02:44:30,49.5 MiB,49.5 MiB,0 B
2026-06-03 02:44:45,49.8 MiB,49.8 MiB,0 B
2026-06-03 02:45:00,50.0 MiB,50.0 MiB,0 B
2026-06-03 02:45:15,50.3 MiB,50.3 MiB,0 B
2026-06-03 02:45:30,50.6 MiB,50.6 MiB,0 B
2026-06-03 02:45:45,50.8 MiB,50.8 MiB,0 B
2026-06-03 02:46:00,50.9 MiB,50.9 MiB,0 B
2026-06-03 02:46:15,51.2 MiB,51.2 MiB,0 B
2026-06-03 02:46:30,51.5 MiB,51.5 MiB,0 B
2026-06-03 02:46:45,51.6 MiB,51.6 MiB,0 B
2026-06-03 02:47:00,51.9 MiB,52.0 MiB,0 B
2026-06-03 02:47:15,52.2 MiB,52.3 MiB,0 B
2026-06-03 02:47:30,52.5 MiB,52.5 MiB,0 B
