"Time","20.29.43.19:9100 eth0 rx","20.29.43.19:9100 eth0 tx"
2026-04-17 18:53:45,5.02 p/s,6.09 p/s
2026-04-17 18:54:00,5.02 p/s,6.04 p/s
2026-04-17 18:54:15,4.88 p/s,5.92 p/s
2026-04-17 18:54:30,4.96 p/s,5.98 p/s
2026-04-17 18:54:45,4.99 p/s,5.98 p/s
2026-04-17 18:55:00,4.89 p/s,5.85 p/s
2026-04-17 18:55:15,4.82 p/s,5.77 p/s
2026-04-17 18:55:30,4.87 p/s,5.85 p/s
2026-04-17 18:55:45,4.95 p/s,5.96 p/s
2026-04-17 18:56:00,4.94 p/s,5.90 p/s
2026-04-17 18:56:15,4.99 p/s,5.93 p/s
2026-04-17 18:56:30,4.94 p/s,5.90 p/s
2026-04-17 18:56:45,4.91 p/s,5.88 p/s
2026-04-17 18:57:00,4.87 p/s,5.86 p/s
2026-04-17 18:57:15,4.81 p/s,5.78 p/s
2026-04-17 18:57:30,4.84 p/s,5.84 p/s
2026-04-17 18:57:45,4.81 p/s,5.80 p/s
2026-04-17 18:58:00,4.72 p/s,5.72 p/s
2026-04-17 18:58:15,4.66 p/s,5.65 p/s
2026-04-17 18:58:30,4.54 p/s,5.61 p/s
2026-04-17 18:58:45,4.53 p/s,5.62 p/s
2026-04-17 18:59:00,4.61 p/s,5.69 p/s
2026-04-17 18:59:15,4.47 p/s,5.52 p/s
2026-04-17 18:59:30,4.47 p/s,5.58 p/s
2026-04-17 18:59:45,4.59 p/s,5.70 p/s
2026-04-17 19:00:00,4.60 p/s,5.73 p/s
2026-04-17 19:00:15,4.52 p/s,5.62 p/s
2026-04-17 19:00:30,4.54 p/s,5.67 p/s
2026-04-17 19:00:45,4.55 p/s,5.67 p/s
2026-04-17 19:01:00,4.47 p/s,5.59 p/s
2026-04-17 19:01:15,4.34 p/s,5.43 p/s
2026-04-17 19:01:30,4.45 p/s,5.58 p/s
2026-04-17 19:01:45,4.39 p/s,5.49 p/s
2026-04-17 19:02:00,4.39 p/s,5.52 p/s
2026-04-17 19:02:15,4.30 p/s,5.41 p/s
