"Time","20.29.43.19:9100direction: rx gpu_index: 0","20.29.43.19:9100direction: rx gpu_index: 1","20.29.43.19:9100direction: tx gpu_index: 0","20.29.43.19:9100direction: tx gpu_index: 1"
2026-04-17 18:53:45,31.1 MB/s,25.9 MB/s,8.85 MB/s,7.53 MB/s
2026-04-17 18:54:00,45.0 kB/s,45.5 kB/s,63.4 kB/s,64.9 kB/s
2026-04-17 18:54:15,45.0 kB/s,45.5 kB/s,62.8 kB/s,63.4 kB/s
2026-04-17 18:54:30,1.49 GB/s,1.25 GB/s,166 MB/s,139 MB/s
2026-04-17 18:54:45,49.1 kB/s,3.82 MB/s,61.3 kB/s,901 kB/s
2026-04-17 18:55:00,1.23 MB/s,47.5 kB/s,337 kB/s,59.3 kB/s
2026-04-17 18:55:15,1.19 MB/s,45.5 kB/s,316 kB/s,60.3 kB/s
2026-04-17 18:55:30,42.9 kB/s,42.9 kB/s,58.8 kB/s,58.8 kB/s
2026-04-17 18:55:45,29.6 MB/s,26.8 MB/s,8.05 MB/s,7.38 MB/s
2026-04-17 18:56:00,23.3 MB/s,20.1 MB/s,6.52 MB/s,5.75 MB/s
2026-04-17 18:56:15,33.6 MB/s,27.4 MB/s,9.75 MB/s,8.21 MB/s
2026-04-17 18:56:30,36.1 MB/s,26.9 MB/s,11.0 MB/s,8.70 MB/s
2026-04-17 18:56:45,36.4 MB/s,27.0 MB/s,11.1 MB/s,8.74 MB/s
2026-04-17 18:57:00,31.6 MB/s,25.6 MB/s,9.25 MB/s,7.75 MB/s
2026-04-17 18:57:15,35.6 MB/s,27.0 MB/s,10.8 MB/s,8.60 MB/s
2026-04-17 18:57:30,28.2 MB/s,24.3 MB/s,7.93 MB/s,6.99 MB/s
2026-04-17 18:57:45,43.5 kB/s,44.5 kB/s,59.8 kB/s,60.8 kB/s
2026-04-17 18:58:00,36.5 MB/s,27.0 MB/s,11.1 MB/s,8.73 MB/s
2026-04-17 18:58:15,32.5 MB/s,26.7 MB/s,9.38 MB/s,7.94 MB/s
2026-04-17 18:58:30,28.0 MB/s,25.2 MB/s,7.66 MB/s,6.99 MB/s
2026-04-17 18:58:45,44.0 kB/s,43.5 kB/s,59.3 kB/s,59.3 kB/s
2026-04-17 18:59:00,43.5 kB/s,44.0 kB/s,59.3 kB/s,60.3 kB/s
2026-04-17 18:59:15,34.9 MB/s,26.0 MB/s,10.6 MB/s,8.40 MB/s
2026-04-17 18:59:30,30.5 MB/s,26.3 MB/s,8.54 MB/s,7.53 MB/s
2026-04-17 18:59:45,28.9 MB/s,26.1 MB/s,7.87 MB/s,7.22 MB/s
2026-04-17 19:00:00,34.9 MB/s,26.0 MB/s,10.7 MB/s,8.42 MB/s
2026-04-17 19:00:15,31.1 MB/s,26.3 MB/s,8.81 MB/s,7.63 MB/s
2026-04-17 19:00:30,33.1 MB/s,26.6 MB/s,9.70 MB/s,8.07 MB/s
2026-04-17 19:00:45,9.86 MB/s,9.73 MB/s,2.54 MB/s,2.53 MB/s
2026-04-17 19:01:00,6.55 MB/s,4.84 MB/s,2.05 MB/s,1.61 MB/s
2026-04-17 19:01:15,31.8 MB/s,25.7 MB/s,9.30 MB/s,7.80 MB/s
2026-04-17 19:01:30,21.2 MB/s,20.3 MB/s,5.52 MB/s,5.35 MB/s
2026-04-17 19:01:45,28.4 MB/s,25.1 MB/s,7.84 MB/s,7.07 MB/s
2026-04-17 19:02:00,33.9 MB/s,26.8 MB/s,10.0 MB/s,8.27 MB/s
2026-04-17 19:02:15,31.4 MB/s,24.9 MB/s,9.32 MB/s,7.70 MB/s
