"Time","{instance=""20.29.43.19:9100"", transport=""ethernet""}"
2026-04-17 18:53:45,23.7 MB/s
2026-04-17 18:54:00,23.7 MB/s
2026-04-17 18:54:15,23.7 MB/s
2026-04-17 18:54:30,23.7 MB/s
2026-04-17 18:54:45,23.7 MB/s
2026-04-17 18:55:00,23.7 MB/s
2026-04-17 18:55:15,23.7 MB/s
2026-04-17 18:55:30,23.7 MB/s
2026-04-17 18:55:45,23.7 MB/s
2026-04-17 18:56:00,23.7 MB/s
2026-04-17 18:56:15,23.7 MB/s
2026-04-17 18:56:30,23.7 MB/s
2026-04-17 18:56:45,23.7 MB/s
2026-04-17 18:57:00,23.7 MB/s
2026-04-17 18:57:15,23.7 MB/s
2026-04-17 18:57:30,23.8 MB/s
2026-04-17 18:57:45,23.8 MB/s
2026-04-17 18:58:00,23.8 MB/s
2026-04-17 18:58:15,23.8 MB/s
2026-04-17 18:58:30,23.8 MB/s
2026-04-17 18:58:45,23.8 MB/s
2026-04-17 18:59:00,23.8 MB/s
2026-04-17 18:59:15,23.8 MB/s
2026-04-17 18:59:30,23.8 MB/s
2026-04-17 18:59:45,23.8 MB/s
2026-04-17 19:00:00,23.8 MB/s
2026-04-17 19:00:15,23.8 MB/s
2026-04-17 19:00:30,23.8 MB/s
2026-04-17 19:00:45,23.8 MB/s
2026-04-17 19:01:00,23.8 MB/s
2026-04-17 19:01:15,23.8 MB/s
2026-04-17 19:01:30,23.8 MB/s
2026-04-17 19:01:45,23.8 MB/s
2026-04-17 19:02:00,23.8 MB/s
2026-04-17 19:02:15,23.8 MB/s
