"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 17:56:20,9.01 kB/s
2026-05-03 17:56:40,9.01 kB/s
2026-05-03 17:57:00,104 kB/s
2026-05-03 17:57:20,579 MB/s
2026-05-03 17:57:40,579 MB/s
2026-05-03 17:58:00,3.05 GB/s
2026-05-03 17:58:20,3.09 GB/s
2026-05-03 17:58:40,3.09 GB/s
2026-05-03 17:59:00,3.05 GB/s
2026-05-03 17:59:20,3.01 GB/s
2026-05-03 17:59:40,3.01 GB/s
2026-05-03 18:00:00,3.16 GB/s
2026-05-03 18:00:20,3.01 GB/s
2026-05-03 18:00:40,3.01 GB/s
2026-05-03 18:01:00,3.15 GB/s
2026-05-03 18:01:20,2.99 GB/s
2026-05-03 18:01:40,2.99 GB/s
2026-05-03 18:02:00,3.02 GB/s
2026-05-03 18:02:20,3.07 GB/s
2026-05-03 18:02:40,3.07 GB/s
2026-05-03 18:03:00,3.09 GB/s
2026-05-03 18:03:20,3.18 GB/s
2026-05-03 18:03:40,3.18 GB/s
2026-05-03 18:04:00,2.98 GB/s
2026-05-03 18:04:20,3.05 GB/s
2026-05-03 18:04:40,3.05 GB/s
2026-05-03 18:05:00,3.05 GB/s
2026-05-03 18:05:20,3.00 GB/s
2026-05-03 18:05:40,3.00 GB/s
2026-05-03 18:06:00,3.15 GB/s
2026-05-03 18:06:20,3.01 GB/s
2026-05-03 18:06:40,3.01 GB/s
2026-05-03 18:07:00,3.12 GB/s
2026-05-03 18:07:20,3.02 GB/s
2026-05-03 18:07:40,3.02 GB/s
2026-05-03 18:08:00,3.03 GB/s
2026-05-03 18:08:20,3.11 GB/s
2026-05-03 18:08:40,3.11 GB/s
2026-05-03 18:09:00,3.01 GB/s
2026-05-03 18:09:20,3.11 GB/s
2026-05-03 18:09:40,3.11 GB/s
2026-05-03 18:10:00,3.03 GB/s
2026-05-03 18:10:20,3.04 GB/s
2026-05-03 18:10:40,3.04 GB/s
2026-05-03 18:11:00,3.08 GB/s
2026-05-03 18:11:20,3.00 GB/s
2026-05-03 18:11:40,3.00 GB/s
2026-05-03 18:12:00,3.14 GB/s
2026-05-03 18:12:20,3.01 GB/s
2026-05-03 18:12:40,3.01 GB/s
2026-05-03 18:13:00,3.04 GB/s
2026-05-03 18:13:20,3.07 GB/s
2026-05-03 18:13:40,3.07 GB/s
2026-05-03 18:14:00,3.00 GB/s
2026-05-03 18:14:20,3.19 GB/s
2026-05-03 18:14:40,3.19 GB/s
2026-05-03 18:15:00,3.00 GB/s
2026-05-03 18:15:20,3.07 GB/s
2026-05-03 18:15:40,3.07 GB/s
2026-05-03 18:16:00,3.04 GB/s
2026-05-03 18:16:20,3.00 GB/s
2026-05-03 18:16:40,3.00 GB/s
2026-05-03 18:17:00,3.16 GB/s
2026-05-03 18:17:20,3.02 GB/s
2026-05-03 18:17:40,3.02 GB/s
