"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-05-03 17:56:20,0 B
2026-05-03 17:56:40,17.9 kB
2026-05-03 17:57:00,51.7 kB
2026-05-03 17:57:20,4.07 GB
2026-05-03 17:57:40,36.5 GB
2026-05-03 17:58:00,68.3 GB
2026-05-03 17:58:20,132 GB
2026-05-03 17:58:40,164 GB
2026-05-03 17:59:00,196 GB
2026-05-03 17:59:20,259 GB
2026-05-03 17:59:40,292 GB
2026-05-03 18:00:00,325 GB
2026-05-03 18:00:20,389 GB
2026-05-03 18:00:40,421 GB
2026-05-03 18:01:00,453 GB
2026-05-03 18:01:20,516 GB
2026-05-03 18:01:40,548 GB
2026-05-03 18:02:00,580 GB
2026-05-03 18:02:20,643 GB
2026-05-03 18:02:40,675 GB
2026-05-03 18:03:00,707 GB
2026-05-03 18:03:20,771 GB
2026-05-03 18:03:40,803 GB
2026-05-03 18:04:00,834 GB
2026-05-03 18:04:20,898 GB
2026-05-03 18:04:40,930 GB
2026-05-03 18:05:00,962 GB
2026-05-03 18:05:20,1.03 TB
2026-05-03 18:05:40,1.06 TB
2026-05-03 18:06:00,1.09 TB
2026-05-03 18:06:20,1.15 TB
2026-05-03 18:06:40,1.19 TB
2026-05-03 18:07:00,1.22 TB
2026-05-03 18:07:20,1.28 TB
2026-05-03 18:07:40,1.31 TB
2026-05-03 18:08:00,1.35 TB
2026-05-03 18:08:20,1.41 TB
2026-05-03 18:08:40,1.44 TB
2026-05-03 18:09:00,1.47 TB
2026-05-03 18:09:20,1.54 TB
2026-05-03 18:09:40,1.57 TB
2026-05-03 18:10:00,1.60 TB
2026-05-03 18:10:20,1.67 TB
2026-05-03 18:10:40,1.70 TB
2026-05-03 18:11:00,1.73 TB
2026-05-03 18:11:20,1.79 TB
2026-05-03 18:11:40,1.82 TB
2026-05-03 18:12:00,1.86 TB
2026-05-03 18:12:20,1.92 TB
2026-05-03 18:12:40,1.95 TB
2026-05-03 18:13:00,1.98 TB
2026-05-03 18:13:20,2.05 TB
2026-05-03 18:13:40,2.08 TB
2026-05-03 18:14:00,2.11 TB
2026-05-03 18:14:20,2.18 TB
2026-05-03 18:14:40,2.21 TB
2026-05-03 18:15:00,2.24 TB
2026-05-03 18:15:20,2.30 TB
2026-05-03 18:15:40,2.33 TB
2026-05-03 18:16:00,2.37 TB
2026-05-03 18:16:20,2.43 TB
2026-05-03 18:16:40,2.46 TB
2026-05-03 18:17:00,2.49 TB
2026-05-03 18:17:20,2.56 TB
2026-05-03 18:17:40,2.59 TB
2026-05-03 18:18:00,2.62 TB
2026-05-03 18:18:20,2.69 TB
2026-05-03 18:18:40,2.72 TB
2026-05-03 18:19:00,2.75 TB
2026-05-03 18:19:20,2.81 TB
2026-05-03 18:19:40,2.85 TB
2026-05-03 18:20:00,2.88 TB
2026-05-03 18:20:20,2.94 TB
2026-05-03 18:20:40,2.97 TB
2026-05-03 18:21:00,3.00 TB
2026-05-03 18:21:20,3.07 TB
2026-05-03 18:21:40,3.10 TB
2026-05-03 18:22:00,3.13 TB
2026-05-03 18:22:20,3.19 TB
2026-05-03 18:22:40,3.23 TB
2026-05-03 18:23:00,3.26 TB
2026-05-03 18:23:20,3.32 TB
2026-05-03 18:23:40,3.35 TB
2026-05-03 18:24:00,3.39 TB
2026-05-03 18:24:20,3.45 TB
2026-05-03 18:24:40,3.48 TB
2026-05-03 18:25:00,3.51 TB
2026-05-03 18:25:20,3.58 TB
2026-05-03 18:25:40,3.61 TB
2026-05-03 18:26:00,3.64 TB
2026-05-03 18:26:20,3.70 TB
2026-05-03 18:26:40,3.74 TB
2026-05-03 18:27:00,3.77 TB
2026-05-03 18:27:20,3.83 TB
2026-05-03 18:27:40,3.86 TB
2026-05-03 18:28:00,3.89 TB
2026-05-03 18:28:20,3.96 TB
2026-05-03 18:28:40,3.99 TB
2026-05-03 18:29:00,4.02 TB
2026-05-03 18:29:20,4.08 TB
2026-05-03 18:29:40,4.12 TB
2026-05-03 18:30:00,4.15 TB
