step,loss,step_time_s,tokens_per_sec
1,10.782821,12.6159,1298.7
10,10.759869,12.5174,1308.9
20,10.784565,12.5317,1307.4
30,10.773719,12.5375,1306.8
40,10.775701,12.4855,1312.2
50,10.650378,12.4068,1320.6
60,10.659364,12.4222,1318.9
70,10.616701,12.4148,1319.7
80,10.524714,12.4870,1312.1
90,10.522114,12.4628,1314.6
100,10.507749,12.4166,1319.5
110,10.464559,12.4787,1313.0
120,10.464659,12.3754,1323.9
130,10.479001,12.4400,1317.0
140,10.465462,12.5291,1307.7
150,10.469474,12.5138,1309.3
160,10.429179,12.3766,1323.8
170,10.445769,12.5732,1303.1
180,10.468650,12.4116,1320.1
190,10.450030,12.5448,1306.0
200,10.434955,12.5625,1304.2
210,10.440062,12.5225,1308.4
220,10.430567,12.4666,1314.2
230,10.443747,12.4884,1311.9
240,10.428346,12.7067,1289.4
250,10.440709,12.4634,1314.6
260,10.421234,12.5058,1310.1
270,10.426646,12.4933,1311.4
280,10.420785,12.4783,1313.0
290,10.431910,12.4689,1314.0
300,10.431365,12.5091,1309.8
310,10.433426,12.5208,1308.5
320,10.413879,12.5638,1304.1
330,10.428123,12.4472,1316.3
340,10.430408,12.4861,1312.2
350,10.420003,12.5407,1306.5
360,10.416569,12.4563,1315.3
370,10.424343,12.5514,1305.4
380,10.408793,12.5380,1306.8
390,10.412127,12.4416,1316.9
400,10.418915,12.6485,1295.3
410,10.412561,12.5056,1310.1
420,10.408834,12.5216,1308.5
430,10.407393,12.6276,1297.5
440,10.411976,12.4685,1314.0
450,10.403543,12.4834,1312.5
460,10.400821,12.4631,1314.6
470,10.410131,12.3622,1325.3
480,10.401416,12.4661,1314.3
490,10.404774,12.5163,1309.0
500,10.400912,12.5661,1303.8
510,10.403269,12.5764,1302.8
520,10.401443,12.5025,1310.5
530,10.403232,12.6347,1296.7
540,10.398046,12.5644,1304.0
550,10.400804,12.5130,1309.4
560,10.398574,12.5384,1306.7
570,10.402208,12.0630,1358.2
580,10.394604,12.0498,1359.7
590,10.395083,12.0662,1357.8
600,10.391684,12.6065,1299.6
610,10.392306,12.5800,1302.4
620,10.393926,12.7054,1289.5
630,10.402178,12.4964,1311.1
640,10.388956,12.5137,1309.3
650,10.386383,12.5322,1307.4
660,10.388558,12.5459,1305.9
670,10.389618,12.5510,1305.4
680,10.387176,12.6042,1299.9
690,10.384422,12.7618,1283.8
700,10.388556,12.5986,1300.5
710,10.388980,12.5189,1308.7
720,10.388938,12.5460,1305.9
730,10.381803,12.5470,1305.8
740,10.387904,12.6032,1300.0
750,10.381677,12.5803,1302.4
760,10.381885,12.6695,1293.2
770,10.383448,12.6029,1300.0
780,10.384153,12.6478,1295.4
790,10.390343,12.5603,1304.4
800,10.383760,12.5919,1301.2
810,10.387316,12.6162,1298.6
820,10.377812,12.5290,1307.7
830,10.381199,12.5619,1304.3
840,10.382272,12.5705,1303.4
850,10.380979,12.7471,1285.3
860,10.383483,12.6981,1290.3
870,10.377113,12.7612,1283.9
880,10.380596,12.6046,1299.8
890,10.380526,12.6232,1297.9
900,10.381427,12.6054,1299.8
910,10.376533,12.6094,1299.3
920,10.376718,12.7359,1286.4
930,10.379100,12.5999,1300.3
940,10.380638,12.5735,1303.1
950,10.378537,12.6255,1297.7
960,10.382664,12.5765,1302.8
970,10.380778,12.5905,1301.3
980,10.384612,12.5417,1306.4
990,10.377607,12.5538,1305.1
1000,10.377050,12.6085,1299.4
