"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-24 16:31:30,331 kB/s,331 kB/s,2.84 kB/s,2.97 kB/s
2026-04-24 16:31:45,331 kB/s,332 kB/s,3.08 kB/s,3.58 kB/s
2026-04-24 16:32:00,331 kB/s,332 kB/s,3.11 kB/s,3.64 kB/s
2026-04-24 16:32:15,414 kB/s,414 kB/s,3.46 kB/s,3.90 kB/s
2026-04-24 16:32:30,497 kB/s,497 kB/s,3.90 kB/s,4.44 kB/s
2026-04-24 16:32:45,497 kB/s,497 kB/s,4.17 kB/s,4.73 kB/s
2026-04-24 16:33:00,497 kB/s,497 kB/s,4.94 kB/s,4.78 kB/s
2026-04-24 16:33:15,498 kB/s,497 kB/s,5.04 kB/s,4.77 kB/s
2026-04-24 16:33:30,662 kB/s,662 kB/s,5.51 kB/s,5.38 kB/s
2026-04-24 16:33:45,663 kB/s,662 kB/s,5.96 kB/s,5.73 kB/s
2026-04-24 16:34:00,663 kB/s,662 kB/s,6.16 kB/s,5.83 kB/s
2026-04-24 16:34:15,663 kB/s,662 kB/s,6.25 kB/s,5.83 kB/s
2026-04-24 16:34:30,663 kB/s,662 kB/s,6.23 kB/s,5.85 kB/s
2026-04-24 16:34:45,663 kB/s,662 kB/s,6.24 kB/s,5.81 kB/s
2026-04-24 16:35:00,576 kB/s,580 kB/s,5.88 kB/s,5.55 kB/s
2026-04-24 16:35:15,580 kB/s,580 kB/s,5.74 kB/s,5.28 kB/s
2026-04-24 16:35:30,580 kB/s,580 kB/s,5.59 kB/s,5.65 kB/s
2026-04-24 16:35:45,1.08 MB/s,580 kB/s,6.06 kB/s,5.59 kB/s
2026-04-24 16:36:00,10.5 MB/s,9.08 MB/s,9.45 MB/s,8.98 MB/s
2026-04-24 16:36:15,19.8 MB/s,18.0 MB/s,18.9 MB/s,18.1 MB/s
2026-04-24 16:36:30,28.8 MB/s,27.3 MB/s,27.9 MB/s,27.4 MB/s
2026-04-24 16:36:45,37.7 MB/s,36.3 MB/s,36.8 MB/s,36.4 MB/s
2026-04-24 16:37:00,46.6 MB/s,45.2 MB/s,45.8 MB/s,45.4 MB/s
2026-04-24 16:37:15,56.0 MB/s,54.5 MB/s,55.2 MB/s,54.8 MB/s
2026-04-24 16:37:30,64.0 MB/s,62.6 MB/s,63.3 MB/s,62.8 MB/s
2026-04-24 16:37:45,73.0 MB/s,71.5 MB/s,72.2 MB/s,71.8 MB/s
2026-04-24 16:38:00,82.4 MB/s,81.0 MB/s,81.7 MB/s,81.3 MB/s
2026-04-24 16:38:15,90.8 MB/s,89.8 MB/s,90.7 MB/s,90.2 MB/s
2026-04-24 16:38:30,99.7 MB/s,98.1 MB/s,99.1 MB/s,98.6 MB/s
2026-04-24 16:38:45,109 MB/s,107 MB/s,108 MB/s,108 MB/s
