"Time","172.212.226.225:9100 eth0 rx","20.29.43.19:9100 eth0 rx","172.212.226.225:9100 eth0 tx","20.29.43.19:9100 eth0 tx"
2026-04-24 16:31:30,25.8 p/s,28.5 p/s,19.9 p/s,21.7 p/s
2026-04-24 16:31:45,27.5 p/s,31.2 p/s,21.6 p/s,24.6 p/s
2026-04-24 16:32:00,27.7 p/s,31.6 p/s,21.8 p/s,25.0 p/s
2026-04-24 16:32:15,33.2 p/s,36.4 p/s,25.5 p/s,28.0 p/s
2026-04-24 16:32:30,38.5 p/s,43.5 p/s,29.0 p/s,32.6 p/s
2026-04-24 16:32:45,40.3 p/s,45.5 p/s,30.9 p/s,34.5 p/s
2026-04-24 16:33:00,45.0 p/s,45.8 p/s,35.6 p/s,34.8 p/s
2026-04-24 16:33:15,45.5 p/s,45.8 p/s,36.1 p/s,34.8 p/s
2026-04-24 16:33:30,54.3 p/s,55.4 p/s,41.8 p/s,41.1 p/s
2026-04-24 16:33:45,56.6 p/s,57.5 p/s,44.3 p/s,43.1 p/s
2026-04-24 16:34:00,57.6 p/s,58.0 p/s,45.4 p/s,43.6 p/s
2026-04-24 16:34:15,58.0 p/s,58.1 p/s,45.8 p/s,43.7 p/s
2026-04-24 16:34:30,57.9 p/s,58.1 p/s,45.7 p/s,43.8 p/s
2026-04-24 16:34:45,58.0 p/s,58.0 p/s,45.8 p/s,43.6 p/s
2026-04-24 16:35:00,53.1 p/s,52.9 p/s,42.0 p/s,40.3 p/s
2026-04-24 16:35:15,53.4 p/s,49.7 p/s,41.8 p/s,38.0 p/s
2026-04-24 16:35:30,52.8 p/s,50.6 p/s,41.1 p/s,39.2 p/s
2026-04-24 16:35:45,68.8 p/s,50.3 p/s,48.6 p/s,38.8 p/s
2026-04-24 16:36:00,575 p/s,427 p/s,405 p/s,422 p/s
2026-04-24 16:36:15,1.07 kp/s,813 p/s,755 p/s,812 p/s
2026-04-24 16:36:30,1.55 kp/s,1.22 kp/s,1.09 kp/s,1.22 kp/s
2026-04-24 16:36:45,2.02 kp/s,1.61 kp/s,1.43 kp/s,1.60 kp/s
2026-04-24 16:37:00,2.51 kp/s,1.99 kp/s,1.76 kp/s,2.00 kp/s
2026-04-24 16:37:15,3.01 kp/s,2.39 kp/s,2.11 kp/s,2.41 kp/s
2026-04-24 16:37:30,3.44 kp/s,2.74 kp/s,2.41 kp/s,2.76 kp/s
2026-04-24 16:37:45,3.91 kp/s,3.13 kp/s,2.74 kp/s,3.15 kp/s
2026-04-24 16:38:00,4.42 kp/s,3.54 kp/s,3.10 kp/s,3.57 kp/s
2026-04-24 16:38:15,4.88 kp/s,3.92 kp/s,3.42 kp/s,3.96 kp/s
2026-04-24 16:38:30,5.34 kp/s,4.28 kp/s,3.74 kp/s,4.31 kp/s
2026-04-24 16:38:45,5.82 kp/s,4.68 kp/s,4.08 kp/s,4.71 kp/s
2026-04-24 16:39:00,6.30 kp/s,5.07 kp/s,4.42 kp/s,5.10 kp/s
2026-04-24 16:39:15,6.75 kp/s,5.44 kp/s,4.74 kp/s,5.47 kp/s
2026-04-24 16:39:30,7.23 kp/s,5.83 kp/s,5.07 kp/s,5.87 kp/s
2026-04-24 16:39:45,7.71 kp/s,6.22 kp/s,5.41 kp/s,6.26 kp/s
2026-04-24 16:40:00,8.16 kp/s,6.58 kp/s,5.73 kp/s,6.62 kp/s
2026-04-24 16:40:15,8.67 kp/s,6.99 kp/s,6.08 kp/s,7.03 kp/s
2026-04-24 16:40:30,9.13 kp/s,7.38 kp/s,6.41 kp/s,7.42 kp/s
2026-04-24 16:40:45,9.11 kp/s,7.40 kp/s,6.39 kp/s,7.43 kp/s
2026-04-24 16:41:00,9.08 kp/s,7.39 kp/s,6.37 kp/s,7.43 kp/s
2026-04-24 16:41:15,9.08 kp/s,7.37 kp/s,6.37 kp/s,7.41 kp/s
2026-04-24 16:41:30,9.10 kp/s,7.37 kp/s,6.40 kp/s,7.41 kp/s
2026-04-24 16:41:45,9.06 kp/s,7.38 kp/s,6.38 kp/s,7.40 kp/s
2026-04-24 16:42:00,9.06 kp/s,7.36 kp/s,6.38 kp/s,7.37 kp/s
2026-04-24 16:42:15,9.11 kp/s,7.43 kp/s,6.42 kp/s,7.43 kp/s
2026-04-24 16:42:30,9.09 kp/s,7.43 kp/s,6.42 kp/s,7.41 kp/s
2026-04-24 16:42:45,9.07 kp/s,7.42 kp/s,6.41 kp/s,7.39 kp/s
2026-04-24 16:43:00,9.08 kp/s,7.42 kp/s,6.42 kp/s,7.38 kp/s
2026-04-24 16:43:15,9.12 kp/s,7.47 kp/s,6.45 kp/s,7.43 kp/s
2026-04-24 16:43:30,9.11 kp/s,7.44 kp/s,6.45 kp/s,7.40 kp/s
2026-04-24 16:43:45,9.10 kp/s,7.47 kp/s,6.45 kp/s,7.41 kp/s
2026-04-24 16:44:00,9.15 kp/s,7.51 kp/s,6.49 kp/s,7.45 kp/s
2026-04-24 16:44:15,9.11 kp/s,7.50 kp/s,6.47 kp/s,7.42 kp/s
2026-04-24 16:44:30,9.13 kp/s,7.53 kp/s,6.49 kp/s,7.43 kp/s
2026-04-24 16:44:45,9.17 kp/s,7.55 kp/s,6.52 kp/s,7.45 kp/s
