"Time","172.212.226.225:9100direction: rx gpu_index: 0","20.29.43.19:9100direction: rx gpu_index: 0","172.212.226.225:9100direction: rx gpu_index: 1","20.29.43.19:9100direction: rx gpu_index: 1","172.212.226.225:9100direction: tx gpu_index: 0","20.29.43.19:9100direction: tx gpu_index: 0","172.212.226.225:9100direction: tx gpu_index: 1","20.29.43.19:9100direction: tx gpu_index: 1"
2026-04-24 16:31:30,101 kB/s,45.0 kB/s,175 kB/s,46.0 kB/s,112 kB/s,62.3 kB/s,300 kB/s,64.4 kB/s
2026-04-24 16:31:45,101 kB/s,42.9 kB/s,175 kB/s,42.9 kB/s,112 kB/s,59.3 kB/s,300 kB/s,58.8 kB/s
2026-04-24 16:32:00,4.89 MB/s,45.0 kB/s,4.71 MB/s,45.0 kB/s,303 MB/s,62.4 kB/s,303 MB/s,62.4 kB/s
2026-04-24 16:32:15,4.89 MB/s,199 kB/s,4.71 MB/s,146 kB/s,303 MB/s,279 kB/s,303 MB/s,190 kB/s
2026-04-24 16:32:30,373 kB/s,45.8 kB/s,365 kB/s,86.0 kB/s,639 kB/s,63.1 kB/s,632 kB/s,145 kB/s
2026-04-24 16:32:45,373 kB/s,42.9 kB/s,365 kB/s,43.5 kB/s,639 kB/s,58.8 kB/s,632 kB/s,59.3 kB/s
2026-04-24 16:33:00,4.74 MB/s,45.5 kB/s,4.63 MB/s,46.5 kB/s,303 MB/s,62.9 kB/s,303 MB/s,64.9 kB/s
2026-04-24 16:33:15,4.74 MB/s,45.5 kB/s,4.63 MB/s,45.5 kB/s,303 MB/s,62.9 kB/s,303 MB/s,63.4 kB/s
2026-04-24 16:33:30,1.75 MB/s,116 kB/s,92.8 kB/s,96.6 kB/s,705 kB/s,155 kB/s,104 kB/s,125 kB/s
2026-04-24 16:33:45,1.75 MB/s,42.9 kB/s,92.8 kB/s,43.5 kB/s,705 kB/s,58.8 kB/s,104 kB/s,59.8 kB/s
2026-04-24 16:34:00,4.71 MB/s,2.93 MB/s,4.68 MB/s,2.77 MB/s,303 MB/s,3.35 MB/s,303 MB/s,3.08 MB/s
2026-04-24 16:34:15,4.71 MB/s,45.5 kB/s,4.68 MB/s,45.5 kB/s,303 MB/s,62.9 kB/s,303 MB/s,63.9 kB/s
2026-04-24 16:34:30,1.86 MB/s,46.0 kB/s,273 kB/s,46.0 kB/s,29.4 MB/s,64.4 kB/s,301 MB/s,63.9 kB/s
2026-04-24 16:34:45,1.86 MB/s,46.0 kB/s,273 kB/s,46.0 kB/s,29.4 MB/s,63.4 kB/s,301 MB/s,64.4 kB/s
2026-04-24 16:35:00,1.98 kB/s,47.0 kB/s,2.83 kB/s,46.0 kB/s,1.81 kB/s,66.9 kB/s,2.12 kB/s,64.9 kB/s
2026-04-24 16:35:15,1.98 kB/s,45.0 kB/s,2.83 kB/s,45.0 kB/s,1.81 kB/s,62.8 kB/s,2.12 kB/s,62.3 kB/s
2026-04-24 16:35:30,97.8 kB/s,43.5 kB/s,180 kB/s,42.9 kB/s,218 kB/s,59.3 kB/s,413 kB/s,58.3 kB/s
2026-04-24 16:35:45,97.8 kB/s,9.06 MB/s,180 kB/s,46.0 kB/s,218 kB/s,3.06 MB/s,413 kB/s,60.8 kB/s
2026-04-24 16:36:00,5.86 MB/s,939 MB/s,32.1 MB/s,902 MB/s,1.51 MB/s,281 MB/s,7.10 MB/s,273 MB/s
2026-04-24 16:36:15,5.86 MB/s,1.19 GB/s,32.1 MB/s,1.17 GB/s,1.51 MB/s,228 MB/s,7.10 MB/s,229 MB/s
2026-04-24 16:36:30,1.29 GB/s,850 MB/s,1.45 GB/s,1.03 GB/s,262 MB/s,190 MB/s,280 MB/s,211 MB/s
2026-04-24 16:36:45,1.29 GB/s,843 MB/s,1.45 GB/s,1.00 GB/s,262 MB/s,253 MB/s,280 MB/s,270 MB/s
2026-04-24 16:37:00,1.26 GB/s,1.14 GB/s,1.38 GB/s,1.15 GB/s,256 MB/s,226 MB/s,272 MB/s,224 MB/s
2026-04-24 16:37:15,1.26 GB/s,852 MB/s,1.38 GB/s,1.13 GB/s,256 MB/s,269 MB/s,272 MB/s,223 MB/s
2026-04-24 16:37:30,1.27 GB/s,920 MB/s,1.40 GB/s,886 MB/s,260 MB/s,197 MB/s,272 MB/s,192 MB/s
2026-04-24 16:37:45,1.27 GB/s,1.03 GB/s,1.40 GB/s,1.21 GB/s,260 MB/s,229 MB/s,272 MB/s,252 MB/s
2026-04-24 16:38:00,1.21 GB/s,834 MB/s,1.37 GB/s,997 MB/s,248 MB/s,248 MB/s,265 MB/s,267 MB/s
2026-04-24 16:38:15,1.21 GB/s,934 MB/s,1.37 GB/s,1.12 GB/s,248 MB/s,198 MB/s,265 MB/s,219 MB/s
