"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}","{instance=""172.212.226.225:9100"", transport=""infiniband""}","{instance=""172.212.226.225:9100"", transport=""unknown""}","{instance=""20.29.43.19:9100"", transport=""ethernet""}","{instance=""20.29.43.19:9100"", transport=""infiniband""}","{instance=""20.29.43.19:9100"", transport=""unknown""}"
2026-04-24 16:31:30,23.8 MB/s,24.3 MB/s,0 B/s,24.2 MB/s,24.8 MB/s,0 B/s
2026-04-24 16:31:45,23.8 MB/s,24.4 MB/s,0 B/s,24.3 MB/s,25.0 MB/s,0 B/s
2026-04-24 16:32:00,23.8 MB/s,24.4 MB/s,0 B/s,24.3 MB/s,25.0 MB/s,0 B/s
2026-04-24 16:32:15,23.9 MB/s,24.5 MB/s,0 B/s,24.4 MB/s,25.0 MB/s,0 B/s
2026-04-24 16:32:30,24.1 MB/s,24.7 MB/s,0 B/s,24.6 MB/s,25.2 MB/s,0 B/s
2026-04-24 16:32:45,24.1 MB/s,24.7 MB/s,0 B/s,24.7 MB/s,25.3 MB/s,0 B/s
2026-04-24 16:33:00,24.4 MB/s,25.0 MB/s,0 B/s,24.7 MB/s,25.3 MB/s,0 B/s
2026-04-24 16:33:15,24.4 MB/s,25.0 MB/s,0 B/s,24.7 MB/s,25.3 MB/s,0 B/s
2026-04-24 16:33:30,24.5 MB/s,25.1 MB/s,0 B/s,24.8 MB/s,25.5 MB/s,0 B/s
2026-04-24 16:33:45,24.7 MB/s,25.3 MB/s,0 B/s,24.9 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:34:00,24.7 MB/s,25.3 MB/s,0 B/s,25.0 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:34:15,24.7 MB/s,25.3 MB/s,0 B/s,25.0 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:34:30,24.7 MB/s,25.3 MB/s,0 B/s,25.0 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:34:45,24.7 MB/s,25.3 MB/s,0 B/s,25.0 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:35:00,24.7 MB/s,25.3 MB/s,0 B/s,25.0 MB/s,25.6 MB/s,0 B/s
2026-04-24 16:35:15,24.8 MB/s,25.4 MB/s,0 B/s,25.0 MB/s,25.7 MB/s,0 B/s
2026-04-24 16:35:30,24.8 MB/s,25.4 MB/s,0 B/s,25.2 MB/s,25.9 MB/s,0 B/s
2026-04-24 16:35:45,25.0 MB/s,25.6 MB/s,0 B/s,25.2 MB/s,25.9 MB/s,0 B/s
2026-04-24 16:36:00,2.72 GB/s,2.84 GB/s,0 B/s,2.59 GB/s,2.71 GB/s,0 B/s
2026-04-24 16:36:15,5.41 GB/s,5.66 GB/s,0 B/s,5.20 GB/s,5.43 GB/s,0 B/s
2026-04-24 16:36:30,7.97 GB/s,8.34 GB/s,0 B/s,7.84 GB/s,8.20 GB/s,0 B/s
2026-04-24 16:36:45,10.5 GB/s,11.0 GB/s,0 B/s,10.4 GB/s,10.9 GB/s,0 B/s
2026-04-24 16:37:00,13.1 GB/s,13.7 GB/s,0 B/s,13.0 GB/s,13.6 GB/s,0 B/s
2026-04-24 16:37:15,15.8 GB/s,16.5 GB/s,0 B/s,15.7 GB/s,16.4 GB/s,0 B/s
2026-04-24 16:37:30,18.1 GB/s,18.9 GB/s,0 B/s,18.0 GB/s,18.8 GB/s,0 B/s
2026-04-24 16:37:45,20.6 GB/s,21.6 GB/s,0 B/s,20.5 GB/s,21.5 GB/s,0 B/s
2026-04-24 16:38:00,23.3 GB/s,24.4 GB/s,0 B/s,23.2 GB/s,24.3 GB/s,0 B/s
2026-04-24 16:38:15,25.9 GB/s,27.1 GB/s,0 B/s,25.8 GB/s,27.0 GB/s,0 B/s
2026-04-24 16:38:30,28.3 GB/s,29.6 GB/s,0 B/s,28.2 GB/s,29.5 GB/s,0 B/s
2026-04-24 16:38:45,30.9 GB/s,32.3 GB/s,0 B/s,30.8 GB/s,32.2 GB/s,0 B/s
2026-04-24 16:39:00,33.4 GB/s,35.0 GB/s,0 B/s,33.3 GB/s,34.9 GB/s,0 B/s
2026-04-24 16:39:15,35.9 GB/s,37.5 GB/s,0 B/s,35.8 GB/s,37.4 GB/s,0 B/s
2026-04-24 16:39:30,38.4 GB/s,40.2 GB/s,0 B/s,38.3 GB/s,40.1 GB/s,0 B/s
2026-04-24 16:39:45,41.0 GB/s,42.9 GB/s,0 B/s,40.9 GB/s,42.8 GB/s,0 B/s
2026-04-24 16:40:00,43.4 GB/s,45.4 GB/s,0 B/s,43.3 GB/s,45.3 GB/s,0 B/s
2026-04-24 16:40:15,46.1 GB/s,48.2 GB/s,0 B/s,46.0 GB/s,48.1 GB/s,0 B/s
2026-04-24 16:40:30,48.7 GB/s,50.9 GB/s,0 B/s,48.6 GB/s,50.8 GB/s,0 B/s
2026-04-24 16:40:45,51.2 GB/s,53.6 GB/s,0 B/s,51.1 GB/s,53.5 GB/s,0 B/s
2026-04-24 16:41:00,53.8 GB/s,56.2 GB/s,0 B/s,53.7 GB/s,56.1 GB/s,0 B/s
2026-04-24 16:41:15,56.3 GB/s,58.9 GB/s,0 B/s,56.2 GB/s,58.8 GB/s,0 B/s
2026-04-24 16:41:30,59.0 GB/s,61.7 GB/s,0 B/s,58.8 GB/s,61.5 GB/s,0 B/s
2026-04-24 16:41:45,61.5 GB/s,64.3 GB/s,0 B/s,61.4 GB/s,64.2 GB/s,0 B/s
2026-04-24 16:42:00,64.1 GB/s,67.1 GB/s,0 B/s,63.9 GB/s,66.9 GB/s,0 B/s
2026-04-24 16:42:15,66.7 GB/s,69.8 GB/s,0 B/s,66.6 GB/s,69.7 GB/s,0 B/s
2026-04-24 16:42:30,69.3 GB/s,72.4 GB/s,0 B/s,69.1 GB/s,72.2 GB/s,0 B/s
2026-04-24 16:42:45,71.8 GB/s,75.1 GB/s,0 B/s,71.7 GB/s,75.0 GB/s,0 B/s
2026-04-24 16:43:00,74.4 GB/s,77.8 GB/s,0 B/s,74.3 GB/s,77.7 GB/s,0 B/s
2026-04-24 16:43:15,77.1 GB/s,80.6 GB/s,0 B/s,77.0 GB/s,80.5 GB/s,0 B/s
2026-04-24 16:43:30,79.7 GB/s,83.3 GB/s,0 B/s,79.4 GB/s,83.1 GB/s,0 B/s
2026-04-24 16:43:45,82.2 GB/s,86.0 GB/s,0 B/s,82.1 GB/s,85.9 GB/s,0 B/s
2026-04-24 16:44:00,84.9 GB/s,88.8 GB/s,0 B/s,84.8 GB/s,88.7 GB/s,0 B/s
2026-04-24 16:44:15,87.3 GB/s,91.3 GB/s,0 B/s,87.3 GB/s,91.3 GB/s,0 B/s
2026-04-24 16:44:30,90.0 GB/s,94.2 GB/s,0 B/s,89.9 GB/s,94.1 GB/s,0 B/s
2026-04-24 16:44:45,92.6 GB/s,96.9 GB/s,0 B/s,92.5 GB/s,96.8 GB/s,0 B/s
2026-04-24 16:45:00,95.2 GB/s,99.5 GB/s,0 B/s,95.1 GB/s,99.5 GB/s,0 B/s
2026-04-24 16:45:15,97.9 GB/s,102 GB/s,0 B/s,97.8 GB/s,102 GB/s,0 B/s
2026-04-24 16:45:30,100 GB/s,105 GB/s,0 B/s,100 GB/s,105 GB/s,0 B/s
2026-04-24 16:45:45,103 GB/s,108 GB/s,0 B/s,103 GB/s,108 GB/s,0 B/s
2026-04-24 16:46:00,106 GB/s,111 GB/s,0 B/s,106 GB/s,110 GB/s,0 B/s
2026-04-24 16:46:15,108 GB/s,113 GB/s,0 B/s,108 GB/s,113 GB/s,0 B/s
2026-04-24 16:46:30,111 GB/s,116 GB/s,0 B/s,111 GB/s,116 GB/s,0 B/s
2026-04-24 16:46:45,113 GB/s,119 GB/s,0 B/s,113 GB/s,118 GB/s,0 B/s
2026-04-24 16:47:00,116 GB/s,121 GB/s,0 B/s,116 GB/s,121 GB/s,0 B/s
2026-04-24 16:47:15,119 GB/s,124 GB/s,0 B/s,119 GB/s,124 GB/s,0 B/s
2026-04-24 16:47:30,121 GB/s,127 GB/s,0 B/s,121 GB/s,127 GB/s,0 B/s
2026-04-24 16:47:45,124 GB/s,130 GB/s,0 B/s,124 GB/s,129 GB/s,0 B/s
2026-04-24 16:48:00,126 GB/s,132 GB/s,0 B/s,126 GB/s,132 GB/s,0 B/s
2026-04-24 16:48:15,129 GB/s,135 GB/s,0 B/s,129 GB/s,135 GB/s,0 B/s
2026-04-24 16:48:30,132 GB/s,138 GB/s,0 B/s,132 GB/s,138 GB/s,0 B/s
2026-04-24 16:48:45,134 GB/s,140 GB/s,0 B/s,134 GB/s,140 GB/s,0 B/s
2026-04-24 16:49:00,137 GB/s,143 GB/s,0 B/s,137 GB/s,143 GB/s,0 B/s
2026-04-24 16:49:15,139 GB/s,146 GB/s,0 B/s,139 GB/s,146 GB/s,0 B/s
2026-04-24 16:49:30,142 GB/s,149 GB/s,0 B/s,142 GB/s,149 GB/s,0 B/s
2026-04-24 16:49:45,145 GB/s,151 GB/s,0 B/s,145 GB/s,151 GB/s,0 B/s
2026-04-24 16:50:00,147 GB/s,154 GB/s,0 B/s,147 GB/s,154 GB/s,0 B/s
2026-04-24 16:50:15,150 GB/s,157 GB/s,0 B/s,150 GB/s,157 GB/s,0 B/s
2026-04-24 16:50:30,153 GB/s,160 GB/s,0 B/s,153 GB/s,160 GB/s,0 B/s
2026-04-24 16:50:45,155 GB/s,162 GB/s,0 B/s,155 GB/s,162 GB/s,0 B/s
2026-04-24 16:51:00,158 GB/s,165 GB/s,0 B/s,158 GB/s,165 GB/s,0 B/s
2026-04-24 16:51:15,161 GB/s,168 GB/s,0 B/s,160 GB/s,168 GB/s,0 B/s
2026-04-24 16:51:30,163 GB/s,171 GB/s,0 B/s,163 GB/s,171 GB/s,0 B/s
2026-04-24 16:51:45,166 GB/s,173 GB/s,0 B/s,166 GB/s,173 GB/s,0 B/s
2026-04-24 16:52:00,168 GB/s,176 GB/s,0 B/s,168 GB/s,176 GB/s,0 B/s
2026-04-24 16:52:15,171 GB/s,179 GB/s,0 B/s,171 GB/s,179 GB/s,0 B/s
2026-04-24 16:52:30,173 GB/s,181 GB/s,0 B/s,173 GB/s,181 GB/s,0 B/s
2026-04-24 16:52:45,176 GB/s,184 GB/s,0 B/s,176 GB/s,184 GB/s,0 B/s
2026-04-24 16:53:00,179 GB/s,187 GB/s,0 B/s,179 GB/s,187 GB/s,0 B/s
2026-04-24 16:53:15,181 GB/s,190 GB/s,0 B/s,181 GB/s,190 GB/s,0 B/s
2026-04-24 16:53:30,184 GB/s,192 GB/s,0 B/s,184 GB/s,192 GB/s,0 B/s
2026-04-24 16:53:45,187 GB/s,195 GB/s,0 B/s,187 GB/s,195 GB/s,0 B/s
2026-04-24 16:54:00,189 GB/s,198 GB/s,0 B/s,189 GB/s,198 GB/s,0 B/s
2026-04-24 16:54:15,192 GB/s,201 GB/s,0 B/s,192 GB/s,201 GB/s,0 B/s
2026-04-24 16:54:30,194 GB/s,203 GB/s,0 B/s,194 GB/s,203 GB/s,0 B/s
2026-04-24 16:54:45,197 GB/s,206 GB/s,0 B/s,197 GB/s,206 GB/s,0 B/s
2026-04-24 16:55:00,200 GB/s,209 GB/s,0 B/s,200 GB/s,209 GB/s,0 B/s
2026-04-24 16:55:15,202 GB/s,212 GB/s,0 B/s,202 GB/s,212 GB/s,0 B/s
2026-04-24 16:55:30,205 GB/s,214 GB/s,0 B/s,205 GB/s,214 GB/s,0 B/s
2026-04-24 16:55:45,207 GB/s,217 GB/s,0 B/s,207 GB/s,217 GB/s,0 B/s
2026-04-24 16:56:00,210 GB/s,220 GB/s,0 B/s,210 GB/s,220 GB/s,0 B/s
2026-04-24 16:56:15,213 GB/s,223 GB/s,0 B/s,213 GB/s,222 GB/s,0 B/s
2026-04-24 16:56:30,215 GB/s,225 GB/s,0 B/s,215 GB/s,225 GB/s,0 B/s
2026-04-24 16:56:45,218 GB/s,228 GB/s,0 B/s,218 GB/s,228 GB/s,0 B/s
2026-04-24 16:57:00,221 GB/s,231 GB/s,0 B/s,221 GB/s,231 GB/s,0 B/s
2026-04-24 16:57:15,223 GB/s,233 GB/s,0 B/s,223 GB/s,233 GB/s,0 B/s
2026-04-24 16:57:30,226 GB/s,236 GB/s,0 B/s,226 GB/s,236 GB/s,0 B/s
2026-04-24 16:57:45,228 GB/s,239 GB/s,0 B/s,228 GB/s,239 GB/s,0 B/s
2026-04-24 16:58:00,231 GB/s,242 GB/s,0 B/s,231 GB/s,242 GB/s,0 B/s
2026-04-24 16:58:15,234 GB/s,244 GB/s,0 B/s,234 GB/s,244 GB/s,0 B/s
2026-04-24 16:58:30,236 GB/s,247 GB/s,0 B/s,236 GB/s,247 GB/s,0 B/s
2026-04-24 16:58:45,239 GB/s,250 GB/s,0 B/s,239 GB/s,250 GB/s,0 B/s
2026-04-24 16:59:00,241 GB/s,253 GB/s,0 B/s,241 GB/s,253 GB/s,0 B/s
2026-04-24 16:59:15,244 GB/s,255 GB/s,0 B/s,244 GB/s,255 GB/s,0 B/s
2026-04-24 16:59:30,247 GB/s,258 GB/s,0 B/s,247 GB/s,258 GB/s,0 B/s
2026-04-24 16:59:45,249 GB/s,261 GB/s,0 B/s,249 GB/s,261 GB/s,0 B/s
2026-04-24 17:00:00,252 GB/s,263 GB/s,0 B/s,252 GB/s,263 GB/s,0 B/s
2026-04-24 17:00:15,254 GB/s,266 GB/s,0 B/s,254 GB/s,266 GB/s,0 B/s
2026-04-24 17:00:30,257 GB/s,269 GB/s,0 B/s,257 GB/s,269 GB/s,0 B/s
2026-04-24 17:00:45,260 GB/s,271 GB/s,0 B/s,260 GB/s,271 GB/s,0 B/s
2026-04-24 17:01:00,262 GB/s,274 GB/s,0 B/s,262 GB/s,274 GB/s,0 B/s
2026-04-24 17:01:15,265 GB/s,277 GB/s,0 B/s,265 GB/s,277 GB/s,0 B/s
2026-04-24 17:01:30,267 GB/s,280 GB/s,0 B/s,268 GB/s,280 GB/s,0 B/s
2026-04-24 17:01:45,270 GB/s,282 GB/s,0 B/s,270 GB/s,282 GB/s,0 B/s
2026-04-24 17:02:00,273 GB/s,285 GB/s,0 B/s,273 GB/s,285 GB/s,0 B/s
2026-04-24 17:02:15,275 GB/s,288 GB/s,0 B/s,275 GB/s,288 GB/s,0 B/s
2026-04-24 17:02:30,278 GB/s,291 GB/s,0 B/s,278 GB/s,291 GB/s,0 B/s
2026-04-24 17:02:45,281 GB/s,293 GB/s,0 B/s,280 GB/s,293 GB/s,0 B/s
2026-04-24 17:03:00,283 GB/s,296 GB/s,0 B/s,283 GB/s,296 GB/s,0 B/s
2026-04-24 17:03:15,286 GB/s,299 GB/s,0 B/s,286 GB/s,299 GB/s,0 B/s
2026-04-24 17:03:30,288 GB/s,301 GB/s,0 B/s,288 GB/s,302 GB/s,0 B/s
2026-04-24 17:03:45,291 GB/s,304 GB/s,0 B/s,291 GB/s,304 GB/s,0 B/s
2026-04-24 17:04:00,294 GB/s,307 GB/s,0 B/s,293 GB/s,307 GB/s,0 B/s
2026-04-24 17:04:15,296 GB/s,310 GB/s,0 B/s,296 GB/s,310 GB/s,0 B/s
2026-04-24 17:04:30,299 GB/s,312 GB/s,0 B/s,299 GB/s,313 GB/s,0 B/s
2026-04-24 17:04:45,301 GB/s,315 GB/s,0 B/s,301 GB/s,315 GB/s,0 B/s
2026-04-24 17:05:00,304 GB/s,318 GB/s,0 B/s,304 GB/s,318 GB/s,0 B/s
2026-04-24 17:05:15,307 GB/s,321 GB/s,0 B/s,307 GB/s,321 GB/s,0 B/s
2026-04-24 17:05:30,309 GB/s,323 GB/s,0 B/s,309 GB/s,323 GB/s,0 B/s
2026-04-24 17:05:45,312 GB/s,326 GB/s,0 B/s,312 GB/s,326 GB/s,0 B/s
2026-04-24 17:06:00,314 GB/s,329 GB/s,0 B/s,314 GB/s,329 GB/s,0 B/s
2026-04-24 17:06:15,317 GB/s,332 GB/s,0 B/s,317 GB/s,332 GB/s,0 B/s
2026-04-24 17:06:30,320 GB/s,334 GB/s,0 B/s,320 GB/s,334 GB/s,0 B/s
2026-04-24 17:06:45,322 GB/s,337 GB/s,0 B/s,322 GB/s,337 GB/s,0 B/s
2026-04-24 17:07:00,325 GB/s,340 GB/s,0 B/s,325 GB/s,340 GB/s,0 B/s
2026-04-24 17:07:15,327 GB/s,342 GB/s,0 B/s,327 GB/s,343 GB/s,0 B/s
2026-04-24 17:07:30,330 GB/s,345 GB/s,0 B/s,330 GB/s,345 GB/s,0 B/s
2026-04-24 17:07:45,333 GB/s,348 GB/s,0 B/s,333 GB/s,348 GB/s,0 B/s
2026-04-24 17:08:00,335 GB/s,351 GB/s,0 B/s,335 GB/s,351 GB/s,0 B/s
2026-04-24 17:08:15,338 GB/s,353 GB/s,0 B/s,338 GB/s,353 GB/s,0 B/s
2026-04-24 17:08:30,340 GB/s,356 GB/s,0 B/s,340 GB/s,356 GB/s,0 B/s
2026-04-24 17:08:45,343 GB/s,359 GB/s,0 B/s,343 GB/s,359 GB/s,0 B/s
2026-04-24 17:09:00,346 GB/s,361 GB/s,0 B/s,346 GB/s,361 GB/s,0 B/s
2026-04-24 17:09:15,348 GB/s,364 GB/s,0 B/s,348 GB/s,364 GB/s,0 B/s
2026-04-24 17:09:30,351 GB/s,367 GB/s,0 B/s,351 GB/s,367 GB/s,0 B/s
